code,occupants,lights,equipment,CAVsup,CAVret
1,0.071,8.6,7.1,1.11,1.11
2,0.071,7.8,7.1,1.11,1.11
3,0.071,8.6,7.1,1.11,1.11
4,0.071,8.333333333,7.1,1.11,1.11
5,0.071,8.333333333,7.1,1.11,1.11
6,0.071,8.333333333,7.1,1.11,1.11
7,0.071,8.333333333,7.1,1.11,1.11
8,0.071,8.333333333,7.1,1.11,1.11
9,0.071,8.333333333,7.1,1.11,1.11
10,0.071,8.333333333,7.1,1.11,1.11
11,0.071,8.333333333,7.1,1.11,1.11
12,0.071,8.333333333,7.1,1.11,1.11
13,0.071,8.333333333,7.1,1.11,1.11
14,0.071,8.333333333,7.1,1.11,1.11
15,0.071,8.333333333,7.1,1.11,1.11
16,0.071,8.333333333,7.1,1.11,1.11
17,0.071,8.333333333,7.1,1.11,1.11
18,0.071,8.333333333,7.1,1.11,1.11
19,0.071,8.333333333,7.1,1.11,1.11
20,0.071,8.333333333,7.1,1.11,1.11
21,0.071,8.333333333,7.1,1.11,1.11
22.1,0.071,8.333333333,7.1,1.11,1.11
22.2,0.071,8.333333333,7.1,1.11,1.11
22.3,0.071,8.333333333,7.1,1.11,1.11
23,0.071,8.333333333,7.1,1.11,1.11
24,0.071,8.333333333,7.1,1.11,1.11
25,0.071,8.333333333,7.1,1.11,1.11
26,0.071,8.333333333,7.1,1.11,1.11
27,0.071,8.333333333,7.1,1.11,1.11
28,0.071,8.333333333,7.1,1.11,1.11
29,0.071,8.333333333,7.1,1.11,1.11
30,0.071,8.333333333,7.1,1.11,1.11
31,0.071,8.333333333,7.1,1.11,1.11
32,0.071,8.333333333,7.1,1.11,1.11
33,0.071,8.333333333,7.1,1.11,1.11
34,0.071,8.333333333,7.1,1.11,1.11
35,0.071,8.333333333,7.1,1.11,1.11
36,0.071,8.333333333,7.1,1.11,1.11
37,0.071,8.333333333,7.1,1.11,1.11
38,0.071,8.333333333,7.1,1.11,1.11
39,0.071,8.333333333,7.1,1.11,1.11
40,0.071,8.333333333,7.1,1.11,1.11
41,0.071,8.333333333,7.1,1.11,1.11
