#      time         order        qbridges     qcdwalls2z   qdaylite     qequip2zon   qhc2zone     qlcwinds2z   qlite        qloss        qocc2zone    qterm2zone
  4679.000000       1.0000       0.0000       308.23       0.0000       0.0000     -1.88011E-19  -48.886       0.0000       0.0000       0.0000      -235.55    
  4679.400000       1.0000       0.0000       308.48       0.0000       0.0000     -9.98648E-19  -50.822       0.0000       0.0000       0.0000      -242.61    
  4679.800000       1.0000       0.0000       308.54       0.0000       0.0000     -2.58835E-20  -52.664       0.0000       0.0000       0.0000      -247.08    
  4680.000000       1.0000       0.0000       308.54       0.0000       0.0000      4.19651E-17  -53.571       0.0000       0.0000       0.0000      -248.77    
  4680.000000       1.0000       0.0000       308.54       0.0000       0.0000     -2.13354E-18  -53.570       0.0000       0.0000       0.0000      -248.77    
  4680.002746       1.0000       0.0000       308.54       0.0000       0.0000     -2.48809E-19  -53.583       0.0000       0.0000       0.0000      -248.79    
  4680.005491       1.0000       0.0000       308.54       0.0000       0.0000     -6.74393E-19  -53.595       0.0000       0.0000       0.0000      -248.82    
  4680.007168       1.0000       0.0000       308.54       0.0000       0.0000      3.42501E-19  -53.603       0.0000       0.0000       0.0000      -248.83    
  4680.007168       1.0000       0.0000       308.54       0.0000       0.0000      1.62141E-21  -53.603       0.0000       0.0000       0.0000      -248.83    
  4680.009364       1.0000       0.0000       308.54       0.0000       0.0000     -3.89104E-20  -53.612       0.0000       0.0000       0.0000      -248.85    
  4680.011560       1.0000       0.0000       308.54       0.0000       0.0000      1.70396E-18  -53.622       0.0000       0.0000       0.0000      -248.87    
  4680.015953       1.0000       0.0000       308.54       0.0000       0.0000      3.08204E-18  -53.641       0.0000       0.0000       0.0000      -248.90    
  4680.024739       1.0000       0.0000       308.54       0.0000       0.0000      6.50131E-19  -53.679       0.0000       0.0000       0.0000      -248.97    
  4680.042311       1.0000       0.0000       308.54       0.0000       0.0000     -3.66392E-17  -53.755       0.0000       0.0000       0.0000      -249.10    
  4680.077454       1.0000       0.0000       308.53       0.0000       0.0000     -9.82476E-17  -53.904       0.0000       0.0000       0.0000      -249.35    
  4680.147740       1.0000       0.0000       308.47       0.0000       0.0000      1.62290E-18  -54.179       0.0000       0.0000       0.0000      -249.78    
  4680.288312       1.0000       0.0000       308.30       0.0000       0.0000      1.80612E-16  -54.681       0.0000       0.0000       0.0000      -250.49    
  4680.569457       1.0000       0.0000       307.87       0.0000       0.0000     -9.71143E-19  -55.557       0.0000       0.0000       0.0000      -264.45    
  4680.676913       1.0000       0.0000       307.73       0.0000       0.0000     -7.03741E-17  -55.882       0.0000       0.0000       0.0000      -269.53    
  4680.676913       1.0000       0.0000       307.74       0.0000       0.0000      8.09560E-18  -55.882       0.0000       0.0000       0.0000      -269.53    
  4680.725999       1.0000       0.0000       307.63       0.0000       0.0000     -4.86490E-17  -56.029       0.0000       0.0000       0.0000      -271.73    
  4680.775084       1.0000       0.0000       307.54       0.0000       0.0000      1.91203E-17  -56.175       0.0000       0.0000       0.0000      -273.80    
  4680.873255       1.0000       0.0000       307.38       0.0000       0.0000     -6.75434E-16  -56.462       0.0000       0.0000       0.0000      -277.51    
  4681.000000       1.0000       0.0000       307.18       0.0000       0.0000     -6.59044E-16  -56.829       0.0000       0.0000       0.0000      -281.76    
  4681.000000       1.0000       0.0000       307.18       0.0000       0.0000      1.86484E-17  -56.829       0.0000       0.0000       0.0000      -281.76    
  4681.078537       1.0000       0.0000       306.97       0.0000       0.0000      1.54059E-17  -57.042       0.0000       0.0000       0.0000      -283.02    
  4681.157073       1.0000       0.0000       306.76       0.0000       0.0000      4.68714E-16  -57.244       0.0000       0.0000       0.0000      -284.04    
  4681.314147       1.0000       0.0000       306.32       0.0000       0.0000      1.09440E-16  -57.613       0.0000       0.0000       0.0000      -285.66    
  4681.628294       1.0000       0.0000       305.42       0.0000       0.0000     -3.60081E-16  -58.286       0.0000       0.0000       0.0000      -287.85    
  4682.000000       1.0000       0.0000       304.08       0.0000       0.0000      2.56002E-20  -59.029       0.0000       0.0000       0.0000      -288.81    
  4682.000000       1.0000       0.0000       304.08       0.0000       0.0000     -5.23865E-22  -59.029       0.0000       0.0000       0.0000      -288.81    
  4682.251318       1.0000       0.0000       303.16       0.0000       0.0000     -6.48562E-18  -59.524       0.0000       0.0000       0.0000      -288.96    
  4682.502635       1.0000       0.0000       302.22       0.0000       0.0000      1.61604E-19  -60.013       0.0000       0.0000       0.0000      -288.73    
  4683.000000       1.0000       0.0000       300.28       0.0000       0.0000     -6.96926E-17  -60.971       0.0000       0.0000       0.0000      -287.29    
  4683.000000       1.0000       0.0000       300.28       0.0000       0.0000      1.20740E-20  -60.971       0.0000       0.0000       0.0000      -287.29    
  4683.201054       1.0000       0.0000       299.38       0.0000       0.0000     -6.36436E-19  -61.289       0.0000       0.0000       0.0000      -284.08    
  4683.402108       1.0000       0.0000       298.41       0.0000       0.0000     -6.89897E-20  -61.561       0.0000       0.0000       0.0000      -281.10    
  4683.804216       1.0000       0.0000       286.86       8.9575       0.0000      4.17393E-19  -60.842       0.0000       0.0000       0.0000      -276.29    
  4684.000000       1.0000       0.0000       281.23       13.165       0.0000     -3.03035E-23  -60.380       0.0000       0.0000       0.0000      -274.16    
  4684.000000       1.0000       0.0000       281.23       13.165       0.0000      7.61334E-22  -60.380       0.0000       0.0000       0.0000      -274.16    
  4684.006434       1.0000       0.0000       281.04       13.312       0.0000      6.15591E-20  -60.365       0.0000       0.0000       0.0000      -274.09    
  4684.012867       1.0000       0.0000       280.85       13.459       0.0000      4.88602E-23  -60.347       0.0000       0.0000       0.0000      -273.67    
  4684.023281       1.0000       0.0000       280.53       13.699       0.0000     -1.84507E-20  -60.317       0.0000       0.0000       0.0000      -272.95    
  4684.035208       1.0000       0.0000       280.16       13.975       0.0000      7.53505E-25  -60.282       0.0000       0.0000       0.0000      -272.12    
  4684.052861       1.0000       0.0000       279.60       14.386       0.0000     -2.15880E-19  -60.227       0.0000       0.0000       0.0000      -270.91    
  4684.076880       1.0000       0.0000       278.83       14.950       0.0000      1.43593E-18  -60.147       0.0000       0.0000       0.0000      -269.31    
  4684.097778       1.0000       0.0000       278.14       15.445       0.0000     -3.69362E-19  -60.073       0.0000       0.0000       0.0000      -267.94    
  4684.120423       1.0000       0.0000       277.38       15.986       0.0000     -1.36739E-19  -59.987       0.0000       0.0000       0.0000      -266.49    
  4684.139275       1.0000       0.0000       276.73       16.440       0.0000      1.02969E-18  -59.912       0.0000       0.0000       0.0000      -265.30    
  4684.157926       1.0000       0.0000       276.09       16.891       0.0000      2.38144E-19  -59.834       0.0000       0.0000       0.0000      -264.14    
  4684.175122       1.0000       0.0000       275.50       17.310       0.0000     -3.29501E-19  -59.759       0.0000       0.0000       0.0000      -263.09    
  4684.192204       1.0000       0.0000       274.90       17.729       0.0000     -2.44909E-19  -59.681       0.0000       0.0000       0.0000      -262.07    
  4684.208820       1.0000       0.0000       274.32       18.138       0.0000      1.61627E-19  -59.603       0.0000       0.0000       0.0000      -261.08    
  4684.225480       1.0000       0.0000       273.73       18.549       0.0000      2.44981E-19  -59.523       0.0000       0.0000       0.0000      -260.11    
  4684.242636       1.0000       0.0000       273.11       18.975       0.0000      8.17202E-19  -59.437       0.0000       0.0000       0.0000      -259.13    
  4684.261189       1.0000       0.0000       272.45       19.438       0.0000      2.45393E-19  -59.341       0.0000       0.0000       0.0000      -258.08    
  4684.281348       1.0000       0.0000       271.71       19.943       0.0000      2.72603E-19  -59.234       0.0000       0.0000       0.0000      -256.97    
  4684.303612       1.0000       0.0000       270.90       20.504       0.0000     -2.16014E-20  -59.112       0.0000       0.0000       0.0000      -255.76    
  4684.328532       1.0000       0.0000       269.98       21.135       0.0000     -2.66426E-20  -58.971       0.0000       0.0000       0.0000      -254.44    
  4684.356756       1.0000       0.0000       268.94       21.853       0.0000     -1.94480E-19  -58.806       0.0000       0.0000       0.0000      -252.97    
  4684.389260       1.0000       0.0000       267.72       22.684       0.0000     -1.03628E-18  -58.611       0.0000       0.0000       0.0000      -251.34    
  4684.427364       1.0000       0.0000       266.28       23.665       0.0000      1.65626E-19  -58.374       0.0000       0.0000       0.0000      -249.49    
  4684.473144       1.0000       0.0000       264.54       24.850       0.0000      6.79776E-18  -58.081       0.0000       0.0000       0.0000      -247.35    
  4684.529743       1.0000       0.0000       262.36       26.324       0.0000      2.35119E-18  -57.707       0.0000       0.0000       0.0000      -244.83    
  4684.602625       1.0000       0.0000       259.54       28.236       0.0000     -8.56270E-18  -57.211       0.0000       0.0000       0.0000      -241.79    
  4684.602625       1.0000       0.0000       259.54       28.236       0.0000      8.40048E-22  -57.211       0.0000       0.0000       0.0000      -241.79    
  4684.610956       1.0000       0.0000       259.22       28.456       0.0000     -1.69319E-21  -57.154       0.0000       0.0000       0.0000      -241.44    
  4684.619287       1.0000       0.0000       258.89       28.675       0.0000      9.68538E-19  -57.097       0.0000       0.0000       0.0000      -241.10    
  4684.635950       1.0000       0.0000       258.24       29.115       0.0000      1.52834E-19  -56.982       0.0000       0.0000       0.0000      -240.43    
  4684.669274       1.0000       0.0000       256.94       29.995       0.0000      1.68291E-18  -56.750       0.0000       0.0000       0.0000      -239.11    
  4684.735923       1.0000       0.0000       254.33       31.761       0.0000      4.74307E-18  -56.278       0.0000       0.0000       0.0000      -236.62    
  4684.869222       1.0000       0.0000       246.94       35.303      0.96279      8.40048E-22  -55.335       1.1542       0.0000       1.6380      -232.35    
  4685.000000       1.0000       0.0000       237.35       38.783       2.7818     -1.12176E-19  -54.415       3.3347       0.0000       4.7327      -228.86    
  4685.000000       1.0000       0.0000       237.35       38.783       2.7818      4.99515E-20  -54.415       3.3347       0.0000       4.7327      -228.86    
  4685.106639       1.0000       0.0000       222.65       41.604       7.2314     -7.13327E-22  -53.602       8.6689       0.0000       12.303      -220.00    
  4685.213277       1.0000       0.0000       205.57       44.417       12.050      9.41964E-21  -52.710       14.446       0.0000       20.501      -211.98    
  4685.426554       1.0000       0.0000       154.52       49.979       27.621      1.91813E-19  -50.802       33.112       0.0000       46.991      -201.69    
  4685.756748       1.0000       0.0000       35.596       61.967       64.130      4.74193E-19  -47.419       76.878       0.0000       109.09      -199.07    
  4686.000000       1.0000       0.0000      -73.486       68.193       100.14      6.82220E-19  -45.253       120.05       0.0000       170.34      -205.02    
  4686.000000       1.0000       0.0000      -73.485       68.193       100.14     -4.33466E-22  -45.253       120.05       0.0000       170.34      -205.02    
  4686.034124       1.0000       0.0000      -89.318       69.052       105.36     -8.14312E-03  -44.924       126.31       0.0000       179.22      -201.74    
  4686.068249       1.0000       0.0000      -105.42       69.908       110.59     -2.30493E-02  -44.576       132.57       0.0000       188.10      -197.59    
  4686.077952       1.0000       0.0000      -255.38       70.150       112.07       362.98      -46.523       134.35       0.0000       190.63      -198.46    
  4686.097358       1.0000       0.0000      -528.07       70.635       115.04       925.98      -49.749       137.91       0.0000       195.68      -205.70    
  4686.136170       1.0000       0.0000      -542.98       71.600       120.98       734.74      -48.652       145.02       0.0000       205.77      -219.07    
  4686.181830       1.0000       0.0000      -387.39       72.730       127.96       256.17      -45.370       153.40       0.0000       217.65      -226.64    
  4686.196032       1.0000       0.0000      -338.16       73.080       130.14       121.74      -44.382       156.00       0.0000       221.35      -227.94    
  4686.224435       1.0000       0.0000      -289.31       73.782       133.80       8.2365      -43.202       160.40       0.0000       227.58      -229.17    
  4686.235797       1.0000       0.0000      -283.69       74.062       135.22       0.0000      -42.936       162.10       0.0000       230.00      -229.69    
