#      time         order        tairmean     top       
  4679.000000       1.0000       20.864       21.117    
  4679.400000       1.0000       20.828       21.078    
  4679.800000       1.0000       20.791       21.039    
  4680.000000       1.0000       20.773       21.019    
  4680.000000       1.0000       20.773       21.019    
  4680.002746       1.0000       20.772       21.019    
  4680.005491       1.0000       20.772       21.019    
  4680.007168       1.0000       20.772       21.019    
  4680.007168       1.0000       20.772       21.019    
  4680.009364       1.0000       20.772       21.018    
  4680.011560       1.0000       20.772       21.018    
  4680.015953       1.0000       20.771       21.018    
  4680.024739       1.0000       20.770       21.017    
  4680.042311       1.0000       20.769       21.015    
  4680.077454       1.0000       20.766       21.012    
  4680.147740       1.0000       20.759       21.005    
  4680.288312       1.0000       20.746       20.991    
  4680.569457       1.0000       20.720       20.963    
  4680.676913       1.0000       20.710       20.952    
  4680.676913       1.0000       20.710       20.952    
  4680.725999       1.0000       20.706       20.947    
  4680.775084       1.0000       20.701       20.942    
  4680.873255       1.0000       20.692       20.932    
  4681.000000       1.0000       20.680       20.919    
  4681.000000       1.0000       20.680       20.919    
  4681.078537       1.0000       20.673       20.911    
  4681.157073       1.0000       20.665       20.903    
  4681.314147       1.0000       20.651       20.887    
  4681.628294       1.0000       20.622       20.854    
  4682.000000       1.0000       20.587       20.816    
  4682.000000       1.0000       20.587       20.816    
  4682.251318       1.0000       20.564       20.790    
  4682.502635       1.0000       20.540       20.763    
  4683.000000       1.0000       20.492       20.710    
  4683.000000       1.0000       20.492       20.710    
  4683.201054       1.0000       20.473       20.689    
  4683.402108       1.0000       20.454       20.667    
  4683.804216       1.0000       20.418       20.627    
  4684.000000       1.0000       20.400       20.607    
  4684.000000       1.0000       20.400       20.607    
  4684.006434       1.0000       20.400       20.607    
  4684.012867       1.0000       20.399       20.606    
  4684.023281       1.0000       20.398       20.605    
  4684.035208       1.0000       20.397       20.604    
  4684.052861       1.0000       20.396       20.602    
  4684.076880       1.0000       20.394       20.600    
  4684.097778       1.0000       20.392       20.598    
  4684.120423       1.0000       20.390       20.595    
  4684.139275       1.0000       20.388       20.594    
  4684.157926       1.0000       20.387       20.592    
  4684.175122       1.0000       20.385       20.590    
  4684.192204       1.0000       20.384       20.589    
  4684.208820       1.0000       20.382       20.587    
  4684.225480       1.0000       20.381       20.585    
  4684.242636       1.0000       20.380       20.584    
  4684.261189       1.0000       20.378       20.582    
  4684.281348       1.0000       20.376       20.580    
  4684.303612       1.0000       20.375       20.578    
  4684.328532       1.0000       20.373       20.576    
  4684.356756       1.0000       20.370       20.573    
  4684.389260       1.0000       20.368       20.570    
  4684.427364       1.0000       20.365       20.567    
  4684.473144       1.0000       20.361       20.563    
  4684.529743       1.0000       20.356       20.557    
  4684.602625       1.0000       20.351       20.551    
  4684.602625       1.0000       20.351       20.551    
  4684.610956       1.0000       20.350       20.550    
  4684.619287       1.0000       20.349       20.549    
  4684.635950       1.0000       20.348       20.548    
  4684.669274       1.0000       20.345       20.545    
