#      time         order        q_cool       q_equip      q_heat       q_light      q_loss       q_occ        qintw        ql_a         qventil      qwcb         qwind     
  4679.000000       1.0000       0.0000       0.0000     -1.88011E-19   0.0000       0.0000       0.0000       179.93      -10.703      -254.88       128.30      -48.886    
  4679.400000       1.0000       0.0000       0.0000     -9.98648E-19   0.0000       0.0000       0.0000       183.93      -11.456      -252.50       124.55      -50.822    
  4679.800000       1.0000       0.0000       0.0000     -2.58835E-20   0.0000       0.0000       0.0000       188.22      -12.169      -250.08       120.32      -52.664    
  4680.000000       1.0000       0.0000       0.0000      4.19651E-17   0.0000       0.0000       0.0000       190.43      -12.517      -248.86       118.11      -53.571    
  4680.000000       1.0000       0.0000       0.0000     -2.13354E-18   0.0000       0.0000       0.0000       190.43      -12.514      -248.86       118.11      -53.570    
  4680.002746       1.0000       0.0000       0.0000     -2.48809E-19   0.0000       0.0000       0.0000       190.46      -12.519      -248.85       118.08      -53.583    
  4680.005491       1.0000       0.0000       0.0000     -6.74393E-19   0.0000       0.0000       0.0000       190.49      -12.523      -248.83       118.05      -53.595    
  4680.007168       1.0000       0.0000       0.0000      3.42501E-19   0.0000       0.0000       0.0000       190.51      -12.526      -248.82       118.03      -53.603    
  4680.007168       1.0000       0.0000       0.0000      1.62141E-21   0.0000       0.0000       0.0000       190.51      -12.526      -248.82       118.03      -53.603    
  4680.009364       1.0000       0.0000       0.0000     -3.89104E-20   0.0000       0.0000       0.0000       190.53      -12.529      -248.81       118.01      -53.612    
  4680.011560       1.0000       0.0000       0.0000      1.70396E-18   0.0000       0.0000       0.0000       190.56      -12.531      -248.79       117.99      -53.622    
  4680.015953       1.0000       0.0000       0.0000      3.08204E-18   0.0000       0.0000       0.0000       190.61      -12.536      -248.77       117.94      -53.641    
  4680.024739       1.0000       0.0000       0.0000      6.50131E-19   0.0000       0.0000       0.0000       190.70      -12.547      -248.71       117.84      -53.679    
  4680.042311       1.0000       0.0000       0.0000     -3.66392E-17   0.0000       0.0000       0.0000       190.90      -12.567      -248.61       117.64      -53.755    
  4680.077454       1.0000       0.0000       0.0000     -9.82476E-17   0.0000       0.0000       0.0000       191.28      -12.607      -248.39       117.25      -53.904    
  4680.147740       1.0000       0.0000       0.0000      1.62290E-18   0.0000       0.0000       0.0000       192.04      -12.687      -247.97       116.43      -54.179    
  4680.288312       1.0000       0.0000       0.0000      1.80612E-16   0.0000       0.0000       0.0000       193.57      -12.845      -247.12       114.72      -54.681    
  4680.569457       1.0000       0.0000       0.0000     -9.71143E-19   0.0000       0.0000       0.0000       196.70      -13.342      -245.40       111.17      -55.557    
  4680.676913       1.0000       0.0000       0.0000     -7.03741E-17   0.0000       0.0000       0.0000       197.90      -13.528      -244.73       109.84      -55.882    
  4680.676913       1.0000       0.0000       0.0000      8.09560E-18   0.0000       0.0000       0.0000       197.90      -13.528      -244.73       109.84      -55.882    
  4680.725999       1.0000       0.0000       0.0000     -4.86490E-17   0.0000       0.0000       0.0000       198.43      -13.611      -244.43       109.21      -56.029    
  4680.775084       1.0000       0.0000       0.0000      1.91203E-17   0.0000       0.0000       0.0000       198.96      -13.692      -244.13       108.58      -56.175    
