#      time         order        anzahl_ka1   anzahl_kal   anzahl_wa1   anzahl_war   pmv_1        ppd_1     
  4679.000000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
  4679.400000       1.0000       1440.0       1440.0       0.0000       0.0000       0.0000       0.0000    
  4679.800000       1.0000       2880.0       2880.0       0.0000       0.0000       0.0000       0.0000    
  4680.000000       1.0000       3600.0       3600.0       0.0000       0.0000       0.0000       0.0000    
  4680.000000       1.0000       3600.0       3600.0       0.0000       0.0000       0.0000       0.0000    
  4680.002746       1.0000       3609.9       3609.9       0.0000       0.0000       0.0000       0.0000    
  4680.005491       1.0000       3619.8       3619.8       0.0000       0.0000       0.0000       0.0000    
  4680.007168       1.0000       3625.8       3625.8       0.0000       0.0000       0.0000       0.0000    
  4680.007168       1.0000       3625.8       3625.8       0.0000       0.0000       0.0000       0.0000    
  4680.009364       1.0000       3633.7       3633.7       0.0000       0.0000       0.0000       0.0000    
  4680.011560       1.0000       3641.6       3641.6       0.0000       0.0000       0.0000       0.0000    
  4680.015953       1.0000       3657.4       3657.4       0.0000       0.0000       0.0000       0.0000    
  4680.024739       1.0000       3689.1       3689.1       0.0000       0.0000       0.0000       0.0000    
  4680.042311       1.0000       3752.3       3752.3       0.0000       0.0000       0.0000       0.0000    
  4680.077454       1.0000       3878.8       3878.8       0.0000       0.0000       0.0000       0.0000    
  4680.147740       1.0000       4131.9       4131.9       0.0000       0.0000       0.0000       0.0000    
  4680.288312       1.0000       4637.9       4637.9       0.0000       0.0000       0.0000       0.0000    
  4680.569457       1.0000       5650.0       5650.0       0.0000       0.0000       0.0000       0.0000    
  4680.676913       1.0000       6036.9       6036.9       0.0000       0.0000       0.0000       0.0000    
  4680.676913       1.0000       6036.9       6036.9       0.0000       0.0000       0.0000       0.0000    
  4680.725999       1.0000       6213.6       6213.6       0.0000       0.0000       0.0000       0.0000    
  4680.775084       1.0000       6390.3       6390.3       0.0000       0.0000       0.0000       0.0000    
  4680.873255       1.0000       6743.7       6743.7       0.0000       0.0000       0.0000       0.0000    
  4681.000000       1.0000       7200.0       7200.0       0.0000       0.0000       0.0000       0.0000    
  4681.000000       1.0000       7200.0       7200.0       0.0000       0.0000       0.0000       0.0000    
  4681.078537       1.0000       7482.7       7482.7       0.0000       0.0000       0.0000       0.0000    
  4681.157073       1.0000       7765.5       7765.5       0.0000       0.0000       0.0000       0.0000    
  4681.314147       1.0000       8330.9       8330.9       0.0000       0.0000       0.0000       0.0000    
  4681.628294       1.0000       9461.9       9461.9       0.0000       0.0000       0.0000       0.0000    
  4682.000000       1.0000       10800.       10800.       0.0000       0.0000       0.0000       0.0000    
  4682.000000       1.0000       10800.       10800.       0.0000       0.0000       0.0000       0.0000    
  4682.251318       1.0000       11705.       11705.       0.0000       0.0000       0.0000       0.0000    
  4682.502635       1.0000       12609.       12609.       0.0000       0.0000       0.0000       0.0000    
  4683.000000       1.0000       14400.       14400.       0.0000       0.0000       0.0000       0.0000    
  4683.000000       1.0000       14400.       14400.       0.0000       0.0000       0.0000       0.0000    
  4683.201054       1.0000       15124.       15124.       0.0000       0.0000       0.0000       0.0000    
  4683.402108       1.0000       15848.       15848.       0.0000       0.0000       0.0000       0.0000    
  4683.804216       1.0000       17295.       17295.       0.0000       0.0000       0.0000       0.0000    
  4684.000000       1.0000       18000.       18000.       0.0000       0.0000       0.0000       0.0000    
  4684.000000       1.0000       18000.       18000.       0.0000       0.0000       0.0000       0.0000    
  4684.006434       1.0000       18023.       18023.       0.0000       0.0000       0.0000       0.0000    
  4684.012867       1.0000       18046.       18046.       0.0000       0.0000       0.0000       0.0000    
  4684.023281       1.0000       18084.       18084.       0.0000       0.0000       0.0000       0.0000    
  4684.035208       1.0000       18127.       18127.       0.0000       0.0000       0.0000       0.0000    
  4684.052861       1.0000       18190.       18190.       0.0000       0.0000       0.0000       0.0000    
  4684.076880       1.0000       18277.       18277.       0.0000       0.0000       0.0000       0.0000    
