#      time         order        eflooravg 
  4679.000000       1.0000       0.0000    
  4679.400000       1.0000       0.0000    
  4679.800000       1.0000       0.0000    
  4680.000000       1.0000       0.0000    
  4680.000000       1.0000       0.0000    
  4680.002746       1.0000       0.0000    
  4680.005491       1.0000       0.0000    
  4680.007168       1.0000       0.0000    
  4680.007168       1.0000       0.0000    
  4680.009364       1.0000       0.0000    
  4680.011560       1.0000       0.0000    
  4680.015953       1.0000       0.0000    
  4680.024739       1.0000       0.0000    
  4680.042311       1.0000       0.0000    
  4680.077454       1.0000       0.0000    
  4680.147740       1.0000       0.0000    
  4680.288312       1.0000       0.0000    
  4680.569457       1.0000       0.0000    
  4680.676913       1.0000       0.0000    
  4680.676913       1.0000       0.0000    
  4680.725999       1.0000       0.0000    
  4680.775084       1.0000       0.0000    
  4680.873255       1.0000       0.0000    
  4681.000000       1.0000       0.0000    
  4681.000000       1.0000       0.0000    
  4681.078537       1.0000       0.0000    
  4681.157073       1.0000       0.0000    
  4681.314147       1.0000       0.0000    
  4681.628294       1.0000       0.0000    
  4682.000000       1.0000       0.0000    
  4682.000000       1.0000       0.0000    
  4682.251318       1.0000       0.0000    
  4682.502635       1.0000       0.0000    
  4683.000000       1.0000       0.0000    
  4683.000000       1.0000       0.0000    
  4683.201054       1.0000       0.0000    
  4683.402108       1.0000       0.0000    
  4683.804216       1.0000       28.998    
  4684.000000       1.0000       42.620    
  4684.000000       1.0000       42.620    
  4684.006434       1.0000       43.095    
  4684.012867       1.0000       43.573    
  4684.023281       1.0000       44.348    
  4684.035208       1.0000       45.241    
  4684.052861       1.0000       46.571    
  4684.076880       1.0000       48.397    
  4684.097778       1.0000       50.000    
  4684.120423       1.0000       51.752    
  4684.139275       1.0000       53.221    
  4684.157926       1.0000       54.683    
  4684.175122       1.0000       56.039    
  4684.192204       1.0000       57.394    
  4684.208820       1.0000       58.717    
  4684.225480       1.0000       60.051    
  4684.242636       1.0000       61.430    
  4684.261189       1.0000       62.928    
  4684.281348       1.0000       64.564    
  4684.303612       1.0000       66.379    
  4684.328532       1.0000       68.420    
  4684.356756       1.0000       70.745    
  4684.389260       1.0000       73.436    
  4684.427364       1.0000       76.610    
  4684.473144       1.0000       80.447    
  4684.529743       1.0000       85.221    
  4684.602625       1.0000       91.411    
  4684.602625       1.0000       91.411    
  4684.610956       1.0000       92.121    
  4684.619287       1.0000       92.832    
  4684.635950       1.0000       94.254    
  4684.669274       1.0000       97.104    
  4684.735923       1.0000       102.82    
  4684.869222       1.0000       114.31    
  4685.000000       1.0000       125.62    
  4685.000000       1.0000       125.62    
  4685.106639       1.0000       134.86    
  4685.213277       1.0000       144.09    
