#      time         order        q_cool       q_equip      q_heat       q_light      q_loss       q_occ        qintw        ql_a         qventil      qwcb         qwind     
  336.0000000       1.0000       0.0000       0.0000       1880.1       0.0000       0.0000       0.0000       216.40      -64.509      -132.35      -1702.7      -196.95    
  336.0277111       1.0000       0.0000       0.0000       1881.7       0.0000       0.0000       0.0000       215.29      -64.526      -132.35      -1703.1      -196.99    
  336.0554222       1.0000       0.0000       0.0000       1883.4       0.0000       0.0000       0.0000       214.19      -64.543      -132.35      -1703.6      -197.03    
  336.0682198       1.0000       0.0000       0.0000       1884.1       0.0000       0.0000       0.0000       213.69      -64.550      -132.35      -1703.8      -197.05    
  336.0682198       1.0000       0.0000       0.0000       1884.1       0.0000       0.0000       0.0000       213.69      -64.550      -132.35      -1703.8      -197.05    
  336.0903887       1.0000       0.0000       0.0000       1885.4       0.0000       0.0000       0.0000       212.82      -64.559      -132.35      -1704.2      -197.09    
  336.1125575       1.0000       0.0000       0.0000       1886.7       0.0000       0.0000       0.0000       211.96      -64.567      -132.35      -1704.6      -197.12    
  336.1568953       1.0000       0.0000       0.0000       1889.2       0.0000       0.0000       0.0000       210.26      -64.584      -132.35      -1705.4      -197.18    
  336.2455708       1.0000       0.0000       0.0000       1894.3       0.0000       0.0000       0.0000       206.90      -64.618      -132.35      -1706.9      -197.30    
  336.4229219       1.0000       0.0000       0.0000       1903.9       0.0000       0.0000       0.0000       200.62      -64.685      -132.36      -1709.9      -197.52    
  336.7776240       1.0000       0.0000       0.0000       1921.8       0.0000       0.0000       0.0000       189.19      -64.822      -132.36      -1716.0      -197.90    
  337.0000000       1.0000       0.0000       0.0000       1932.7       0.0000       0.0000       0.0000       182.45      -64.908      -132.36      -1719.7      -198.13    
  337.0000000       1.0000       0.0000       0.0000       1932.7       0.0000       0.0000       0.0000       182.45      -64.908      -132.36      -1719.7      -198.13    
  337.2837617       1.0000       0.0000       0.0000       1945.8       0.0000       0.0000       0.0000       174.49      -64.995      -132.36      -1724.5      -198.39    
  337.5675234       1.0000       0.0000       0.0000       1958.2       0.0000       0.0000       0.0000       167.07      -65.075      -132.36      -1729.2      -198.62    
  338.0000000       1.0000       0.0000       0.0000       1976.0       0.0000       0.0000       0.0000       156.89      -65.198      -132.36      -1736.4      -198.96    
  338.0000000       1.0000       0.0000       0.0000       1976.0       0.0000       0.0000       0.0000       156.89      -65.198      -132.36      -1736.4      -198.96    
  338.2270094       1.0000       0.0000       0.0000       1985.0       0.0000       0.0000       0.0000       151.83      -65.264      -132.36      -1740.1      -199.13    
  338.4540187       1.0000       0.0000       0.0000       1993.8       0.0000       0.0000       0.0000       147.03      -65.329      -132.36      -1743.8      -199.30    
  338.9080375       1.0000       0.0000       0.0000       2010.3       0.0000       0.0000       0.0000       138.34      -65.461      -132.36      -1751.2      -199.63    
  339.0000000       1.0000       0.0000       0.0000       2013.6       0.0000       0.0000       0.0000       136.62      -65.488      -132.36      -1752.7      -199.70    
  339.0000000       1.0000       0.0000       0.0000       2013.6       0.0000       0.0000       0.0000       136.62      -65.488      -132.36      -1752.7      -199.70    
  339.3632150       1.0000       0.0000       0.0000       2026.0       0.0000       0.0000       0.0000       130.32      -65.562      -132.36      -1758.5      -199.93    
  339.7264300       1.0000       0.0000       0.0000       2037.8       0.0000       0.0000       0.0000       124.47      -65.630      -132.36      -1764.2      -200.13    
  340.0000000       1.0000       0.0000       0.0000       2046.5       0.0000       0.0000       0.0000       120.30      -65.682      -132.36      -1768.5      -200.26    
  340.0000000       1.0000       0.0000       0.0000       2046.5       0.0000       0.0000       0.0000       120.30      -65.682      -132.36      -1768.5      -200.26    
  340.2001218       1.0000       0.0000       0.0000       2052.5       0.0000       0.0000       0.0000       117.38      -65.663      -132.36      -1771.6      -200.31    
  340.4002436       1.0000       0.0000       0.0000       2058.3       0.0000       0.0000       0.0000       114.58      -65.616      -132.36      -1774.6      -200.28    
  340.4264857       1.0000       0.0000       0.0000       2059.1       0.0000       0.0000       0.0000       114.22      -65.610      -132.36      -1775.0      -200.28    
  340.4789699       1.0000       0.0000       0.0000       2060.6       0.0000       0.0000       0.0000       113.49      -65.598      -132.36      -1775.8      -200.26    
  340.4789699       1.0000       0.0000       0.0000       2060.6       0.0000       0.0000       0.0000       113.49      -65.598      -132.36      -1775.8      -200.26    
  340.6390673       1.0000       0.0000       0.0000       2065.1       0.0000       0.0000       0.0000       111.35      -65.562      -132.36      -1778.3      -200.20    
  340.7991647       1.0000       0.0000       0.0000       2069.5       0.0000       0.0000       0.0000       109.26      -65.526      -132.36      -1780.7      -200.13    
  341.0000000       1.0000       0.0000       0.0000       2074.8       0.0000       0.0000       0.0000       106.74      -65.482      -132.36      -1783.7      -200.02    
  341.0000000       1.0000       0.0000       0.0000       2074.8       0.0000       0.0000       0.0000       106.74      -65.482      -132.36      -1783.7      -200.02    
  341.0334978       1.0000       0.0000       0.0000       2075.7       0.0000       0.0000       0.0000       106.32      -65.475      -132.36      -1784.2      -200.00    
  341.0669955       1.0000       0.0000       0.0000       2076.6       0.0000       0.0000       0.0000       105.90      -65.468      -132.36      -1784.7      -199.98    
  341.0986329       1.0000       0.0000       0.0000       2077.4       0.0000       0.0000       0.0000       105.51      -65.444      -132.37      -1785.2      -199.96    
  341.1209903       1.0000       0.0000       0.0000       2078.0       0.0000       0.0000       0.0000       105.24      -65.427      -132.37      -1785.5      -199.94    
  341.1405617       1.0000       0.0000       0.0000       2078.5       0.0000       0.0000       0.0000       105.00      -65.413      -132.37      -1785.8      -199.92    
  341.1612116       1.0000       0.0000       0.0000       2079.0       0.0000       0.0000       0.0000       104.76      -65.397      -132.37      -1786.1      -199.90    
  341.1798055       1.0000       0.0000       0.0000       2079.5       0.0000       0.0000       0.0000       104.53      -65.383      -132.37      -1786.4      -199.89    
  341.1984890       1.0000       0.0000       0.0000       2079.9       0.0000       0.0000       0.0000       104.31      -65.369      -132.37      -1786.6      -199.87    
  341.2164927       1.0000       0.0000       0.0000       2080.4       0.0000       0.0000       0.0000       104.10      -65.355      -132.37      -1786.9      -199.85    
  341.2347019       1.0000       0.0000       0.0000       2080.8       0.0000       0.0000       0.0000       103.88      -65.341      -132.37      -1787.2      -199.83    
  341.2529417       1.0000       0.0000       0.0000       2081.3       0.0000       0.0000       0.0000       103.66      -65.328      -132.37      -1787.4      -199.81    
  341.2719537       1.0000       0.0000       0.0000       2081.7       0.0000       0.0000       0.0000       103.44      -65.313      -132.37      -1787.7      -199.79    
  341.2926427       1.0000       0.0000       0.0000       2082.2       0.0000       0.0000       0.0000       103.19      -65.298      -132.37      -1788.0      -199.76    
  341.3153501       1.0000       0.0000       0.0000       2082.8       0.0000       0.0000       0.0000       102.92      -65.281      -132.37      -1788.3      -199.73    
  341.3408346       1.0000       0.0000       0.0000       2083.4       0.0000       0.0000       0.0000       102.63      -65.262      -132.37      -1788.7      -199.69    
  341.3695986       1.0000       0.0000       0.0000       2084.1       0.0000       0.0000       0.0000       102.29      -65.241      -132.37      -1789.1      -199.65    
  341.4029150       1.0000       0.0000       0.0000       2084.9       0.0000       0.0000       0.0000       101.90      -65.216      -132.37      -1789.6      -199.60    
  341.4420061       1.0000       0.0000       0.0000       2085.8       0.0000       0.0000       0.0000       101.45      -65.187      -132.37      -1790.2      -199.54    
  341.4891999       1.0000       0.0000       0.0000       2086.9       0.0000       0.0000       0.0000       100.91      -65.152      -132.37      -1790.8      -199.46    
  341.5478014       1.0000       0.0000       0.0000       2088.3       0.0000       0.0000       0.0000       100.25      -65.109      -132.37      -1791.7      -199.36    
  341.6239840       1.0000       0.0000       0.0000       2090.0       0.0000       0.0000       0.0000       99.392      -65.053      -132.37      -1792.8      -199.23    
  341.7273979       1.0000       0.0000       0.0000       2092.4       0.0000       0.0000       0.0000       98.248      -64.978      -132.37      -1794.2      -199.04    
  341.8824781       1.0000       0.0000       0.0000       2095.8       0.0000       0.0000      1.18762E-06   96.572      -64.866      -132.37      -1796.4      -198.75    
  342.0000000       1.0000       0.0000       0.0000       2098.4       0.0000       0.0000      2.88712E-06   95.323      -64.782      -132.37      -1798.0      -198.52    
  342.0000000       1.0000       0.0000       0.0000       2098.4       0.0000       0.0000      2.88375E-06   95.323      -64.782      -132.37      -1798.0      -198.52    
