#      time         order        qbridges     qcdwalls2z   qdaylite     qequip2zon   qhc2zone     qlcwinds2z   qlite        qloss        qocc2zone    qterm2zone
  336.0000000       1.0000       0.0000      -1317.0       0.0000       0.0000       1513.9       0.0000       0.0000       0.0000       0.0000      -201.18    
  336.0277111       1.0000       0.0000      -1318.7       0.0000       0.0000       1515.6       0.0000       0.0000       0.0000       0.0000      -201.25    
  336.0554222       1.0000       0.0000      -1320.3       0.0000       0.0000       1517.2       0.0000       0.0000       0.0000       0.0000      -201.29    
  336.0682198       1.0000       0.0000      -1321.1       0.0000       0.0000       1518.0       0.0000       0.0000       0.0000       0.0000      -201.30    
  336.0682198       1.0000       0.0000      -1321.1       0.0000       0.0000       1518.0       0.0000       0.0000       0.0000       0.0000      -201.30    
  336.0903887       1.0000       0.0000      -1322.4       0.0000       0.0000       1519.3       0.0000       0.0000       0.0000       0.0000      -201.29    
  336.1125575       1.0000       0.0000      -1323.7       0.0000       0.0000       1520.6       0.0000       0.0000       0.0000       0.0000      -201.28    
  336.1568953       1.0000       0.0000      -1326.3       0.0000       0.0000       1523.2       0.0000       0.0000       0.0000       0.0000      -201.25    
  336.2455708       1.0000       0.0000      -1331.4       0.0000       0.0000       1528.4       0.0000       0.0000       0.0000       0.0000      -201.21    
  336.4229219       1.0000       0.0000      -1341.2       0.0000       0.0000       1538.2       0.0000       0.0000       0.0000       0.0000      -201.15    
  336.7776240       1.0000       0.0000      -1359.4       0.0000       0.0000       1556.6       0.0000       0.0000       0.0000       0.0000      -201.10    
  337.0000000       1.0000       0.0000      -1370.4       0.0000       0.0000       1567.6       0.0000       0.0000       0.0000       0.0000      -201.08    
  337.0000000       1.0000       0.0000      -1370.4       0.0000       0.0000       1567.6       0.0000       0.0000       0.0000       0.0000      -201.08    
  337.2837617       1.0000       0.0000      -1383.6       0.0000       0.0000       1581.0       0.0000       0.0000       0.0000       0.0000      -200.92    
  337.5675234       1.0000       0.0000      -1396.2       0.0000       0.0000       1593.7       0.0000       0.0000       0.0000       0.0000      -200.76    
  338.0000000       1.0000       0.0000      -1414.2       0.0000       0.0000       1611.7       0.0000       0.0000       0.0000       0.0000      -200.63    
