#      time         order        qbridges     qcdwalls2z   qdaylite     qequip2zon   qhc2zone     qlcwinds2z   qlite        qloss        qocc2zone    qterm2zone
  336.0000000       1.0000       0.0000      -1412.1       0.0000       0.0000       2595.5      -986.52       0.0000       0.0000       0.0000      -201.18    
  336.0277111       1.0000       0.0000      -1413.7       0.0000       0.0000       2597.3      -986.74       0.0000       0.0000       0.0000      -201.25    
  336.0554222       1.0000       0.0000      -1415.2       0.0000       0.0000       2599.1      -986.95       0.0000       0.0000       0.0000      -201.29    
  336.0682198       1.0000       0.0000      -1415.9       0.0000       0.0000       2599.9      -987.05       0.0000       0.0000       0.0000      -201.30    
  336.0682198       1.0000       0.0000      -1415.9       0.0000       0.0000       2599.9      -987.05       0.0000       0.0000       0.0000      -201.30    
  336.0903887       1.0000       0.0000      -1417.1       0.0000       0.0000       2601.3      -987.22       0.0000       0.0000       0.0000      -201.29    
  336.1125575       1.0000       0.0000      -1418.3       0.0000       0.0000       2602.7      -987.39       0.0000       0.0000       0.0000      -201.28    
  336.1568953       1.0000       0.0000      -1420.7       0.0000       0.0000       2605.4      -987.71       0.0000       0.0000       0.0000      -201.25    
  336.2455708       1.0000       0.0000      -1425.5       0.0000       0.0000       2610.8      -988.33       0.0000       0.0000       0.0000      -201.21    
  336.4229219       1.0000       0.0000      -1434.5       0.0000       0.0000       2621.0      -989.40       0.0000       0.0000       0.0000      -201.15    
  336.7776240       1.0000       0.0000      -1451.5       0.0000       0.0000       2640.1      -991.33       0.0000       0.0000       0.0000      -201.10    
  337.0000000       1.0000       0.0000      -1461.8       0.0000       0.0000       2651.5      -992.50       0.0000       0.0000       0.0000      -201.08    
  337.0000000       1.0000       0.0000      -1461.8       0.0000       0.0000       2651.5      -992.50       0.0000       0.0000       0.0000      -201.08    
  337.2837617       1.0000       0.0000      -1474.2       0.0000       0.0000       2665.4      -993.82       0.0000       0.0000       0.0000      -200.92    
  337.5675234       1.0000       0.0000      -1486.1       0.0000       0.0000       2678.5      -995.01       0.0000       0.0000       0.0000      -200.76    
  338.0000000       1.0000       0.0000      -1503.0       0.0000       0.0000       2697.2      -996.70       0.0000       0.0000       0.0000      -200.63    
  338.0000000       1.0000       0.0000      -1503.0       0.0000       0.0000       2697.2      -996.70       0.0000       0.0000       0.0000      -200.63    
  338.2270094       1.0000       0.0000      -1511.6       0.0000       0.0000       2706.8      -997.56       0.0000       0.0000       0.0000      -200.59    
  338.4540187       1.0000       0.0000      -1519.9       0.0000       0.0000       2716.0      -998.43       0.0000       0.0000       0.0000      -200.56    
  338.9080375       1.0000       0.0000      -1535.6       0.0000       0.0000       2733.6      -1000.1       0.0000       0.0000       0.0000      -200.57    
  339.0000000       1.0000       0.0000      -1538.7       0.0000       0.0000       2737.1      -1000.5       0.0000       0.0000       0.0000      -200.57    
  339.0000000       1.0000       0.0000      -1538.7       0.0000       0.0000       2737.1      -1000.5       0.0000       0.0000       0.0000      -200.57    
  339.3632150       1.0000       0.0000      -1550.6       0.0000       0.0000       2750.1      -1001.6       0.0000       0.0000       0.0000      -200.39    
  339.7264300       1.0000       0.0000      -1561.9       0.0000       0.0000       2762.6      -1002.6       0.0000       0.0000       0.0000      -200.23    
  340.0000000       1.0000       0.0000      -1570.2       0.0000       0.0000       2771.6      -1003.3       0.0000       0.0000       0.0000      -200.15    
  340.0000000       1.0000       0.0000      -1570.2       0.0000       0.0000       2771.6      -1003.3       0.0000       0.0000       0.0000      -200.15    
  340.2001218       1.0000       0.0000      -1576.2       0.0000       0.0000       2777.7      -1003.5       0.0000       0.0000       0.0000      -199.68    
  340.4002436       1.0000       0.0000      -1582.0       0.0000       0.0000       2783.4      -1003.4       0.0000       0.0000       0.0000      -199.08    
  340.4264857       1.0000       0.0000      -1582.7       0.0000       0.0000       2784.1      -1003.4       0.0000       0.0000       0.0000      -199.00    
  340.4789699       1.0000       0.0000      -1584.2       0.0000       0.0000       2785.5      -1003.3       0.0000       0.0000       0.0000      -198.85    
  340.4789699       1.0000       0.0000      -1584.2       0.0000       0.0000       2785.5      -1003.3       0.0000       0.0000       0.0000      -198.85    
  340.6390673       1.0000       0.0000      -1588.8       0.0000       0.0000       2789.7      -1003.0       0.0000       0.0000       0.0000      -198.45    
  340.7991647       1.0000       0.0000      -1593.2       0.0000       0.0000       2793.7      -1002.6       0.0000       0.0000       0.0000      -198.11    
  341.0000000       1.0000       0.0000      -1598.7       0.0000       0.0000       2798.6      -1002.1       0.0000       0.0000       0.0000      -197.75    
  341.0000000       1.0000       0.0000      -1598.7       0.0000       0.0000       2798.6      -1002.1       0.0000       0.0000       0.0000      -197.75    
  341.0334978       1.0000       0.0000      -1599.6       0.0000       0.0000       2799.4      -1002.0       0.0000       0.0000       0.0000      -197.69    
  341.0669955       1.0000       0.0000      -1600.5       0.0000       0.0000       2800.2      -1001.9       0.0000       0.0000       0.0000      -197.63    
  341.0986329       1.0000       0.0000      -1601.4       0.0000       0.0000       2801.0      -1001.8       0.0000       0.0000       0.0000      -197.44    
  341.1209903       1.0000       0.0000      -1602.0       0.0000       0.0000       2801.5      -1001.7       0.0000       0.0000       0.0000      -197.30    
  341.1405617       1.0000       0.0000      -1602.5       0.0000       0.0000       2801.9      -1001.6       0.0000       0.0000       0.0000      -197.18    
  341.1612116       1.0000       0.0000      -1603.0       0.0000       0.0000       2802.3      -1001.5       0.0000       0.0000       0.0000      -197.06    
  341.1798055       1.0000       0.0000      -1603.5       0.0000       0.0000       2802.7      -1001.4       0.0000       0.0000       0.0000      -196.95    
  341.1984890       1.0000       0.0000      -1604.0       0.0000       0.0000       2803.1      -1001.3       0.0000       0.0000       0.0000      -196.84    
  341.2164927       1.0000       0.0000      -1604.5       0.0000       0.0000       2803.4      -1001.2       0.0000       0.0000       0.0000      -196.74    
  341.2347019       1.0000       0.0000      -1605.0       0.0000       0.0000       2803.8      -1001.1       0.0000       0.0000       0.0000      -196.64    
  341.2529417       1.0000       0.0000      -1605.5       0.0000       0.0000       2804.2      -1001.0       0.0000       0.0000       0.0000      -196.54    
  341.2719537       1.0000       0.0000      -1606.0       0.0000       0.0000       2804.5      -1000.9       0.0000       0.0000       0.0000      -196.43    
  341.2926427       1.0000       0.0000      -1606.5       0.0000       0.0000       2804.9      -1000.8       0.0000       0.0000       0.0000      -196.32    
  341.3153501       1.0000       0.0000      -1607.1       0.0000       0.0000       2805.4      -1000.6       0.0000       0.0000       0.0000      -196.21    
  341.3408346       1.0000       0.0000      -1607.8       0.0000       0.0000       2805.8      -1000.4       0.0000       0.0000       0.0000      -196.08    
  341.3695986       1.0000       0.0000      -1608.5       0.0000       0.0000       2806.4      -1000.2       0.0000       0.0000       0.0000      -195.93    
  341.4029150       1.0000       0.0000      -1609.4       0.0000       0.0000       2806.9      -999.98       0.0000       0.0000       0.0000      -195.77    
  341.4420061       1.0000       0.0000      -1610.4       0.0000       0.0000       2807.6      -999.67       0.0000       0.0000       0.0000      -195.59    
  341.4891999       1.0000       0.0000      -1611.6       0.0000       0.0000       2808.4      -999.27       0.0000       0.0000       0.0000      -195.37    
  341.5478014       1.0000       0.0000      -1613.1       0.0000       0.0000       2809.4      -998.77       0.0000       0.0000       0.0000      -195.12    
  341.6239840       1.0000       0.0000      -1615.1       0.0000       0.0000       2810.6      -998.09       0.0000       0.0000       0.0000      -194.81    
  341.7273979       1.0000       0.0000      -1617.7       0.0000       0.0000       2812.2      -997.13       0.0000       0.0000       0.0000      -194.42    
  341.8824781       1.0000       0.0000      -1621.5       0.0000       0.0000       2814.4      -995.64       0.0000       0.0000      1.81644E-06  -193.90    
  342.0000000       1.0000       0.0000      -1624.4       0.0000       0.0000       2816.1      -994.50       0.0000       0.0000      4.41251E-06  -193.54    
  342.0000000       1.0000       0.0000      -1624.4       0.0000       0.0000       2816.1      -994.50       0.0000       0.0000      4.40890E-06  -193.54    
  342.0253099       1.0000       0.0000      -1625.0       0.0000       0.0000       2816.4      -994.26       0.0000       0.0000      6.08273E-06  -193.47    
  342.0506198       1.0000       0.0000      -1625.6       0.0000       0.0000       2816.8      -994.01       0.0000       0.0000      7.75656E-06  -193.39    
  342.1012396       1.0000       0.0000      -1626.9       0.0000       0.0000       2817.3      -993.44       0.0000       0.0000      1.11042E-05  -192.94    
  342.2024792       1.0000       0.0000      -1629.3       0.0000       0.0000       2818.2      -992.05       0.0000       0.0000      1.79088E-05  -191.75    
  342.4049584       1.0000       0.0000      -1634.0       0.0000       0.0000       2818.8      -988.35       0.0000       0.0000      4.04449E-05  -189.75    
  342.8099168       1.0000       0.0000      -1643.0       0.0000       0.0000       2818.4      -979.60       0.0000       0.0000      1.12625E-04  -186.56    
  343.0000000       1.0000       0.0000      -1647.1       0.0000       0.0000       2817.9      -975.31       0.0000       0.0000      1.58716E-04  -186.40    
  343.0000000       1.0000       0.0000      -1647.1       0.0000       0.0000       2817.9      -975.31       0.0000       0.0000      1.58716E-04  -186.40    
  343.0343945       1.0000       0.0000      -3958.3       0.0000       0.0000       7741.5      -1138.9       0.0000       0.0000      1.67029E-04  -267.27    
  343.0687890       1.0000       0.0000      -4320.1       0.0000       0.0000       7503.2      -1154.1       0.0000       0.0000      1.75358E-04  -325.22    
  343.1011679       1.0000       0.0000      -3887.7       0.0000       0.0000       5871.1      -1111.3       0.0000       0.0000      1.83247E-04  -342.15    
  343.1334259       1.0000       0.0000      -3428.5       0.0000       0.0000       4680.6      -1069.6       0.0000       0.0000      1.91069E-04  -337.17    
  343.1754230       1.0000       0.0000      -3204.4       0.0000       0.0000       4323.0      -1047.1       0.0000       0.0000      2.01253E-04  -326.51    
