#      time         order        tairmean     top       
  336.0000000       1.0000       19.000       17.965    
  336.0277111       1.0000       19.000       17.964    
  336.0554222       1.0000       19.000       17.964    
  336.0682198       1.0000       19.000       17.964    
  336.0682198       1.0000       19.000       17.964    
  336.0903887       1.0000       19.000       17.963    
  336.1125575       1.0000       19.000       17.963    
  336.1568953       1.0000       19.000       17.962    
  336.2455708       1.0000       19.000       17.961    
  336.4229219       1.0000       19.000       17.958    
  336.7776240       1.0000       19.000       17.953    
  337.0000000       1.0000       19.000       17.950    
  337.0000000       1.0000       19.000       17.950    
  337.2837617       1.0000       19.000       17.946    
  337.5675234       1.0000       19.000       17.943    
  338.0000000       1.0000       19.000       17.937    
  338.0000000       1.0000       19.000       17.937    
  338.2270094       1.0000       19.000       17.935    
  338.4540187       1.0000       19.000       17.932    
  338.9080375       1.0000       19.000       17.927    
  339.0000000       1.0000       19.000       17.926    
  339.0000000       1.0000       19.000       17.926    
  339.3632150       1.0000       19.000       17.922    
  339.7264300       1.0000       19.000       17.919    
  340.0000000       1.0000       19.000       17.916    
  340.0000000       1.0000       19.000       17.916    
  340.2001218       1.0000       19.000       17.914    
  340.4002436       1.0000       19.000       17.912    
  340.4264857       1.0000       19.000       17.912    
  340.4789699       1.0000       19.000       17.911    
  340.4789699       1.0000       19.000       17.911    
  340.6390673       1.0000       19.000       17.910    
  340.7991647       1.0000       19.000       17.909    
  341.0000000       1.0000       19.000       17.907    
  341.0000000       1.0000       19.000       17.907    
  341.0334978       1.0000       19.000       17.906    
  341.0669955       1.0000       19.000       17.906    
  341.0986329       1.0000       19.000       17.906    
  341.1209903       1.0000       19.000       17.906    
  341.1405617       1.0000       19.000       17.905    
  341.1612116       1.0000       19.000       17.905    
  341.1798055       1.0000       19.000       17.905    
  341.1984890       1.0000       19.000       17.905    
  341.2164927       1.0000       19.000       17.905    
  341.2347019       1.0000       19.000       17.905    
  341.2529417       1.0000       19.000       17.904    
  341.2719537       1.0000       19.000       17.904    
  341.2926427       1.0000       19.000       17.904    
  341.3153501       1.0000       19.000       17.904    
  341.3408346       1.0000       19.000       17.904    
  341.3695986       1.0000       19.000       17.903    
  341.4029150       1.0000       19.000       17.903    
  341.4420061       1.0000       19.000       17.903    
  341.4891999       1.0000       19.000       17.902    
  341.5478014       1.0000       19.000       17.902    
  341.6239840       1.0000       19.000       17.901    
  341.7273979       1.0000       19.000       17.900    
  341.8824781       1.0000       19.000       17.899    
  342.0000000       1.0000       19.000       17.898    
  342.0000000       1.0000       19.000       17.898    
  342.0253099       1.0000       19.000       17.898    
  342.0506198       1.0000       19.000       17.898    
  342.1012396       1.0000       19.000       17.898    
  342.2024792       1.0000       19.000       17.897    
