#      time         order        tairmean     top       
  336.0000000       1.0000       19.000       18.034    
  336.0277111       1.0000       19.000       18.034    
  336.0554222       1.0000       19.000       18.033    
  336.0682198       1.0000       19.000       18.033    
  336.0682198       1.0000       19.000       18.033    
  336.0903887       1.0000       19.000       18.032    
  336.1125575       1.0000       19.000       18.032    
  336.1568953       1.0000       19.000       18.031    
  336.2455708       1.0000       19.000       18.030    
  336.4229219       1.0000       19.000       18.027    
  336.7776240       1.0000       19.000       18.022    
  337.0000000       1.0000       19.000       18.019    
  337.0000000       1.0000       19.000       18.019    
  337.2837617       1.0000       19.000       18.015    
  337.5675234       1.0000       19.000       18.011    
  338.0000000       1.0000       19.000       18.006    
  338.0000000       1.0000       19.000       18.006    
  338.2270094       1.0000       19.000       18.003    
  338.4540187       1.0000       19.000       18.000    
  338.9080375       1.0000       19.000       17.995    
  339.0000000       1.0000       19.000       17.994    
  339.0000000       1.0000       19.000       17.994    
  339.3632150       1.0000       19.000       17.990    
  339.7264300       1.0000       19.000       17.987    
  340.0000000       1.0000       19.000       17.984    
  340.0000000       1.0000       19.000       17.984    
  340.2001218       1.0000       19.000       17.982    
  340.4002436       1.0000       19.000       17.980    
  340.4264857       1.0000       19.000       17.980    
  340.4789699       1.0000       19.000       17.979    
  340.4789699       1.0000       19.000       17.979    
  340.6390673       1.0000       19.000       17.978    
  340.7991647       1.0000       19.000       17.976    
  341.0000000       1.0000       19.000       17.974    
  341.0000000       1.0000       19.000       17.974    
  341.0334978       1.0000       19.000       17.974    
  341.0669955       1.0000       19.000       17.974    
  341.0986329       1.0000       19.000       17.973    
  341.1209903       1.0000       19.000       17.973    
  341.1405617       1.0000       19.000       17.973    
  341.1612116       1.0000       19.000       17.973    
  341.1798055       1.0000       19.000       17.972    
  341.1984890       1.0000       19.000       17.972    
  341.2164927       1.0000       19.000       17.972    
  341.2347019       1.0000       19.000       17.972    
  341.2529417       1.0000       19.000       17.972    
  341.2719537       1.0000       19.000       17.972    
  341.2926427       1.0000       19.000       17.971    
  341.3153501       1.0000       19.000       17.971    
  341.3408346       1.0000       19.000       17.971    
  341.3695986       1.0000       19.000       17.971    
  341.4029150       1.0000       19.000       17.970    
  341.4420061       1.0000       19.000       17.970    
  341.4891999       1.0000       19.000       17.970    
  341.5478014       1.0000       19.000       17.969    
  341.6239840       1.0000       19.000       17.968    
  341.7273979       1.0000       19.000       17.968    
  341.8824781       1.0000       19.000       17.966    
  342.0000000       1.0000       19.000       17.965    
  342.0000000       1.0000       19.000       17.965    
  342.0253099       1.0000       19.000       17.965    
  342.0506198       1.0000       19.000       17.965    
  342.1012396       1.0000       19.000       17.964    
  342.2024792       1.0000       19.000       17.964    
  342.4049584       1.0000       19.000       17.962    
  342.8099168       1.0000       19.000       17.959    
  343.0000000       1.0000       19.000       17.957    
  343.0000000       1.0000       19.000       17.957    
  343.0343945       1.0000       20.189       19.728    
  343.0687890       1.0000       21.039       20.157    
  343.1011679       1.0000       21.285       19.940    
  343.1334259       1.0000       21.208       19.643    
  343.1754230       1.0000       21.048       19.486    
  343.2405886       1.0000       20.983       19.512    
  343.3211551       1.0000       20.994       19.558    
  343.4506229       1.0000       21.003       19.579    
  343.6546876       1.0000       21.003       19.598    
  344.0000000       1.0000       21.002       19.628    
  344.0000000       1.0000       21.002       19.628    
  344.0275156       1.0000       21.002       19.630    
  344.0550312       1.0000       21.002       19.632    
  344.1100624       1.0000       21.002       19.637    
  344.2201247       1.0000       21.002       19.645    
  344.4402494       1.0000       21.002       19.661    
  344.8804989       1.0000       21.001       19.687    
  345.0000000       1.0000       21.001       19.693    
  345.0000000       1.0000       21.001       19.693    
  345.3521996       1.0000       21.001       19.710    
  345.7043991       1.0000       21.001       19.725    
  346.0000000       1.0000       21.001       19.736    
  346.0000000       1.0000       21.001       19.736    
  346.2817596       1.0000       21.001       19.745    
  346.5635193       1.0000       21.001       19.753    
  347.0000000       1.0000       21.001       19.764    
  347.0000000       1.0000       21.001       19.764    
  347.2254077       1.0000       21.001       19.769    
  347.4508154       1.0000       21.001       19.775    
  347.9016308       1.0000       21.000       19.784    
  348.0000000       1.0000       21.000       19.786    
  348.0000000       1.0000       21.000       19.786    
  348.3606523       1.0000       21.000       19.793    
  348.7213047       1.0000       21.000       19.799    
  349.0000000       1.0000       21.000       19.804    
  349.0000000       1.0000       21.000       19.804    
  349.2885219       1.0000       21.000       19.808    
  349.5770437       1.0000       21.000       19.813    
  350.0000000       1.0000       21.000       19.819    
  350.0000000       1.0000       21.000       19.819    
  350.2308175       1.0000       21.000       19.823    
  350.4616350       1.0000       21.000       19.826    
  350.9232700       1.0000       21.000       19.832    
  351.0000000       1.0000       21.000       19.833    
  351.0000000       1.0000       21.000       19.833    
  351.3693080       1.0000       21.000       19.837    
  351.7386160       1.0000       21.000       19.842    
  352.0000000       1.0000       21.000       19.845    
  352.0000000       1.0000       21.000       19.845    
  352.2954464       1.0000       21.000       19.848    
  352.5908928       1.0000       21.000       19.851    
  353.0000000       1.0000       21.000       19.855    
  353.0000000       1.0000       21.000       19.855    
  353.2363571       1.0000       21.000       19.858    
  353.4727142       1.0000       21.000       19.860    
  353.9454285       1.0000       21.000       19.864    
  354.0000000       1.0000       21.000       19.864    
  354.0000000       1.0000       21.000       19.864    
  354.0046237       1.0000       20.936       19.478    
  354.0092474       1.0000       20.819       19.115    
  354.0134995       1.0000       20.716       19.057    
  354.0183217       1.0000       20.603       18.995    
  354.0235101       1.0000       20.488       18.930    
  354.0295713       1.0000       20.359       18.859    
  354.0367419       1.0000       20.216       18.779    
  354.0460348       1.0000       20.044       18.683    
  354.0614277       1.0000       19.791       18.541    
  354.0775703       1.0000       19.555       18.408    
  354.0952626       1.0000       19.327       18.279    
  354.1127914       1.0000       19.125       18.165    
  354.1321188       1.0000       18.928       18.053    
  354.1528605       1.0000       18.741       17.945    
  354.1761060       1.0000       18.742       18.166    
  354.2020696       1.0000       18.865       18.364    
  354.2320001       1.0000       18.990       18.436    
  354.2670234       1.0000       19.041       18.398    
  354.3090898       1.0000       19.026       18.336    
  354.3608224       1.0000       19.002       18.306    
  354.4274251       1.0000       18.995       18.301    
  354.5171731       1.0000       18.997       18.292    
  354.6460647       1.0000       18.998       18.274    
  354.8494440       1.0000       18.998       18.250    
  355.0000000       1.0000       18.998       18.235    
  355.0000000       1.0000       18.998       18.235    
  355.0034017       1.0000       18.998       18.235    
  355.0068033       1.0000       18.998       18.234    
  355.0136067       1.0000       18.998       18.234    
  355.0272133       1.0000       18.998       18.232    
  355.0544266       1.0000       18.998       18.230    
  355.1088533       1.0000       18.998       18.225    
  355.2177066       1.0000       18.999       18.215    
  355.4354132       1.0000       18.999       18.196    
  355.8708263       1.0000       18.999       18.166    
  356.0000000       1.0000       18.999       18.158    
  356.0000000       1.0000       18.999       18.158    
  356.3483305       1.0000       18.999       18.138    
  356.6966611       1.0000       18.999       18.122    
  357.0000000       1.0000       18.999       18.109    
  357.0000000       1.0000       18.999       18.109    
  357.2786644       1.0000       18.999       18.099    
  357.5573289       1.0000       18.999       18.089    
  358.0000000       1.0000       18.999       18.077    
  358.0000000       1.0000       18.999       18.077    
  358.2229315       1.0000       18.999       18.070    
  358.4458631       1.0000       19.000       18.065    
  358.4664372       1.0000       19.000       18.064    
  358.5075854       1.0000       19.000       18.063    
  358.5075855       1.0000       19.000       18.063    
  358.6859307       1.0000       19.000       18.059    
  358.8642759       1.0000       19.000       18.055    
  359.0000000       1.0000       19.000       18.052    
  359.0000000       1.0000       19.000       18.052    
  359.1426762       1.0000       19.000       18.049    
  359.2853524       1.0000       19.000       18.046    
  359.5707047       1.0000       19.000       18.041    
  360.0000000       1.0000       19.000       18.034    
