#      time         order        tair      
  4679.000000       1.0000       15.297    
  4679.400000       1.0000       14.951    
  4679.800000       1.0000       14.605    
  4680.000000       1.0000       14.432    
  4680.000000       1.0000       14.434    
  4680.002746       1.0000       14.432    
  4680.005491       1.0000       14.429    
  4680.007168       1.0000       14.428    
  4680.007168       1.0000       14.428    
  4680.009364       1.0000       14.427    
  4680.011560       1.0000       14.425    
  4680.015953       1.0000       14.423    
  4680.024739       1.0000       14.418    
  4680.042311       1.0000       14.408    
  4680.077454       1.0000       14.387    
  4680.147740       1.0000       14.347    
  4680.288312       1.0000       14.266    
  4680.569457       1.0000       14.104    
  4680.676996       1.0000       14.042    
  4680.676996       1.0000       14.042    
  4680.726040       1.0000       14.014    
  4680.775084       1.0000       13.986    
  4680.873172       1.0000       13.929    
  4681.000000       1.0000       13.856    
  4681.000000       1.0000       13.856    
  4681.078470       1.0000       13.821    
  4681.156941       1.0000       13.787    
  4681.313881       1.0000       13.719    
  4681.627763       1.0000       13.584    
  4682.000000       1.0000       13.423    
  4682.000000       1.0000       13.423    
  4682.251105       1.0000       13.315    
  4682.502210       1.0000       13.206    
  4683.000000       1.0000       12.991    
  4683.000000       1.0000       12.991    
  4683.200884       1.0000       12.932    
  4683.401768       1.0000       12.874    
  4683.803536       1.0000       12.759    
  4684.000000       1.0000       12.702    
  4684.000000       1.0000       12.702    
  4684.006428       1.0000       12.700    
  4684.012857       1.0000       12.702    
  4684.023268       1.0000       12.705    
  4684.035190       1.0000       12.708    
  4684.052835       1.0000       12.713    
  4684.076866       1.0000       12.720    
  4684.097768       1.0000       12.726    
  4684.120418       1.0000       12.733    
  4684.139272       1.0000       12.738    
  4684.157925       1.0000       12.743    
  4684.175121       1.0000       12.748    
  4684.192204       1.0000       12.753    
  4684.208820       1.0000       12.758    
  4684.225481       1.0000       12.763    
  4684.242637       1.0000       12.768    
  4684.261190       1.0000       12.773    
  4684.281348       1.0000       12.779    
  4684.303612       1.0000       12.785    
  4684.328532       1.0000       12.793    
  4684.356755       1.0000       12.801    
  4684.389259       1.0000       12.810    
  4684.427362       1.0000       12.821    
  4684.473142       1.0000       12.834    
  4684.529739       1.0000       12.851    
  4684.602619       1.0000       12.872    
  4684.602619       1.0000       12.872    
  4684.610948       1.0000       12.874    
  4684.619277       1.0000       12.876    
  4684.635936       1.0000       12.881    
  4684.669253       1.0000       12.891    
  4684.735888       1.0000       12.910    
  4684.869156       1.0000       12.948    
  4685.000000       1.0000       12.986    
  4685.000000       1.0000       12.986    
  4685.106615       1.0000       13.088    
  4685.213230       1.0000       13.196    
  4685.426460       1.0000       13.411    
  4685.756670       1.0000       13.744    
  4686.000000       1.0000       13.989    
  4686.000000       1.0000       13.989    
  4686.034117       1.0000       14.063    
  4686.068234       1.0000       14.146    
  4686.077918       1.0000       14.170    
  4686.097287       1.0000       14.217    
  4686.136024       1.0000       14.312    
  4686.181668       1.0000       14.424    
  4686.195836       1.0000       14.458    
  4686.224172       1.0000       14.528    
  4686.280845       1.0000       14.667    
  4686.388561       1.0000       14.930    
  4686.420903       1.0000       15.009    
  4686.485587       1.0000       15.168    
  4686.511461       1.0000       15.231    
  4686.563209       1.0000       15.358    
  4686.666703       1.0000       15.611    
  4686.708101       1.0000       15.712    
  4686.790897       1.0000       15.915    
  4686.956489       1.0000       16.321    
  4686.956723       1.0000       16.321    
  4686.956723       1.0000       16.321    
  4686.964715       1.0000       16.341    
  4686.972707       1.0000       16.360    
  4686.988690       1.0000       16.399    
  4687.000000       1.0000       16.427    
  4687.000000       1.0000       16.427    
  4687.012787       1.0000       16.460    
  4687.025574       1.0000       16.495    
  4687.051147       1.0000       16.565    
