#      time         order        eflooravg 
  4679.000000       1.0000       0.0000    
  4679.400000       1.0000       0.0000    
  4679.800000       1.0000       0.0000    
  4680.000000       1.0000       0.0000    
  4680.000000       1.0000       0.0000    
  4680.002746       1.0000       0.0000    
  4680.005491       1.0000       0.0000    
  4680.007168       1.0000       0.0000    
  4680.007168       1.0000       0.0000    
  4680.009364       1.0000       0.0000    
  4680.011560       1.0000       0.0000    
  4680.015953       1.0000       0.0000    
  4680.024739       1.0000       0.0000    
  4680.042311       1.0000       0.0000    
  4680.077454       1.0000       0.0000    
  4680.147740       1.0000       0.0000    
  4680.288312       1.0000       0.0000    
  4680.569457       1.0000       0.0000    
  4680.676996       1.0000       0.0000    
  4680.676996       1.0000       0.0000    
  4680.726040       1.0000       0.0000    
  4680.775084       1.0000       0.0000    
  4680.873172       1.0000       0.0000    
  4681.000000       1.0000       0.0000    
  4681.000000       1.0000       0.0000    
  4681.078470       1.0000       0.0000    
  4681.156941       1.0000       0.0000    
  4681.313881       1.0000       0.0000    
  4681.627763       1.0000       0.0000    
  4682.000000       1.0000       0.0000    
  4682.000000       1.0000       0.0000    
  4682.251105       1.0000       0.0000    
  4682.502210       1.0000       0.0000    
  4683.000000       1.0000       0.0000    
  4683.000000       1.0000       0.0000    
  4683.200884       1.0000       0.0000    
  4683.401768       1.0000       0.0000    
  4683.803536       1.0000       43.014    
  4684.000000       1.0000       63.315    
  4684.000000       1.0000       63.315    
  4684.006428       1.0000       64.021    
  4684.012857       1.0000       64.729    
  4684.023268       1.0000       65.881    
  4684.035190       1.0000       67.207    
  4684.052835       1.0000       69.182    
  4684.076866       1.0000       71.896    
  4684.097768       1.0000       74.278    
  4684.120418       1.0000       76.881    
  4684.139272       1.0000       79.063    
  4684.157925       1.0000       81.236    
  4684.175121       1.0000       83.251    
  4684.192204       1.0000       85.263    
  4684.208820       1.0000       87.230    
  4684.225481       1.0000       89.210    
  4684.242637       1.0000       91.259    
  4684.261190       1.0000       93.485    
  4684.281348       1.0000       95.915    
  4684.303612       1.0000       98.611    
  4684.328532       1.0000       101.64    
  4684.356755       1.0000       105.10    
  4684.389259       1.0000       109.10    
  4684.427362       1.0000       113.81    
  4684.473142       1.0000       119.51    
  4684.529739       1.0000       126.60    
  4684.602619       1.0000       135.80    
  4684.602619       1.0000       135.80    
  4684.610948       1.0000       136.85    
  4684.619277       1.0000       137.91    
  4684.635936       1.0000       140.02    
  4684.669253       1.0000       144.25    
  4684.735888       1.0000       152.75    
  4684.869156       1.0000       169.81    
  4685.000000       1.0000       186.62    
  4685.000000       1.0000       186.62    
  4685.106615       1.0000       200.35    
  4685.213230       1.0000       214.05    
