#      time         order        tairma       togactive    togpassiv    toper        tug       
  4679.000000       1.0000       19.378       26.500       28.195       20.718       20.695    
  4679.400000       1.0000       19.388       26.500       28.198       20.690       20.698    
  4679.800000       1.0000       19.394       26.500       28.200       20.660       20.700    
  4680.000000       1.0000       19.397       26.500       28.201       20.645       20.701    
  4680.000000       1.0000       19.397       26.500       28.201       20.645       20.701    
  4680.002746       1.0000       19.397       26.500       28.201       20.645       20.701    
  4680.005491       1.0000       19.397       26.500       28.201       20.645       20.701    
  4680.007168       1.0000       19.397       26.500       28.201       20.645       20.701    
  4680.007168       1.0000       19.397       26.500       28.201       20.645       20.701    
  4680.009364       1.0000       19.397       26.500       28.201       20.645       20.701    
  4680.011560       1.0000       19.397       26.500       28.201       20.644       20.701    
  4680.015953       1.0000       19.397       26.500       28.201       20.644       20.701    
  4680.024739       1.0000       19.397       26.500       28.201       20.644       20.701    
  4680.042311       1.0000       19.397       26.500       28.201       20.642       20.701    
  4680.077454       1.0000       19.397       26.500       28.201       20.640       20.701    
  4680.147740       1.0000       19.398       26.500       28.201       20.634       20.701    
  4680.288312       1.0000       19.399       26.500       28.202       20.624       20.702    
  4680.569457       1.0000       19.400       26.500       28.202       20.602       20.702    
  4680.676996       1.0000       19.400       26.500       28.202       20.594       20.702    
  4680.676996       1.0000       19.400       26.500       28.202       20.594       20.702    
  4680.726040       1.0000       19.401       26.500       28.202       20.590       20.702    
  4680.775084       1.0000       19.401       26.500       28.202       20.586       20.702    
  4680.873172       1.0000       19.401       26.500       28.202       20.579       20.702    
  4681.000000       1.0000       19.400       26.500       28.202       20.569       20.702    
  4681.000000       1.0000       19.400       26.500       28.202       20.569       20.702    
  4681.078470       1.0000       19.400       26.500       28.202       20.563       20.702    
  4681.156941       1.0000       19.400       26.500       28.202       20.556       20.702    
  4681.313881       1.0000       19.399       26.500       28.202       20.544       20.702    
  4681.627763       1.0000       19.397       26.500       28.201       20.519       20.701    
  4682.000000       1.0000       19.394       26.500       28.200       20.489       20.700    
  4682.000000       1.0000       19.394       26.500       28.200       20.489       20.700    
  4682.251105       1.0000       19.391       26.500       28.199       20.468       20.699    
  4682.502210       1.0000       19.387       26.500       28.198       20.448       20.698    
  4683.000000       1.0000       19.378       26.500       28.195       20.406       20.695    
  4683.000000       1.0000       19.378       26.500       28.195       20.406       20.695    
  4683.200884       1.0000       19.375       26.500       28.194       20.389       20.694    
  4683.401768       1.0000       19.372       26.500       28.193       20.372       20.693    
  4683.803536       1.0000       19.366       26.500       28.191       20.337       20.691    
  4684.000000       1.0000       19.362       26.500       28.190       20.320       20.690    
  4684.000000       1.0000       19.362       26.500       28.190       20.320       20.690    
  4684.006428       1.0000       19.362       26.500       28.190       20.320       20.690    
  4684.012857       1.0000       19.362       26.500       28.189       20.319       20.690    
  4684.023268       1.0000       19.362       26.500       28.189       20.318       20.689    
  4684.035190       1.0000       19.362       26.500       28.189       20.317       20.689    
  4684.052835       1.0000       19.361       26.500       28.189       20.316       20.689    
  4684.076866       1.0000       19.361       26.500       28.189       20.313       20.689    
  4684.097768       1.0000       19.360       26.500       28.189       20.312       20.689    
  4684.120418       1.0000       19.360       26.500       28.189       20.310       20.689    
  4684.139272       1.0000       19.360       26.500       28.189       20.308       20.689    
  4684.157925       1.0000       19.359       26.500       28.189       20.307       20.689    
  4684.175121       1.0000       19.359       26.500       28.188       20.305       20.689    
  4684.192204       1.0000       19.359       26.500       28.188       20.304       20.688    
  4684.208820       1.0000       19.359       26.500       28.188       20.302       20.688    
  4684.225481       1.0000       19.358       26.500       28.188       20.301       20.688    
  4684.242637       1.0000       19.358       26.500       28.188       20.299       20.688    
  4684.261190       1.0000       19.358       26.500       28.188       20.298       20.688    
  4684.281348       1.0000       19.357       26.500       28.188       20.296       20.688    
  4684.303612       1.0000       19.357       26.500       28.188       20.294       20.688    
  4684.328532       1.0000       19.356       26.500       28.188       20.292       20.688    
  4684.356755       1.0000       19.356       26.500       28.187       20.289       20.688    
  4684.389259       1.0000       19.355       26.500       28.187       20.287       20.687    
  4684.427362       1.0000       19.355       26.500       28.187       20.283       20.687    
  4684.473142       1.0000       19.354       26.500       28.187       20.279       20.687    
  4684.529739       1.0000       19.353       26.500       28.187       20.274       20.687    
  4684.602619       1.0000       19.352       26.500       28.186       20.268       20.686    
  4684.602619       1.0000       19.352       26.500       28.186       20.268       20.686    
  4684.610948       1.0000       19.352       26.500       28.186       20.267       20.686    
  4684.619277       1.0000       19.352       26.500       28.186       20.267       20.686    
  4684.635936       1.0000       19.352       26.500       28.186       20.265       20.686    
  4684.669253       1.0000       19.351       26.500       28.186       20.262       20.686    
  4684.735888       1.0000       19.350       26.500       28.186       20.257       20.686    
  4684.869156       1.0000       19.348       26.500       28.185       20.247       20.685    
  4685.000000       1.0000       19.347       26.500       28.184       20.239       20.684    
  4685.000000       1.0000       19.347       26.500       28.184       20.239       20.684    
  4685.106615       1.0000       19.345       26.500       28.184       20.238       20.684    
  4685.213230       1.0000       19.344       26.500       28.184       20.240       20.684    
  4685.426460       1.0000       19.343       26.500       28.183       20.261       20.683    
  4685.756670       1.0000       19.343       26.500       28.183       20.340       20.683    
  4686.000000       1.0000       19.344       26.500       28.184       20.431       20.684    
  4686.000000       1.0000       19.344       26.500       28.184       20.431       20.684    
  4686.034117       1.0000       19.345       26.500       28.184       20.444       20.684    
  4686.068234       1.0000       19.345       26.500       28.184       20.824       20.684    
  4686.077918       1.0000       19.345       26.500       28.184       20.981       20.684    
  4686.097287       1.0000       19.345       26.500       28.184       21.131       20.684    
  4686.136024       1.0000       19.346       26.500       28.184       21.058       20.684    
  4686.181668       1.0000       19.347       26.500       28.184       20.922       20.684    
  4686.195836       1.0000       19.347       26.500       28.184       20.886       20.685    
  4686.224172       1.0000       19.347       26.500       28.185       20.861       20.685    
  4686.280845       1.0000       19.349       26.500       28.185       20.879       20.685    
  4686.388561       1.0000       19.351       26.500       28.186       20.896       20.686    
  4686.420903       1.0000       19.352       26.500       28.186       20.898       20.686    
  4686.485587       1.0000       19.354       26.500       28.187       20.898       20.687    
  4686.511461       1.0000       19.355       26.500       28.187       20.898       20.687    
  4686.563209       1.0000       19.357       26.500       28.188       20.899       20.688    
  4686.666703       1.0000       19.361       26.500       28.189       20.900       20.689    
  4686.708101       1.0000       19.363       26.500       28.190       20.901       20.690    
  4686.790897       1.0000       19.367       26.500       28.191       20.902       20.691    
  4686.956489       1.0000       19.375       26.500       28.194       20.905       20.694    
  4686.956723       1.0000       19.375       26.500       28.194       20.905       20.694    
  4686.956723       1.0000       19.375       26.500       28.194       20.905       20.694    
  4686.964715       1.0000       19.376       26.500       28.194       20.906       20.694    
  4686.972707       1.0000       19.376       26.500       28.194       20.906       20.694    
  4686.988690       1.0000       19.377       26.500       28.194       20.906       20.695    
  4687.000000       1.0000       19.378       26.500       28.195       20.906       20.695    
  4687.000000       1.0000       19.378       26.500       28.195       20.906       20.695    
  4687.012787       1.0000       19.377       26.500       28.194       20.906       20.694    
  4687.025574       1.0000       19.375       26.500       28.194       20.906       20.694    
  4687.051147       1.0000       19.373       26.500       28.193       20.907       20.693    
  4687.102294       1.0000       19.368       26.500       28.191       20.908       20.691    
  4687.105939       1.0000       19.367       26.500       28.191       20.908       20.691    
  4687.113229       1.0000       19.367       26.500       28.191       20.908       20.691    
  4687.127808       1.0000       19.365       26.500       28.191       20.909       20.691    
  4687.133640       1.0000       19.365       26.500       28.190       20.909       20.690    
  4687.145304       1.0000       19.364       26.500       28.190       20.909       20.690    
  4687.168631       1.0000       19.361       26.500       28.189       20.910       20.689    
  4687.214715       1.0000       19.357       26.500       28.188       20.911       20.688    
  4687.262542       1.0000       19.353       26.500       28.186       20.912       20.687    
  4687.321423       1.0000       19.348       26.500       28.185       20.913       20.685    
  4687.385193       1.0000       19.343       26.500       28.183       20.914       20.683    
  4687.463568       1.0000       19.336       26.500       28.181       20.916       20.681    
  4687.567531       1.0000       19.329       26.500       28.179       20.918       20.679    
  4687.691333       1.0000       19.321       26.500       28.176       20.920       20.676    
  4687.848171       1.0000       19.311       26.500       28.173       20.924       20.673    
  4687.980100       1.0000       19.305       26.500       28.171       20.929       20.671    
  4688.000000       1.0000       19.304       26.500       28.170       20.930       20.670    
  4688.000000       1.0000       19.304       26.500       28.170       20.930       20.670    
  4688.040918       1.0000       19.302       26.500       28.170       20.932       20.670    
  4688.081835       1.0000       19.300       26.500       28.169       20.934       20.669    
  4688.163671       1.0000       19.297       26.500       28.168       20.938       20.668    
  4688.163671       1.0000       19.297       26.500       28.168       20.938       20.668    
  4688.196405       1.0000       19.296       26.500       28.168       20.940       20.668    
  4688.229139       1.0000       19.295       26.500       28.167       20.942       20.667    
  4688.294607       1.0000       19.293       26.500       28.167       20.945       20.667    
  4688.381898       1.0000       19.290       26.500       28.166       20.950       20.666    
  4688.381898       1.0000       19.290       26.500       28.166       20.950       20.666    
  4688.434272       1.0000       19.289       26.500       28.165       20.953       20.665    
  4688.486647       1.0000       19.288       26.500       28.165       20.955       20.665    
  4688.591396       1.0000       19.286       26.500       28.164       20.961       20.664    
  4688.800894       1.0000       19.284       26.500       28.164       20.973       20.664    
  4689.000000       1.0000       19.284       26.500       28.164       20.985       20.664    
  4689.000000       1.0000       19.284       26.500       28.164       20.985       20.664    
  4689.108008       1.0000       19.285       26.500       28.164       20.991       20.664    
  4689.216015       1.0000       19.286       26.500       28.164       20.997       20.665    
  4689.234810       1.0000       19.287       26.500       28.165       20.998       20.665    
  4689.272400       1.0000       19.287       26.500       28.165       21.000       20.665    
  4689.272400       1.0000       19.287       26.500       28.165       21.000       20.665    
  4689.358806       1.0000       19.289       26.500       28.165       21.006       20.665    
  4689.445212       1.0000       19.291       26.500       28.166       21.011       20.666    
  4689.618024       1.0000       19.296       26.500       28.168       21.021       20.668    
  4689.914416       1.0000       19.308       26.500       28.172       21.040       20.672    
  4690.000000       1.0000       19.312       26.500       28.173       21.046       20.673    
  4690.000000       1.0000       19.312       26.500       28.173       21.046       20.673    
  4690.138250       1.0000       19.319       26.500       28.175       21.055       20.675    
  4690.276499       1.0000       19.327       26.500       28.178       21.064       20.678    
  4690.552998       1.0000       19.345       26.500       28.184       21.083       20.684    
  4690.888597       1.0000       19.369       26.500       28.192       21.107       20.692    
  4690.888597       1.0000       19.369       26.500       28.192       21.107       20.692    
  4690.944298       1.0000       19.373       26.500       28.193       21.111       20.693    
  4691.000000       1.0000       19.378       26.500       28.195       21.115       20.695    
  4691.000000       1.0000       19.378       26.500       28.195       21.115       20.695    
  4691.044561       1.0000       19.377       26.500       28.194       21.118       20.694    
  4691.089123       1.0000       19.375       26.500       28.194       21.121       20.694    
  4691.178245       1.0000       19.373       26.500       28.193       21.128       20.693    
  4691.356490       1.0000       19.369       26.500       28.192       21.141       20.692    
  4691.712980       1.0000       19.364       26.500       28.190       21.169       20.690    
  4692.000000       1.0000       19.362       26.500       28.189       21.192       20.689    
  4692.000000       1.0000       19.362       26.500       28.189       21.192       20.689    
  4692.285192       1.0000       19.361       26.500       28.189       21.216       20.689    
  4692.570384       1.0000       19.362       26.500       28.189       21.240       20.689    
  4693.000000       1.0000       19.365       26.500       28.190       21.278       20.690    
  4693.000000       1.0000       19.365       26.500       28.190       21.278       20.690    
  4693.228154       1.0000       19.367       26.500       28.191       21.298       20.691    
  4693.456307       1.0000       19.370       26.500       28.192       21.318       20.692    
  4693.912615       1.0000       19.375       26.500       28.194       21.360       20.694    
  4694.000000       1.0000       19.376       26.500       28.194       21.369       20.694    
  4694.000000       1.0000       19.376       26.500       28.194       21.369       20.694    
  4694.365046       1.0000       19.379       26.500       28.195       21.402       20.695    
  4694.730092       1.0000       19.379       26.500       28.195       21.437       20.695    
  4695.000000       1.0000       19.378       26.500       28.195       21.462       20.695    
  4695.000000       1.0000       19.378       26.500       28.195       21.462       20.695    
  4695.292037       1.0000       19.395       26.500       28.200       21.489       20.700    
  4695.584073       1.0000       19.409       26.500       28.205       21.517       20.705    
  4696.000000       1.0000       19.427       26.500       28.211       21.548       20.711    
  4696.000000       1.0000       19.427       26.500       28.211       21.548       20.711    
  4696.026105       1.0000       19.427       26.500       28.211       21.549       20.711    
  4696.052211       1.0000       19.428       26.500       28.211       21.549       20.711    
  4696.104422       1.0000       19.430       26.500       28.212       21.550       20.712    
  4696.104422       1.0000       19.430       26.500       28.212       21.550       20.712    
  4696.125306       1.0000       19.431       26.500       28.212       21.550       20.712    
  4696.146190       1.0000       19.432       26.500       28.212       21.550       20.712    
  4696.187959       1.0000       19.433       26.500       28.213       21.550       20.713    
  4696.271496       1.0000       19.435       26.500       28.214       21.545       20.714    
  4696.438571       1.0000       19.440       26.500       28.215       21.525       20.715    
  4696.772720       1.0000       19.446       26.500       28.217       21.441       20.717    
  4697.000000       1.0000       19.448       26.500       28.218       21.355       20.718    
  4697.000000       1.0000       19.448       26.500       28.218       21.355       20.718    
  4697.005541       1.0000       19.448       26.500       28.218       21.352       20.718    
  4697.011082       1.0000       19.448       26.500       28.218       21.350       20.718    
  4697.015515       1.0000       19.448       26.500       28.218       21.349       20.718    
  4697.020776       1.0000       19.448       26.500       28.218       21.346       20.718    
  4697.026265       1.0000       19.448       26.500       28.218       21.344       20.718    
  4697.032897       1.0000       19.448       26.500       28.218       21.342       20.718    
  4697.040929       1.0000       19.449       26.500       28.218       21.338       20.718    
  4697.052241       1.0000       19.449       26.500       28.218       21.334       20.718    
  4697.066492       1.0000       19.449       26.500       28.218       21.328       20.718    
  4697.083985       1.0000       19.449       26.500       28.218       21.321       20.718    
  4697.099706       1.0000       19.449       26.500       28.218       21.314       20.718    
  4697.117629       1.0000       19.449       26.500       28.218       21.307       20.718    
  4697.135957       1.0000       19.449       26.500       28.218       21.299       20.718    
  4697.156831       1.0000       19.449       26.500       28.218       21.290       20.718    
  4697.179759       1.0000       19.449       26.500       28.218       21.279       20.718    
  4697.185046       1.0000       19.449       26.500       28.218       21.277       20.718    
