#      time         order        q_cool       q_equip      q_heat       q_light      q_loss       q_occ        qintw        ql_a         qventil      qwcb         qwind     
  4679.000000       1.0000       0.0000       0.0000      3.61683E-22   0.0000       0.0000       0.0000       144.92      -9.9469      -229.71       90.105       0.0000    
  4679.400000       1.0000       0.0000       0.0000      3.56716E-18   0.0000       0.0000       0.0000       148.86      -10.716      -227.92       85.058       0.0000    
  4679.800000       1.0000       0.0000       0.0000      3.24616E-19   0.0000       0.0000       0.0000       153.15      -11.444      -226.10       79.578       0.0000    
  4680.000000       1.0000       0.0000       0.0000      1.94556E-17   0.0000       0.0000       0.0000       155.36      -11.800      -225.18       76.760       0.0000    
  4680.000000       1.0000       0.0000       0.0000      7.96142E-21   0.0000       0.0000       0.0000       155.36      -11.797      -225.18       76.760       0.0000    
  4680.002746       1.0000       0.0000       0.0000     -5.33810E-21   0.0000       0.0000       0.0000       155.39      -11.802      -225.16       76.722       0.0000    
  4680.005491       1.0000       0.0000       0.0000     -1.11300E-18   0.0000       0.0000       0.0000       155.42      -11.807      -225.15       76.683       0.0000    
  4680.007168       1.0000       0.0000       0.0000      6.83114E-19   0.0000       0.0000       0.0000       155.44      -11.810      -225.14       76.660       0.0000    
  4680.007168       1.0000       0.0000       0.0000      5.64308E-22   0.0000       0.0000       0.0000       155.44      -11.810      -225.14       76.660       0.0000    
  4680.009364       1.0000       0.0000       0.0000     -2.12849E-20   0.0000       0.0000       0.0000       155.46      -11.813      -225.13       76.629       0.0000    
  4680.011560       1.0000       0.0000       0.0000     -4.28187E-19   0.0000       0.0000       0.0000       155.49      -11.815      -225.12       76.598       0.0000    
  4680.015953       1.0000       0.0000       0.0000     -1.07098E-19   0.0000       0.0000       0.0000       155.54      -11.821      -225.10       76.537       0.0000    
  4680.024739       1.0000       0.0000       0.0000     -1.30836E-17   0.0000       0.0000       0.0000       155.63      -11.831      -225.06       76.413       0.0000    
  4680.042311       1.0000       0.0000       0.0000      1.02501E-17   0.0000       0.0000       0.0000       155.83      -11.852      -224.98       76.164       0.0000    
  4680.077454       1.0000       0.0000       0.0000     -2.09037E-17   0.0000       0.0000       0.0000       156.21      -11.894      -224.82       75.664       0.0000    
  4680.147740       1.0000       0.0000       0.0000     -2.02095E-19   0.0000       0.0000       0.0000       156.99      -11.977      -224.50       74.647       0.0000    
  4680.288312       1.0000       0.0000       0.0000     -3.03425E-19   0.0000       0.0000       0.0000       158.57      -12.140      -223.85       72.570       0.0000    
