#      time         order        qbridges     qcdwalls2z   qdaylite     qequip2zon   qhc2zone     qlcwinds2z   qlite        qloss        qocc2zone    qterm2zone
  4679.000000       1.0000       0.0000       606.83       0.0000       0.0000      2.88604E-18  -281.23       0.0000       0.0000       0.0000      -309.51    
  4679.400000       1.0000       0.0000       610.78       0.0000       0.0000      3.73067E-19  -289.35       0.0000       0.0000       0.0000      -313.71    
  4679.800000       1.0000       0.0000       614.23       0.0000       0.0000     -2.95054E-18  -297.03       0.0000       0.0000       0.0000      -315.44    
  4680.000000       1.0000       0.0000       615.91       0.0000       0.0000     -1.70631E-16  -300.81       0.0000       0.0000       0.0000      -315.79    
  4680.000000       1.0000       0.0000       615.91       0.0000       0.0000      5.75727E-19  -300.80       0.0000       0.0000       0.0000      -315.79    
  4680.002746       1.0000       0.0000       615.93       0.0000       0.0000     -2.56468E-21  -300.86       0.0000       0.0000       0.0000      -315.79    
  4680.005491       1.0000       0.0000       615.96       0.0000       0.0000      2.29781E-19  -300.91       0.0000       0.0000       0.0000      -315.80    
  4680.007168       1.0000       0.0000       615.97       0.0000       0.0000     -7.42003E-20  -300.94       0.0000       0.0000       0.0000      -315.80    
  4680.007168       1.0000       0.0000       615.97       0.0000       0.0000     -7.36367E-22  -300.94       0.0000       0.0000       0.0000      -315.80    
  4680.009364       1.0000       0.0000       615.99       0.0000       0.0000      1.93807E-22  -300.98       0.0000       0.0000       0.0000      -315.80    
  4680.011560       1.0000       0.0000       616.00       0.0000       0.0000     -3.33264E-19  -301.02       0.0000       0.0000       0.0000      -315.81    
  4680.015953       1.0000       0.0000       616.04       0.0000       0.0000     -2.78358E-18  -301.10       0.0000       0.0000       0.0000      -315.81    
  4680.024739       1.0000       0.0000       616.11       0.0000       0.0000     -3.88481E-19  -301.26       0.0000       0.0000       0.0000      -315.82    
  4680.042311       1.0000       0.0000       616.24       0.0000       0.0000     -1.37565E-17  -301.57       0.0000       0.0000       0.0000      -315.83    
