#      time         order        qbridges     qcdwalls2z   qdaylite     qequip2zon   qhc2zone     qlcwinds2z   qlite        qloss        qocc2zone    qterm2zone
  4679.000000       1.0000       0.0000       422.84       0.0000       0.0000       0.0000      -113.88       0.0000       0.0000       0.0000      -288.50    
  4679.400000       1.0000       0.0000       423.89       0.0000       0.0000       0.0000      -117.60       0.0000       0.0000       0.0000      -294.34    
  4679.800000       1.0000       0.0000       424.73       0.0000       0.0000       0.0000      -121.13       0.0000       0.0000       0.0000      -297.69    
  4680.000000       1.0000       0.0000       425.10       0.0000       0.0000       0.0000      -122.87       0.0000       0.0000       0.0000      -298.84    
  4680.000000       1.0000       0.0000       425.10       0.0000       0.0000       0.0000      -122.87       0.0000       0.0000       0.0000      -298.84    
  4680.002746       1.0000       0.0000       425.11       0.0000       0.0000       0.0000      -122.89       0.0000       0.0000       0.0000      -298.85    
  4680.005491       1.0000       0.0000       425.11       0.0000       0.0000       0.0000      -122.91       0.0000       0.0000       0.0000      -298.87    
  4680.007168       1.0000       0.0000       425.11       0.0000       0.0000       0.0000      -122.93       0.0000       0.0000       0.0000      -298.88    
  4680.007168       1.0000       0.0000       425.11       0.0000       0.0000       0.0000      -122.93       0.0000       0.0000       0.0000      -298.88    
  4680.009364       1.0000       0.0000       425.12       0.0000       0.0000       0.0000      -122.95       0.0000       0.0000       0.0000      -298.89    
  4680.011560       1.0000       0.0000       425.12       0.0000       0.0000       0.0000      -122.97       0.0000       0.0000       0.0000      -298.90    
  4680.015953       1.0000       0.0000       425.13       0.0000       0.0000       0.0000      -123.00       0.0000       0.0000       0.0000      -298.92    
  4680.024739       1.0000       0.0000       425.14       0.0000       0.0000       0.0000      -123.07       0.0000       0.0000       0.0000      -298.97    
  4680.042311       1.0000       0.0000       425.17       0.0000       0.0000       0.0000      -123.22       0.0000       0.0000       0.0000      -299.05    
  4680.077454       1.0000       0.0000       425.21       0.0000       0.0000       0.0000      -123.50       0.0000       0.0000       0.0000      -299.20    
  4680.147740       1.0000       0.0000       425.25       0.0000       0.0000       0.0000      -124.03       0.0000       0.0000       0.0000      -299.45    
  4680.288312       1.0000       0.0000       425.22       0.0000       0.0000       0.0000      -124.98       0.0000       0.0000       0.0000      -299.79    
  4680.569457       1.0000       0.0000       424.97       0.0000       0.0000       0.0000      -126.63       0.0000       0.0000       0.0000      -313.05    
  4680.676996       1.0000       0.0000       424.93       0.0000       0.0000       0.0000      -127.24       0.0000       0.0000       0.0000      -317.87    
  4680.676996       1.0000       0.0000       424.93       0.0000       0.0000       0.0000      -127.24       0.0000       0.0000       0.0000      -317.87    
  4680.726040       1.0000       0.0000       424.85       0.0000       0.0000       0.0000      -127.52       0.0000       0.0000       0.0000      -319.94    
  4680.775084       1.0000       0.0000       424.78       0.0000       0.0000       0.0000      -127.79       0.0000       0.0000       0.0000      -321.90    
  4680.873172       1.0000       0.0000       424.68       0.0000       0.0000       0.0000      -128.33       0.0000       0.0000       0.0000      -325.36    
  4681.000000       1.0000       0.0000       424.52       0.0000       0.0000       0.0000      -129.02       0.0000       0.0000       0.0000      -329.32    
  4681.000000       1.0000       0.0000       424.52       0.0000       0.0000       0.0000      -129.02       0.0000       0.0000       0.0000      -329.32    
  4681.078470       1.0000       0.0000       424.33       0.0000       0.0000       0.0000      -129.42       0.0000       0.0000       0.0000      -330.40    
