#      time         order        air_age      relhum       xco2vol   
  4679.000000       1.0000      0.98254      0.61712       401.13    
  4679.400000       1.0000      0.98262      0.62236       400.80    
  4679.800000       1.0000      0.98267      0.62668       400.57    
  4680.000000       1.0000      0.98270      0.62864       400.47    
  4680.000000       1.0000      0.98270      0.62864       400.47    
  4680.002746       1.0000      0.98270      0.62867       400.47    
  4680.005491       1.0000      0.98270      0.62870       400.47    
  4680.007168       1.0000      0.98270      0.62871       400.47    
  4680.007168       1.0000      0.98270      0.62871       400.47    
  4680.009364       1.0000      0.98270      0.62873       400.47    
  4680.011560       1.0000      0.98270      0.62876       400.47    
  4680.015953       1.0000      0.98270      0.62880       400.47    
  4680.024739       1.0000      0.98270      0.62888       400.46    
  4680.042311       1.0000      0.98270      0.62905       400.45    
  4680.077454       1.0000      0.98271      0.62939       400.44    
  4680.147740       1.0000      0.98271      0.63003       400.41    
  4680.288312       1.0000      0.98273      0.63126       400.36    
  4680.569457       1.0000      0.98271      0.63206       400.28    
  4680.676996       1.0000      0.98270      0.63215       400.25    
  4680.676996       1.0000      0.98270      0.63215       400.25    
  4680.726040       1.0000      0.98270      0.63214       400.24    
  4680.775084       1.0000      0.98269      0.63209       400.23    
  4680.873172       1.0000      0.98267      0.63183       400.21    
  4681.000000       1.0000      0.98264      0.63132       400.18    
  4681.000000       1.0000      0.98264      0.63132       400.18    
  4681.078470       1.0000      0.98262      0.63091       400.17    
  4681.156941       1.0000      0.98260      0.63046       400.16    
  4681.313881       1.0000      0.98256      0.62941       400.13    
  4681.627763       1.0000      0.98246      0.62694       400.10    
  4682.000000       1.0000      0.98233      0.62344       400.07    
  4682.000000       1.0000      0.98233      0.62344       400.07    
  4682.251105       1.0000      0.98224      0.62092       400.06    
  4682.502210       1.0000      0.98215      0.61827       400.05    
  4683.000000       1.0000      0.98196      0.61274       400.03    
  4683.000000       1.0000      0.98196      0.61274       400.03    
  4683.200884       1.0000      0.98189      0.61064       400.03    
  4683.401768       1.0000      0.98182      0.60866       400.02    
  4683.803536       1.0000      0.98169      0.60488       400.01    
  4684.000000       1.0000      0.98163      0.60306       400.01    
  4684.000000       1.0000      0.98163      0.60306       400.01    
  4684.006428       1.0000      0.98162      0.60301       400.01    
  4684.012857       1.0000      0.98162      0.60295       400.01    
  4684.023268       1.0000      0.98162      0.60285       400.01    
  4684.035190       1.0000      0.98162      0.60275       400.01    
  4684.052835       1.0000      0.98161      0.60261       400.01    
  4684.076866       1.0000      0.98160      0.60242       400.01    
  4684.097768       1.0000      0.98160      0.60227       400.01    
  4684.120418       1.0000      0.98159      0.60211       400.01    
  4684.139272       1.0000      0.98159      0.60199       400.01    
  4684.157925       1.0000      0.98158      0.60188       400.01    
  4684.175121       1.0000      0.98158      0.60178       400.01    
  4684.192204       1.0000      0.98158      0.60169       400.01    
  4684.208820       1.0000      0.98157      0.60160       400.01    
  4684.225481       1.0000      0.98157      0.60152       400.01    
  4684.242637       1.0000      0.98156      0.60144       400.01    
  4684.261190       1.0000      0.98156      0.60137       400.01    
  4684.281348       1.0000      0.98156      0.60129       400.01    
  4684.303612       1.0000      0.98155      0.60121       400.01    
  4684.328532       1.0000      0.98155      0.60114       400.01    
  4684.356755       1.0000      0.98155      0.60107       400.01    
  4684.389259       1.0000      0.98154      0.60100       400.01    
  4684.427362       1.0000      0.98154      0.60094       400.01    
  4684.473142       1.0000      0.98153      0.60091       400.01    
  4684.529739       1.0000      0.98153      0.60090       400.01    
  4684.602619       1.0000      0.98152      0.60097       400.01    
  4684.602619       1.0000      0.98152      0.60097       400.01    
  4684.610948       1.0000      0.98152      0.60098       400.01    
  4684.619277       1.0000      0.98152      0.60099       400.01    
  4684.635936       1.0000      0.98152      0.60101       400.01    
  4684.669253       1.0000      0.98152      0.60107       400.01    
  4684.735888       1.0000      0.98152      0.60123       400.01    
  4684.869156       1.0000      0.98152      0.60170       400.16    
  4685.000000       1.0000      0.98153      0.60224       400.58    
  4685.000000       1.0000      0.98153      0.60224       400.58    
  4685.106615       1.0000      0.98154      0.60290       401.48    
  4685.213230       1.0000      0.98156      0.60383       402.92    
  4685.426460       1.0000      0.98163      0.60658       409.04    
  4685.756670       1.0000      0.98180      0.61234       428.50    
  4686.000000       1.0000      0.98194      0.61689       449.64    
  4686.000000       1.0000      0.98194      0.61689       449.64    
  4686.034117       1.0000      0.98196      0.61757       452.74    
  4686.068234       1.0000      0.98199      0.61832       455.97    
  4686.077918       1.0000      0.98199      0.61853       456.90    
  4686.097287       1.0000      0.98201      0.61898       458.80    
  4686.136024       1.0000      0.98204      0.61989       462.75    
  4686.181668       1.0000      0.98207      0.62088       467.63    
  4686.195836       1.0000      0.98208      0.62118       469.16    
  4686.224172       1.0000      0.98210      0.62177       472.27    
  4686.280845       1.0000      0.98214      0.62290       478.69    
  4686.388561       1.0000      0.98221      0.62487       491.47    
  4686.420903       1.0000      0.98223      0.62545       495.33    
  4686.485587       1.0000      0.98226      0.62660       503.11    
  4686.511461       1.0000      0.98228      0.62705       506.23    
  4686.563209       1.0000      0.98230      0.62792       512.49    
  4686.666703       1.0000      0.98235      0.62960       524.89    
  4686.708101       1.0000      0.98237      0.63026       529.80    
  4686.790897       1.0000      0.98240      0.63152       539.47    
  4686.956489       1.0000      0.98246      0.63392       557.41    
  4686.956723       1.0000      0.98246      0.63392       557.43    
  4686.956723       1.0000      0.98246      0.63392       557.43    
  4686.964715       1.0000      0.98247      0.63397       558.30    
  4686.972707       1.0000      0.98247      0.63401       559.16    
  4686.988690       1.0000      0.98247      0.63409       560.86    
  4687.000000       1.0000      0.98247      0.63414       562.06    
  4687.000000       1.0000      0.98247      0.63414       562.06    
  4687.012787       1.0000      0.98247      0.63418       563.40    
  4687.025574       1.0000      0.98248      0.63423       564.73    
  4687.051147       1.0000      0.98248      0.63428       567.33    
  4687.102294       1.0000      0.98248      0.63428       572.33    
  4687.105939       1.0000      0.98248      0.63428       572.68    
  4687.113229       1.0000      0.98248      0.63428       573.39    
  4687.127808       1.0000      0.98247      0.63426       574.78    
  4687.133640       1.0000      0.98247      0.63425       575.34    
  4687.145304       1.0000      0.98247      0.63423       576.43    
  4687.168631       1.0000      0.98247      0.63416       578.59    
  4687.214715       1.0000      0.98246      0.63394       582.68    
  4687.262542       1.0000      0.98245      0.63364       586.73    
  4687.321423       1.0000      0.98243      0.63317       591.44    
  4687.385193       1.0000      0.98241      0.63254       596.22    
  4687.463568       1.0000      0.98238      0.63158       601.66    
  4687.567531       1.0000      0.98234      0.63002       608.20    
  4687.691333       1.0000      0.98227      0.62778       615.09    
  4687.848171       1.0000      0.98218      0.62440       622.62    
  4687.980100       1.0000      0.98210      0.62125       628.20    
  4688.000000       1.0000      0.98208      0.62077       629.03    
  4688.000000       1.0000      0.98208      0.62077       629.03    
  4688.040918       1.0000      0.98206      0.61976       630.65    
  4688.081835       1.0000      0.98203      0.61873       632.22    
  4688.163671       1.0000      0.98197      0.61661       635.10    
  4688.163671       1.0000      0.98197      0.61661       635.10    
  4688.196405       1.0000      0.98195      0.61575       636.21    
  4688.229139       1.0000      0.98193      0.61489       637.29    
  4688.294607       1.0000      0.98188      0.61313       639.32    
  4688.381898       1.0000      0.98182      0.61073       641.80    
  4688.381898       1.0000      0.98182      0.61073       641.80    
  4688.434272       1.0000      0.98179      0.60926       643.21    
  4688.486647       1.0000      0.98175      0.60779       644.55    
  4688.591396       1.0000      0.98168      0.60485       646.96    
  4688.800894       1.0000      0.98153      0.59900       650.95    
  4689.000000       1.0000      0.98140      0.59354       654.08    
  4689.000000       1.0000      0.98140      0.59354       654.08    
  4689.108008       1.0000      0.98133      0.59064       655.61    
  4689.216015       1.0000      0.98126      0.58778       656.99    
  4689.234810       1.0000      0.98125      0.58729       657.22    
  4689.272400       1.0000      0.98123      0.58630       657.68    
  4689.272400       1.0000      0.98123      0.58630       657.68    
  4689.358806       1.0000      0.98118      0.58411       658.64    
  4689.445212       1.0000      0.98113      0.58199       659.51    
  4689.618024       1.0000      0.98104      0.57800       661.00    
  4689.914416       1.0000      0.98090      0.57173       662.98    
  4690.000000       1.0000      0.98086      0.56998       663.50    
  4690.000000       1.0000      0.98086      0.56998       663.50    
  4690.138250       1.0000      0.98080      0.56731       664.23    
  4690.276499       1.0000      0.98075      0.56479       664.87    
  4690.552998       1.0000      0.98065      0.56025       665.86    
  4690.888597       1.0000      0.98056      0.55531       666.76    
  4690.888597       1.0000      0.98056      0.55531       666.76    
  4690.944298       1.0000      0.98054      0.55451       666.90    
  4691.000000       1.0000      0.98052      0.55372       667.03    
  4691.000000       1.0000      0.98052      0.55372       667.03    
  4691.044561       1.0000      0.98051      0.55310       667.13    
  4691.089123       1.0000      0.98050      0.55250       667.23    
  4691.178245       1.0000      0.98048      0.55132       667.41    
  4691.356490       1.0000      0.98044      0.54909       667.71    
  4691.712980       1.0000      0.98037      0.54506       668.15    
  4692.000000       1.0000      0.98032      0.54204       668.42    
  4692.000000       1.0000      0.98032      0.54204       668.42    
  4692.285192       1.0000      0.98027      0.53989       668.63    
  4692.570384       1.0000      0.98024      0.53734       668.78    
  4693.000000       1.0000      0.98019      0.53328       668.95    
  4693.000000       1.0000      0.98019      0.53328       668.95    
  4693.228154       1.0000      0.98016      0.53118       669.02    
  4693.456307       1.0000      0.98014      0.52916       669.07    
  4693.912615       1.0000      0.98011      0.52534       669.15    
  4694.000000       1.0000      0.98011      0.52462       669.16    
  4694.000000       1.0000      0.98011      0.52462       669.16    
  4694.365046       1.0000      0.98009      0.52198       669.20    
  4694.730092       1.0000      0.98008      0.51969       669.23    
  4695.000000       1.0000      0.98008      0.51819       669.25    
  4695.000000       1.0000      0.98008      0.51819       669.25    
  4695.292037       1.0000      0.98008      0.51682       669.27    
  4695.584073       1.0000      0.98009      0.51567       669.28    
  4696.000000       1.0000      0.98011      0.51442       668.19    
  4696.000000       1.0000      0.98011      0.51442       668.19    
  4696.026105       1.0000      0.98011      0.51436       668.08    
  4696.052211       1.0000      0.98011      0.51431       667.94    
  4696.104422       1.0000      0.98011      0.51426       667.53    
  4696.104422       1.0000      0.98011      0.51426       667.53    
  4696.125306       1.0000      0.98011      0.51424       667.34    
  4696.146190       1.0000      0.98011      0.51423       667.13    
  4696.187959       1.0000      0.98012      0.51423       666.64    
  4696.271496       1.0000      0.98012      0.51433       665.18    
  4696.438571       1.0000      0.98013      0.51482       660.15    
  4696.772720       1.0000      0.98016      0.51650       639.89    
  4697.000000       1.0000      0.98019      0.51779       620.09    
  4697.000000       1.0000      0.98019      0.51779       620.09    
  4697.005541       1.0000      0.98019      0.51782       619.61    
  4697.011082       1.0000      0.98019      0.51785       619.12    
  4697.015515       1.0000      0.98019      0.51788       618.72    
  4697.020776       1.0000      0.98019      0.51791       618.25    
  4697.026265       1.0000      0.98019      0.51794       617.75    
  4697.032897       1.0000      0.98019      0.51798       617.15    
  4697.040929       1.0000      0.98019      0.51802       616.41    
  4697.052241       1.0000      0.98019      0.51809       615.36    
  4697.066492       1.0000      0.98019      0.51817       614.01    
  4697.083985       1.0000      0.98019      0.51827       612.31    
  4697.099706       1.0000      0.98020      0.51836       610.76    
  4697.117629       1.0000      0.98020      0.51846       608.96    
  4697.135957       1.0000      0.98020      0.51857       607.09    
  4697.156831       1.0000      0.98020      0.51868       604.91    
  4697.179759       1.0000      0.98021      0.51881       602.46    
  4697.185046       1.0000      0.98021      0.51884       601.89    
  4697.195621       1.0000      0.98021      0.51889       600.74    
  4697.216771       1.0000      0.98021      0.51900       598.42    
  4697.246176       1.0000      0.98022      0.51914       595.14    
  4697.283119       1.0000      0.98022      0.51931       590.94    
  4697.329024       1.0000      0.98023      0.51951       585.61    
  4697.386985       1.0000      0.98024      0.51975       578.71    
  4697.462944       1.0000      0.98025      0.51999       569.58    
  4697.567792       1.0000      0.98026      0.52024       556.86    
  4697.567792       1.0000      0.98026      0.52024       556.86    
  4697.571338       1.0000      0.98027      0.52025       556.42    
  4697.574885       1.0000      0.98027      0.52026       555.99    
  4697.581978       1.0000      0.98027      0.52028       555.13    
  4697.596165       1.0000      0.98027      0.52031       553.41    
  4697.624538       1.0000      0.98027      0.52037       549.98    
  4697.681285       1.0000      0.98029      0.52049       543.20    
  4697.794779       1.0000      0.98031      0.52077       529.94    
  4698.000000       1.0000      0.98037      0.52146       508.08    
  4698.000000       1.0000      0.98037      0.52146       508.08    
  4698.090795       1.0000      0.98039      0.52171       499.10    
  4698.181590       1.0000      0.98042      0.52199       490.73    
  4698.363179       1.0000      0.98048      0.52272       476.55    
  4698.636106       1.0000      0.98057      0.52445       459.88    
  4698.982042       1.0000      0.98070      0.52790       444.27    
  4698.982042       1.0000      0.98070      0.52790       444.27    
  4698.991021       1.0000      0.98070      0.52800       443.87    
  4699.000000       1.0000      0.98071      0.52809       443.47    
  4699.000000       1.0000      0.98071      0.52809       443.47    
  4699.007183       1.0000      0.98071      0.52816       443.16    
  4699.014366       1.0000      0.98071      0.52824       442.84    
  4699.028732       1.0000      0.98072      0.52839       442.22    
  4699.057465       1.0000      0.98073      0.52869       441.01    
  4699.114930       1.0000      0.98075      0.52934       438.75    
  4699.229859       1.0000      0.98079      0.53075       434.68    
  4699.459719       1.0000      0.98088      0.53400       428.10    
  4699.919438       1.0000      0.98107      0.54326       419.13    
  4700.000000       1.0000      0.98111      0.54498       417.68    
  4700.000000       1.0000      0.98111      0.54498       417.68    
  4700.367775       1.0000      0.98127      0.55363       412.86    
  4700.735550       1.0000      0.98145      0.56299       409.36    
  4701.000000       1.0000      0.98159      0.56983       407.37    
  4701.000000       1.0000      0.98159      0.56983       407.37    
  4701.294220       1.0000      0.98174      0.57729       405.67    
  4701.588440       1.0000      0.98189      0.58473       404.37    
  4701.848517       1.0000      0.98203      0.59141       403.45    
  4701.848517       1.0000      0.98203      0.59141       403.45    
  4701.924259       1.0000      0.98207      0.59337       403.21    
  4702.000000       1.0000      0.98211      0.59534       402.98    
  4702.000000       1.0000      0.98211      0.59534       402.98    
  4702.060593       1.0000      0.98214      0.59693       402.80    
  4702.121186       1.0000      0.98218      0.59853       402.64    
  4702.242372       1.0000      0.98225      0.60178       402.35    
  4702.319484       1.0000      0.98229      0.60387       402.18    
  4702.319484       1.0000      0.98229      0.60387       402.18    
  4702.416433       1.0000      0.98234      0.60627       401.98    
  4702.513382       1.0000      0.98238      0.60850       401.81    
  4702.637131       1.0000      0.98243      0.61109       401.60    
  4702.791387       1.0000      0.98248      0.61399       401.39    
  4703.000000       1.0000      0.98254      0.61741       401.14    
