#      time         order        eflooravg 
  0.000000000       1.0000       0.0000    
 0.4000000000       1.0000       0.0000    
 0.8000000000       1.0000       0.0000    
 0.9999999986       1.0000       0.0000    
  1.000000001       1.0000       0.0000    
  1.320000001       1.0000       0.0000    
  1.640000001       1.0000       0.0000    
  1.999999999       1.0000       0.0000    
  2.000000001       1.0000       0.0000    
  2.256000001       1.0000       0.0000    
  2.512000001       1.0000       0.0000    
  2.999999999       1.0000       0.0000    
  3.000000001       1.0000       0.0000    
  3.204800001       1.0000       0.0000    
  3.409600001       1.0000       0.0000    
  3.819200001       1.0000       0.0000    
  3.999999999       1.0000       0.0000    
  4.000000001       1.0000       0.0000    
  4.327680001       1.0000       0.0000    
  4.655360001       1.0000       0.0000    
  4.999999999       1.0000       0.0000    
  5.000000001       1.0000       0.0000    
  5.038365838       1.0000       0.0000    
  5.076731675       1.0000       0.0000    
  5.104449597       1.0000       0.0000    
  5.125821266       1.0000       0.0000    
  5.149792543       1.0000       0.0000    
  5.169222995       1.0000       0.0000    
  5.188945410       1.0000       0.0000    
  5.207136412       1.0000       0.0000    
  5.225565451       1.0000       0.0000    
  5.243693694       1.0000       0.0000    
  5.262224368       1.0000       0.0000    
  5.281870192       1.0000       0.0000    
  5.303332978       1.0000       0.0000    
  5.327114067       1.0000       0.0000    
  5.353775990       1.0000       0.0000    
  5.384294424       1.0000       0.0000    
  5.419694225       1.0000       0.0000    
  5.461760219       1.0000       0.0000    
  5.512994683       1.0000       0.0000    
  5.577875619       1.0000       0.0000    
  5.662925407       1.0000       0.0000    
  5.784120990       1.0000       0.0000    
  5.968684667       1.0000      2.00895E-02
  5.999999999       1.0000      2.38190E-02
  6.000000001       1.0000      2.38190E-02
  6.030692671       1.0000      3.47851E-02
  6.061385340       1.0000      4.57511E-02
  6.122770679       1.0000      6.76832E-02
  6.245541357       1.0000      0.12239    
  6.491082712       1.0000      0.29030    
  6.581254047       1.0000      0.36548    
  6.581254050       1.0000      0.36548    
  6.777687134       1.0000      0.57156    
  6.974120218       1.0000      0.82358    
  6.999999999       1.0000      0.85749    
  7.000000004       1.0000      0.85749    
  7.031429298       1.0000      0.89866    
  7.062858591       1.0000      0.93983    
  7.093514613       1.0000      0.97999    
  7.124019456       1.0000       1.0200    
  7.161556697       1.0000       1.0691    
  7.225392091       1.0000       1.1467    
  7.298552584       1.0000       1.2251    
  7.417294031       1.0000       1.3483    
  7.600253738       1.0000       1.5008    
  7.921132868       1.0000       1.6630    
  7.999999999       1.0000       1.6912    
  8.000000001       1.0000       1.6912    
  8.025143436       1.0000       1.6941    
  8.050286871       1.0000       1.6971    
  8.100573740       1.0000       1.7031    
  8.201147480       1.0000       1.7150    
  8.402294958       1.0000       1.7150    
  8.804589914       1.0000       34.514    
  8.999999999       1.0000       55.788    
  9.000000001       1.0000       55.788    
  9.321835966       1.0000       90.185    
  9.643671931       1.0000       133.30    
  9.999999999       1.0000       192.39    
  10.00000000       1.0000       192.39    
  10.25746877       1.0000       234.17    
  10.51493755       1.0000       274.14    
  11.00000000       1.0000       317.89    
  11.00000000       1.0000       317.89    
  11.20597502       1.0000       335.83    
  11.41195004       1.0000       353.32    
  11.82390007       1.0000       360.43    
  12.00000000       1.0000       359.88    
  12.00000000       1.0000       359.88    
  12.12532242       1.0000       359.31    
  12.25064484       1.0000       358.58    
