#      time         order        tairmean     top       
  0.000000000       1.0000       18.999       18.182    
 0.4000000000       1.0000       19.001       18.170    
 0.8000000000       1.0000       19.000       18.164    
 0.9999999986       1.0000       19.000       18.161    
  1.000000001       1.0000       19.000       18.161    
  1.320000001       1.0000       19.000       18.156    
  1.640000001       1.0000       19.000       18.150    
  1.999999999       1.0000       19.000       18.145    
  2.000000001       1.0000       19.000       18.145    
  2.256000001       1.0000       19.000       18.142    
  2.512000001       1.0000       19.000       18.139    
  2.999999999       1.0000       19.000       18.132    
  3.000000001       1.0000       19.000       18.132    
  3.204800001       1.0000       19.000       18.129    
  3.409600001       1.0000       19.000       18.127    
  3.819200001       1.0000       19.000       18.122    
  3.999999999       1.0000       19.000       18.120    
  4.000000001       1.0000       19.000       18.120    
  4.327680001       1.0000       19.000       18.117    
  4.655360001       1.0000       19.000       18.114    
  4.999999999       1.0000       19.000       18.110    
  5.000000001       1.0000       19.000       18.110    
  5.038365838       1.0000       19.000       18.110    
  5.076731675       1.0000       19.000       18.110    
  5.104449597       1.0000       19.000       18.109    
  5.125821266       1.0000       19.000       18.109    
  5.149792543       1.0000       19.000       18.109    
  5.169222995       1.0000       19.000       18.109    
  5.188945410       1.0000       19.000       18.109    
  5.207136412       1.0000       19.000       18.108    
  5.225565451       1.0000       19.000       18.108    
  5.243693694       1.0000       19.000       18.108    
  5.262224368       1.0000       19.000       18.108    
  5.281870192       1.0000       19.000       18.108    
  5.303332978       1.0000       19.000       18.108    
  5.327114067       1.0000       19.000       18.107    
  5.353775990       1.0000       19.000       18.107    
  5.384294424       1.0000       19.000       18.107    
  5.419694225       1.0000       19.000       18.107    
  5.461760219       1.0000       19.000       18.106    
  5.512994683       1.0000       19.000       18.106    
  5.577875619       1.0000       19.000       18.105    
  5.662925407       1.0000       19.000       18.105    
  5.784120990       1.0000       19.000       18.104    
  5.968684667       1.0000       19.000       18.102    
  5.999999999       1.0000       19.000       18.102    
  6.000000001       1.0000       19.000       18.102    
  6.030692671       1.0000       19.000       18.102    
  6.061385340       1.0000       19.000       18.102    
  6.122770679       1.0000       19.000       18.101    
  6.245541357       1.0000       19.000       18.100    
  6.491082712       1.0000       19.001       18.098    
  6.581254047       1.0000       19.001       18.098    
  6.581254050       1.0000       19.001       18.098    
  6.777687134       1.0000       19.001       18.096    
  6.974120218       1.0000       19.001       18.095    
  6.999999999       1.0000       19.001       18.094    
  7.000000004       1.0000       19.001       18.094    
  7.031429298       1.0000       20.113       19.823    
  7.062858591       1.0000       20.993       20.337    
  7.093514613       1.0000       21.305       20.158    
  7.124019456       1.0000       21.254       19.838    
  7.161556697       1.0000       21.081       19.634    
  7.225392091       1.0000       20.984       19.641    
  7.298552584       1.0000       20.990       19.694    
  7.417294031       1.0000       21.003       19.718    
  7.600253738       1.0000       21.004       19.735    
  7.921132868       1.0000       21.003       19.762    
  7.999999999       1.0000       21.002       19.769    
  8.000000001       1.0000       21.002       19.769    
  8.025143436       1.0000       21.002       19.771    
  8.050286871       1.0000       21.002       19.773    
  8.100573740       1.0000       21.002       19.777    
  8.201147480       1.0000       21.002       19.784    
  8.402294958       1.0000       21.002       19.798    
  8.804589914       1.0000       21.002       19.824    
  8.999999999       1.0000       21.002       19.835    
  9.000000001       1.0000       21.002       19.835    
  9.321835966       1.0000       21.001       19.852    
  9.643671931       1.0000       21.001       19.867    
  9.999999999       1.0000       21.001       19.885    
  10.00000000       1.0000       21.001       19.885    
  10.25746877       1.0000       21.001       19.897    
  10.51493755       1.0000       21.001       19.908    
  11.00000000       1.0000       21.001       19.928    
  11.00000000       1.0000       21.001       19.928    
  11.20597502       1.0000       21.001       19.936    
  11.41195004       1.0000       21.001       19.944    
  11.82390007       1.0000       21.001       19.957    
