#      time         order        tairmean     top       
  0.000000000       1.0000       18.999       18.207    
 0.4000000000       1.0000       19.001       18.194    
 0.8000000000       1.0000       19.000       18.187    
 0.9999999986       1.0000       19.000       18.184    
  1.000000001       1.0000       19.000       18.184    
  1.320000001       1.0000       19.000       18.178    
  1.640000001       1.0000       19.000       18.173    
  1.999999999       1.0000       19.000       18.167    
  2.000000001       1.0000       19.000       18.167    
  2.256000001       1.0000       19.000       18.164    
  2.512000001       1.0000       19.000       18.160    
  2.999999999       1.0000       19.000       18.154    
  3.000000001       1.0000       19.000       18.154    
  3.204800001       1.0000       19.000       18.151    
  3.409600001       1.0000       19.000       18.149    
  3.819200001       1.0000       19.000       18.144    
  3.999999999       1.0000       19.000       18.142    
  4.000000001       1.0000       19.000       18.142    
  4.327680001       1.0000       19.000       18.139    
  4.655360001       1.0000       19.000       18.135    
  4.999999999       1.0000       19.000       18.132    
  5.000000001       1.0000       19.000       18.132    
  5.038365838       1.0000       19.000       18.132    
  5.076731675       1.0000       19.000       18.132    
  5.104449597       1.0000       19.000       18.131    
  5.125821266       1.0000       19.000       18.131    
  5.149792543       1.0000       19.000       18.131    
  5.169222995       1.0000       19.000       18.131    
  5.188945410       1.0000       19.000       18.130    
  5.207136412       1.0000       19.000       18.130    
  5.225565451       1.0000       19.000       18.130    
  5.243693694       1.0000       19.000       18.130    
  5.262224368       1.0000       19.000       18.130    
  5.281870192       1.0000       19.000       18.130    
  5.303332978       1.0000       19.000       18.129    
  5.327114067       1.0000       19.000       18.129    
  5.353775990       1.0000       19.000       18.129    
  5.384294424       1.0000       19.000       18.129    
  5.419694225       1.0000       19.000       18.128    
  5.461760219       1.0000       19.000       18.128    
  5.512994683       1.0000       19.000       18.128    
  5.577875619       1.0000       19.000       18.127    
  5.662925407       1.0000       19.000       18.126    
  5.784120990       1.0000       19.000       18.125    
  5.968684667       1.0000       19.000       18.124    
  5.999999999       1.0000       19.000       18.124    
  6.000000001       1.0000       19.000       18.124    
  6.030692671       1.0000       19.000       18.124    
  6.061385340       1.0000       19.000       18.123    
  6.122770679       1.0000       19.000       18.123    
  6.245541357       1.0000       19.000       18.122    
  6.491082712       1.0000       19.001       18.120    
  6.581254047       1.0000       19.001       18.119    
  6.581254050       1.0000       19.001       18.119    
  6.777687134       1.0000       19.001       18.118    
  6.974120218       1.0000       19.001       18.116    
  6.999999999       1.0000       19.001       18.116    
  7.000000004       1.0000       19.001       18.116    
  7.031429298       1.0000       20.114       19.841    
  7.062858591       1.0000       20.993       20.353    
  7.093514613       1.0000       21.305       20.175    
  7.124019456       1.0000       21.254       19.854    
  7.161556697       1.0000       21.081       19.652    
  7.225392091       1.0000       20.984       19.658    
  7.298552584       1.0000       20.990       19.712    
  7.417294031       1.0000       21.003       19.736    
  7.600253738       1.0000       21.004       19.753    
  7.921132868       1.0000       21.003       19.781    
  7.999999999       1.0000       21.002       19.788    
  8.000000001       1.0000       21.002       19.788    
  8.025143436       1.0000       21.002       19.790    
  8.050286871       1.0000       21.002       19.792    
  8.100573740       1.0000       21.002       19.796    
  8.201147480       1.0000       21.002       19.804    
  8.402294958       1.0000       21.002       19.818    
  8.804589914       1.0000       21.002       19.843    
  8.999999999       1.0000       21.002       19.854    
  9.000000001       1.0000       21.002       19.854    
  9.321835966       1.0000       21.001       19.871    
  9.643671931       1.0000       21.001       19.887    
  9.999999999       1.0000       21.001       19.906    
  10.00000000       1.0000       21.001       19.906    
  10.25746877       1.0000       21.001       19.919    
  10.51493755       1.0000       21.001       19.931    
  11.00000000       1.0000       21.001       19.949    
  11.00000000       1.0000       21.001       19.949    
  11.20597502       1.0000       21.001       19.956    
  11.41195004       1.0000       21.001       19.963    
  11.82390007       1.0000       21.001       19.973    
  12.00000000       1.0000       21.001       19.977    
  12.00000000       1.0000       21.001       19.977    
  12.12532242       1.0000       21.001       19.980    
