#      time         order        tairmean     top       
  336.0000000       1.0000       19.000       18.143    
  336.0277111       1.0000       19.000       18.142    
  336.0554222       1.0000       19.000       18.142    
  336.0682198       1.0000       19.000       18.141    
  336.0682198       1.0000       19.000       18.141    
  336.0903887       1.0000       19.000       18.141    
  336.1125575       1.0000       19.000       18.141    
  336.1568953       1.0000       19.000       18.140    
  336.2455708       1.0000       19.000       18.138    
  336.4229219       1.0000       19.000       18.135    
  336.7776240       1.0000       19.000       18.129    
  337.0000000       1.0000       19.000       18.126    
  337.0000000       1.0000       19.000       18.126    
  337.2837617       1.0000       19.000       18.121    
  337.5675234       1.0000       19.000       18.117    
  338.0000000       1.0000       19.000       18.112    
  338.0000000       1.0000       19.000       18.112    
  338.2270094       1.0000       19.000       18.109    
  338.4540187       1.0000       19.000       18.106    
  338.9080375       1.0000       19.000       18.100    
  339.0000000       1.0000       19.000       18.099    
  339.0000000       1.0000       19.000       18.099    
  339.3632150       1.0000       19.000       18.095    
  339.7264300       1.0000       19.000       18.091    
  340.0000000       1.0000       19.000       18.088    
  340.0000000       1.0000       19.000       18.088    
  340.2001218       1.0000       19.000       18.086    
  340.4002436       1.0000       19.000       18.084    
  340.4264857       1.0000       19.000       18.084    
  340.4789699       1.0000       19.000       18.083    
  340.4789699       1.0000       19.000       18.083    
  340.6390673       1.0000       19.000       18.082    
  340.7991647       1.0000       19.000       18.080    
  341.0000000       1.0000       19.000       18.078    
  341.0000000       1.0000       19.000       18.078    
  341.0334978       1.0000       19.000       18.078    
  341.0669955       1.0000       19.000       18.077    
  341.0986329       1.0000       19.000       18.077    
  341.1209903       1.0000       19.000       18.077    
  341.1405617       1.0000       19.000       18.077    
  341.1612116       1.0000       19.000       18.077    
  341.1798055       1.0000       19.000       18.076    
  341.1984890       1.0000       19.000       18.076    
  341.2164927       1.0000       19.000       18.076    
  341.2347019       1.0000       19.000       18.076    
  341.2529417       1.0000       19.000       18.076    
  341.2719537       1.0000       19.000       18.075    
  341.2926427       1.0000       19.000       18.075    
  341.3153501       1.0000       19.000       18.075    
  341.3408346       1.0000       19.000       18.075    
  341.3695986       1.0000       19.000       18.075    
  341.4029150       1.0000       19.000       18.074    
  341.4420061       1.0000       19.000       18.074    
  341.4891999       1.0000       19.000       18.073    
  341.5478014       1.0000       19.000       18.073    
  341.6239840       1.0000       19.000       18.072    
  341.7273979       1.0000       19.000       18.071    
  341.8824781       1.0000       19.000       18.070    
  342.0000000       1.0000       19.000       18.069    
  342.0000000       1.0000       19.000       18.069    
  342.0253099       1.0000       19.000       18.068    
  342.0506198       1.0000       19.000       18.068    
  342.1012396       1.0000       19.000       18.068    
  342.2024792       1.0000       19.000       18.067    
  342.4049584       1.0000       19.000       18.065    
  342.8099168       1.0000       19.000       18.062    
  343.0000000       1.0000       19.000       18.060    
  343.0000000       1.0000       19.000       18.060    
  343.0343945       1.0000       20.195       19.840    
  343.0687890       1.0000       21.046       20.260    
  343.1011679       1.0000       21.287       20.033    
  343.1334259       1.0000       21.206       19.731    
  343.1754230       1.0000       21.044       19.576    
  343.2405886       1.0000       20.981       19.606    
  343.3211551       1.0000       20.993       19.652    
  343.4506229       1.0000       21.003       19.672    
  343.6546876       1.0000       21.003       19.691    
  344.0000000       1.0000       21.002       19.721    
  344.0000000       1.0000       21.002       19.721    
  344.0275156       1.0000       21.002       19.723    
  344.0550312       1.0000       21.002       19.726    
  344.1100624       1.0000       21.002       19.730    
  344.2201247       1.0000       21.002       19.739    
  344.4402494       1.0000       21.002       19.755    
  344.8804989       1.0000       21.001       19.783    
  345.0000000       1.0000       21.001       19.790    
  345.0000000       1.0000       21.001       19.790    
  345.3521996       1.0000       21.001       19.807    
  345.7043991       1.0000       21.001       19.821    
  346.0000000       1.0000       21.001       19.831    
  346.0000000       1.0000       21.001       19.831    
  346.2817596       1.0000       21.001       19.841    
  346.5635193       1.0000       21.001       19.849    
  347.0000000       1.0000       21.001       19.861    
  347.0000000       1.0000       21.001       19.861    
  347.2254077       1.0000       21.001       19.867    
  347.4508154       1.0000       21.001       19.872    
  347.9016308       1.0000       21.000       19.882    
  348.0000000       1.0000       21.000       19.884    
  348.0000000       1.0000       21.000       19.884    
  348.3606523       1.0000       21.000       19.891    
  348.7213047       1.0000       21.000       19.898    
  349.0000000       1.0000       21.000       19.903    
  349.0000000       1.0000       21.000       19.903    
  349.2885219       1.0000       21.000       19.908    
