#      time         order        q_cool       q_equip      q_heat       q_light      q_loss       q_occ        qintw        ql_a         qventil      qwcb         qwind     
  336.0000000       1.0000       0.0000       0.0000       2595.5       0.0000       0.0000       0.0000       213.41      -64.509      -132.35      -1625.5      -986.52    
  336.0277111       1.0000       0.0000       0.0000       2597.3       0.0000       0.0000       0.0000       212.32      -64.526      -132.35      -1626.0      -986.74    
  336.0554222       1.0000       0.0000       0.0000       2599.1       0.0000       0.0000       0.0000       211.23      -64.543      -132.35      -1626.4      -986.95    
  336.0682198       1.0000       0.0000       0.0000       2599.9       0.0000       0.0000       0.0000       210.73      -64.550      -132.35      -1626.6      -987.05    
  336.0682198       1.0000       0.0000       0.0000       2599.9       0.0000       0.0000       0.0000       210.73      -64.550      -132.35      -1626.6      -987.05    
  336.0903887       1.0000       0.0000       0.0000       2601.3       0.0000       0.0000       0.0000       209.87      -64.559      -132.35      -1627.0      -987.22    
  336.1125575       1.0000       0.0000       0.0000       2602.7       0.0000       0.0000       0.0000       209.02      -64.567      -132.35      -1627.4      -987.39    
  336.1568953       1.0000       0.0000       0.0000       2605.4       0.0000       0.0000       0.0000       207.34      -64.584      -132.35      -1628.1      -987.71    
  336.2455708       1.0000       0.0000       0.0000       2610.8       0.0000       0.0000       0.0000       204.03      -64.618      -132.35      -1629.5      -988.33    
  336.4229219       1.0000       0.0000       0.0000       2621.0       0.0000       0.0000       0.0000       197.82      -64.685      -132.35      -1632.4      -989.40    
  336.7776240       1.0000       0.0000       0.0000       2640.1       0.0000       0.0000       0.0000       186.54      -64.822      -132.36      -1638.1      -991.33    
  337.0000000       1.0000       0.0000       0.0000       2651.5       0.0000       0.0000       0.0000       179.90      -64.908      -132.36      -1641.7      -992.50    
  337.0000000       1.0000       0.0000       0.0000       2651.5       0.0000       0.0000       0.0000       179.90      -64.908      -132.36      -1641.7      -992.50    
  337.2837617       1.0000       0.0000       0.0000       2665.4       0.0000       0.0000       0.0000       172.05      -64.994      -132.36      -1646.2      -993.82    
  337.5675234       1.0000       0.0000       0.0000       2678.5       0.0000       0.0000       0.0000       164.75      -65.075      -132.36      -1650.8      -995.01    
  338.0000000       1.0000       0.0000       0.0000       2697.2       0.0000       0.0000       0.0000       154.72      -65.198      -132.36      -1657.7      -996.70    
  338.0000000       1.0000       0.0000       0.0000       2697.2       0.0000       0.0000       0.0000       154.72      -65.198      -132.36      -1657.7      -996.70    
  338.2270094       1.0000       0.0000       0.0000       2706.8       0.0000       0.0000       0.0000       149.74      -65.264      -132.36      -1661.3      -997.56    
  338.4540187       1.0000       0.0000       0.0000       2716.0       0.0000       0.0000       0.0000       145.02      -65.329      -132.36      -1664.9      -998.43    
  338.9080375       1.0000       0.0000       0.0000       2733.6       0.0000       0.0000       0.0000       136.47      -65.461      -132.36      -1672.1      -1000.1    
  339.0000000       1.0000       0.0000       0.0000       2737.1       0.0000       0.0000       0.0000       134.77      -65.488      -132.36      -1673.5      -1000.5    
  339.0000000       1.0000       0.0000       0.0000       2737.1       0.0000       0.0000       0.0000       134.77      -65.488      -132.36      -1673.5      -1000.5    
  339.3632150       1.0000       0.0000       0.0000       2750.1       0.0000       0.0000       0.0000       128.57      -65.562      -132.36      -1679.2      -1001.6    
  339.7264300       1.0000       0.0000       0.0000       2762.6       0.0000       0.0000       0.0000       122.81      -65.630      -132.36      -1684.8      -1002.6    
  340.0000000       1.0000       0.0000       0.0000       2771.6       0.0000       0.0000       0.0000       118.70      -65.682      -132.36      -1688.9      -1003.3    
  340.0000000       1.0000       0.0000       0.0000       2771.6       0.0000       0.0000       0.0000       118.70      -65.682      -132.36      -1688.9      -1003.3    
  340.2001218       1.0000       0.0000       0.0000       2777.7       0.0000       0.0000       0.0000       115.81      -65.663      -132.36      -1692.0      -1003.5    
  340.4002436       1.0000       0.0000       0.0000       2783.4       0.0000       0.0000       0.0000       113.02      -65.616      -132.36      -1695.0      -1003.4    
  340.4264857       1.0000       0.0000       0.0000       2784.1       0.0000       0.0000       0.0000       112.66      -65.610      -132.36      -1695.4      -1003.4    
  340.4789699       1.0000       0.0000       0.0000       2785.5       0.0000       0.0000       0.0000       111.94      -65.598      -132.36      -1696.2      -1003.3    
  340.4789699       1.0000       0.0000       0.0000       2785.5       0.0000       0.0000       0.0000       111.94      -65.598      -132.36      -1696.2      -1003.3    
  340.6390673       1.0000       0.0000       0.0000       2789.7       0.0000       0.0000       0.0000       109.80      -65.562      -132.36      -1698.6      -1003.0    
  340.7991647       1.0000       0.0000       0.0000       2793.7       0.0000       0.0000       0.0000       107.72      -65.526      -132.37      -1700.9      -1002.6    
  341.0000000       1.0000       0.0000       0.0000       2798.6       0.0000       0.0000       0.0000       105.21      -65.482      -132.37      -1703.9      -1002.1    
  341.0000000       1.0000       0.0000       0.0000       2798.6       0.0000       0.0000       0.0000       105.21      -65.482      -132.37      -1703.9      -1002.1    
  341.0334978       1.0000       0.0000       0.0000       2799.4       0.0000       0.0000       0.0000       104.79      -65.475      -132.37      -1704.4      -1002.0    
  341.0669955       1.0000       0.0000       0.0000       2800.2       0.0000       0.0000       0.0000       104.37      -65.468      -132.37      -1704.9      -1001.9    
  341.0986329       1.0000       0.0000       0.0000       2801.0       0.0000       0.0000       0.0000       103.98      -65.444      -132.37      -1705.3      -1001.8    
  341.1209903       1.0000       0.0000       0.0000       2801.5       0.0000       0.0000       0.0000       103.71      -65.427      -132.37      -1705.7      -1001.7    
  341.1405617       1.0000       0.0000       0.0000       2801.9       0.0000       0.0000       0.0000       103.47      -65.413      -132.37      -1705.9      -1001.6    
  341.1612116       1.0000       0.0000       0.0000       2802.3       0.0000       0.0000       0.0000       103.22      -65.397      -132.37      -1706.2      -1001.5    
  341.1798055       1.0000       0.0000       0.0000       2802.7       0.0000       0.0000       0.0000       103.00      -65.383      -132.37      -1706.5      -1001.4    
  341.1984890       1.0000       0.0000       0.0000       2803.1       0.0000       0.0000       0.0000       102.77      -65.369      -132.37      -1706.8      -1001.3    
  341.2164927       1.0000       0.0000       0.0000       2803.4       0.0000       0.0000       0.0000       102.56      -65.355      -132.37      -1707.0      -1001.2    
  341.2347019       1.0000       0.0000       0.0000       2803.8       0.0000       0.0000       0.0000       102.34      -65.342      -132.37      -1707.3      -1001.1    
  341.2529417       1.0000       0.0000       0.0000       2804.2       0.0000       0.0000       0.0000       102.12      -65.328      -132.37      -1707.6      -1001.0    
  341.2719537       1.0000       0.0000       0.0000       2804.5       0.0000       0.0000       0.0000       101.89      -65.314      -132.37      -1707.8      -1000.9    
  341.2926427       1.0000       0.0000       0.0000       2804.9       0.0000       0.0000       0.0000       101.65      -65.298      -132.37      -1708.1      -1000.8    
  341.3153501       1.0000       0.0000       0.0000       2805.4       0.0000       0.0000       0.0000       101.38      -65.281      -132.37      -1708.5      -1000.6    
  341.3408346       1.0000       0.0000       0.0000       2805.8       0.0000       0.0000       0.0000       101.08      -65.262      -132.37      -1708.8      -1000.4    
  341.3695986       1.0000       0.0000       0.0000       2806.4       0.0000       0.0000       0.0000       100.74      -65.241      -132.37      -1709.3      -1000.2    
  341.4029150       1.0000       0.0000       0.0000       2806.9       0.0000       0.0000       0.0000       100.35      -65.216      -132.37      -1709.7      -999.98    
  341.4420061       1.0000       0.0000       0.0000       2807.6       0.0000       0.0000       0.0000       99.889      -65.187      -132.37      -1710.3      -999.67    
  341.4891999       1.0000       0.0000       0.0000       2808.4       0.0000       0.0000       0.0000       99.342      -65.152      -132.37      -1711.0      -999.27    
  341.5478014       1.0000       0.0000       0.0000       2809.4       0.0000       0.0000       0.0000       98.668      -65.109      -132.37      -1711.8      -998.77    
  341.6239840       1.0000       0.0000       0.0000       2810.6       0.0000       0.0000       0.0000       97.802      -65.053      -132.37      -1712.9      -998.09    
  341.7273979       1.0000       0.0000       0.0000       2812.2       0.0000       0.0000       0.0000       96.642      -64.978      -132.37      -1714.3      -997.13    
  341.8824781       1.0000       0.0000       0.0000       2814.4       0.0000       0.0000      1.18744E-06   94.943      -64.866      -132.37      -1716.5      -995.64    
  342.0000000       1.0000       0.0000       0.0000       2816.1       0.0000       0.0000      2.88736E-06   93.677      -64.782      -132.37      -1718.1      -994.50    
  342.0000000       1.0000       0.0000       0.0000       2816.1       0.0000       0.0000      2.88375E-06   93.677      -64.782      -132.37      -1718.1      -994.50    
  342.0253099       1.0000       0.0000       0.0000       2816.4       0.0000       0.0000      3.97859E-06   93.405      -64.764      -132.37      -1718.4      -994.26    
  342.0506198       1.0000       0.0000       0.0000       2816.8       0.0000       0.0000      5.07346E-06   93.134      -64.745      -132.37      -1718.8      -994.01    
  342.1012396       1.0000       0.0000       0.0000       2817.3       0.0000       0.0000      7.26326E-06   92.594      -64.673      -132.37      -1719.4      -993.44    
  342.2024792       1.0000       0.0000       0.0000       2818.2       0.0000       0.0000      1.17147E-05   91.541      -64.491      -132.37      -1720.8      -992.05    
