#      time         order        tairma       togactive    togpassiv    toper        tug       
  336.0000000       1.0000      -11.982       24.500       25.000       17.988       20.500    
  336.0277111       1.0000      -11.981       24.500       25.000       17.988       20.500    
  336.0554222       1.0000      -11.981       24.500       25.000       17.987       20.500    
  336.0682198       1.0000      -11.981       24.500       25.000       17.987       20.500    
  336.0682198       1.0000      -11.981       24.500       25.000       17.987       20.500    
  336.0903887       1.0000      -11.981       24.500       25.000       17.987       20.500    
  336.1125575       1.0000      -11.981       24.500       25.000       17.987       20.500    
  336.1568953       1.0000      -11.981       24.500       25.000       17.986       20.500    
  336.2455708       1.0000      -11.980       24.500       25.000       17.984       20.500    
  336.4229219       1.0000      -11.979       24.500       25.000       17.982       20.500    
  336.7776240       1.0000      -11.977       24.500       25.000       17.977       20.500    
  337.0000000       1.0000      -11.977       24.500       25.000       17.973       20.500    
  337.0000000       1.0000      -11.977       24.500       25.000       17.973       20.500    
  337.2837617       1.0000      -11.976       24.500       25.000       17.970       20.500    
  337.5675234       1.0000      -11.975       24.500       25.000       17.966       20.500    
  338.0000000       1.0000      -11.975       24.500       25.000       17.961       20.500    
  338.0000000       1.0000      -11.975       24.500       25.000       17.961       20.500    
  338.2270094       1.0000      -11.975       24.500       25.000       17.958       20.500    
  338.4540187       1.0000      -11.976       24.500       25.000       17.955       20.500    
  338.9080375       1.0000      -11.977       24.500       25.000       17.950       20.500    
  339.0000000       1.0000      -11.977       24.500       25.000       17.949       20.500    
  339.0000000       1.0000      -11.977       24.500       25.000       17.949       20.500    
  339.3632150       1.0000      -11.978       24.500       25.000       17.946       20.500    
  339.7264300       1.0000      -11.980       24.500       25.000       17.942       20.500    
  340.0000000       1.0000      -11.982       24.500       25.000       17.939       20.500    
  340.0000000       1.0000      -11.982       24.500       25.000       17.939       20.500    
  340.2001218       1.0000      -11.985       24.500       25.000       17.937       20.500    
  340.4002436       1.0000      -11.987       24.500       25.000       17.935       20.500    
  340.4264857       1.0000      -11.988       24.500       25.000       17.935       20.500    
  340.4789699       1.0000      -11.988       24.500       25.000       17.935       20.500    
  340.4789699       1.0000      -11.988       24.500       25.000       17.935       20.500    
  340.6390673       1.0000      -11.991       24.500       25.000       17.933       20.500    
  340.7991647       1.0000      -11.993       24.500       25.000       17.932       20.500    
  341.0000000       1.0000      -11.995       24.500       25.000       17.930       20.500    
  341.0000000       1.0000      -11.995       24.500       25.000       17.930       20.500    
  341.0334978       1.0000      -11.996       24.500       25.000       17.929       20.500    
  341.0669955       1.0000      -11.996       24.500       25.000       17.929       20.500    
  341.0986329       1.0000      -11.997       24.500       25.000       17.929       20.500    
  341.1209903       1.0000      -11.997       24.500       25.000       17.929       20.500    
  341.1405617       1.0000      -11.997       24.500       25.000       17.929       20.500    
  341.1612116       1.0000      -11.997       24.500       25.000       17.928       20.500    
  341.1798055       1.0000      -11.998       24.500       25.000       17.928       20.500    
  341.1984890       1.0000      -11.998       24.500       25.000       17.928       20.500    
  341.2164927       1.0000      -11.998       24.500       25.000       17.928       20.500    
  341.2347019       1.0000      -11.998       24.500       25.000       17.928       20.500    
  341.2529417       1.0000      -11.998       24.500       25.000       17.928       20.500    
  341.2719537       1.0000      -11.999       24.500       25.000       17.927       20.500    
  341.2926427       1.0000      -11.999       24.500       25.000       17.927       20.500    
  341.3153501       1.0000      -11.999       24.500       25.000       17.927       20.500    
  341.3408346       1.0000      -11.999       24.500       25.000       17.927       20.500    
  341.3695986       1.0000      -12.000       24.500       25.000       17.926       20.500    
  341.4029150       1.0000      -12.000       24.500       25.000       17.926       20.500    
  341.4420061       1.0000      -12.000       24.500       25.000       17.926       20.500    
  341.4891999       1.0000      -12.001       24.500       25.000       17.925       20.500    
  341.5478014       1.0000      -12.001       24.500       25.000       17.925       20.500    
  341.6239840       1.0000      -12.002       24.500       25.000       17.924       20.500    
  341.7273979       1.0000      -12.003       24.500       25.000       17.923       20.500    
  341.8824781       1.0000      -12.004       24.500       25.000       17.922       20.500    
  342.0000000       1.0000      -12.005       24.500       25.000       17.921       20.500    
  342.0000000       1.0000      -12.005       24.500       25.000       17.921       20.500    
  342.0253099       1.0000      -12.005       24.500       25.000       17.921       20.500    
  342.0506198       1.0000      -12.005       24.500       25.000       17.921       20.500    
  342.1012396       1.0000      -12.005       24.500       25.000       17.920       20.500    
  342.2024792       1.0000      -12.006       24.500       25.000       17.920       20.500    
  342.4049584       1.0000      -12.006       24.500       25.000       17.918       20.500    
  342.8099168       1.0000      -12.004       24.500       25.000       17.915       20.500    
  343.0000000       1.0000      -12.003       24.500       25.000       17.914       20.500    
  343.0000000       1.0000      -12.003       24.500       25.000       17.914       20.500    
  343.0343945       1.0000      -12.002       24.500       25.000       19.692       20.500    
  343.0687890       1.0000      -12.002       24.500       25.000       20.124       20.500    
  343.1011679       1.0000      -12.001       24.500       25.000       19.908       20.500    
  343.1334259       1.0000      -12.001       24.500       25.000       19.609       20.500    
  343.1754230       1.0000      -12.000       24.500       25.000       19.451       20.500    
  343.2405886       1.0000      -11.999       24.500       25.000       19.477       20.500    
  343.3211551       1.0000      -11.998       24.500       25.000       19.523       20.500    
  343.4506229       1.0000      -11.996       24.500       25.000       19.542       20.500    
  343.6546876       1.0000      -11.991       24.500       25.000       19.561       20.500    
  344.0000000       1.0000      -11.982       24.500       25.000       19.589       20.500    
  344.0000000       1.0000      -11.982       24.500       25.000       19.589       20.500    
  344.0275156       1.0000      -11.982       24.500       25.000       19.592       20.500    
  344.0550312       1.0000      -11.983       24.500       25.000       19.594       20.500    
  344.1100624       1.0000      -11.985       24.500       25.000       19.598       20.500    
  344.2201247       1.0000      -11.988       24.500       25.000       19.607       20.500    
  344.4402494       1.0000      -11.993       24.500       25.000       19.622       20.500    
  344.8804989       1.0000      -12.002       24.500       25.000       19.647       20.500    
  345.0000000       1.0000      -12.003       24.500       25.000       19.653       20.500    
  345.0000000       1.0000      -12.003       24.500       25.000       19.653       20.500    
  345.3521996       1.0000      -12.007       24.500       25.000       19.670       20.500    
  345.7043991       1.0000      -12.008       24.500       25.000       19.684       20.500    
  346.0000000       1.0000      -12.008       24.500       25.000       19.695       20.500    
  346.0000000       1.0000      -12.008       24.500       25.000       19.695       20.500    
  346.2817596       1.0000      -12.007       24.500       25.000       19.704       20.500    
  346.5635193       1.0000      -12.005       24.500       25.000       19.712       20.500    
  347.0000000       1.0000      -12.000       24.500       25.000       19.723       20.500    
  347.0000000       1.0000      -12.000       24.500       25.000       19.723       20.500    
  347.2254077       1.0000      -11.996       24.500       25.000       19.729       20.500    
  347.4508154       1.0000      -11.993       24.500       25.000       19.734       20.500    
  347.9016308       1.0000      -11.984       24.500       25.000       19.743       20.500    
  348.0000000       1.0000      -11.982       24.500       25.000       19.745       20.500    
  348.0000000       1.0000      -11.982       24.500       25.000       19.745       20.500    
  348.3606523       1.0000      -11.982       24.500       25.000       19.752       20.500    
  348.7213047       1.0000      -11.981       24.500       25.000       19.758       20.500    
  349.0000000       1.0000      -11.981       24.500       25.000       19.763       20.500    
  349.0000000       1.0000      -11.981       24.500       25.000       19.763       20.500    
  349.2885219       1.0000      -11.980       24.500       25.000       19.767       20.500    
  349.5770437       1.0000      -11.978       24.500       25.000       19.772       20.500    
