#      time         order        t            tair         tout      
  4679.000000       1.0000       17.000       15.297       22.035    
  4679.400000       1.0000       17.000       14.951       21.972    
  4679.800000       1.0000       17.000       14.605       21.910    
  4680.000000       1.0000       17.000       14.432       21.879    
  4680.000000       1.0000       17.000       14.434       21.879    
  4680.002746       1.0000       17.000       14.432       21.879    
  4680.005491       1.0000       17.000       14.429       21.879    
  4680.007168       1.0000       17.000       14.428       21.878    
  4680.007168       1.0000       17.000       14.428       21.878    
  4680.009364       1.0000       17.000       14.427       21.878    
  4680.011560       1.0000       17.000       14.425       21.878    
  4680.015953       1.0000       17.000       14.423       21.877    
  4680.024739       1.0000       17.000       14.418       21.876    
  4680.042311       1.0000       17.000       14.408       21.873    
  4680.077454       1.0000       17.000       14.387       21.867    
  4680.147740       1.0000       17.000       14.347       21.857    
  4680.288312       1.0000       17.000       14.266       21.835    
  4680.569457       1.0000       17.000       14.104       21.793    
  4680.676971       1.0000       17.000       14.042       21.777    
  4680.676971       1.0000       17.000       14.042       21.777    
  4680.726028       1.0000       17.000       14.014       21.770    
  4680.775084       1.0000       17.000       13.986       21.762    
  4680.873198       1.0000       17.000       13.929       21.748    
  4681.000000       1.0000       17.000       13.856       21.729    
  4681.000000       1.0000       17.000       13.856       21.729    
  4681.078491       1.0000       17.000       13.821       21.717    
  4681.156982       1.0000       17.000       13.787       21.706    
  4681.313963       1.0000       17.000       13.719       21.683    
  4681.627927       1.0000       17.000       13.584       21.637    
  4682.000000       1.0000       17.000       13.423       21.583    
  4682.000000       1.0000       17.000       13.423       21.583    
  4682.251171       1.0000       17.000       13.314       21.546    
  4682.502341       1.0000       17.000       13.206       21.510    
  4683.000000       1.0000       17.000       12.991       21.438    
  4683.000000       1.0000       17.000       12.991       21.438    
  4683.200936       1.0000       17.000       12.932       21.409    
  4683.401873       1.0000       17.000       12.874       21.380    
  4683.803746       1.0000       17.000       12.759       21.362    
  4684.000000       1.0000       17.000       12.702       21.360    
  4684.000000       1.0000       17.000       12.702       21.360    
  4684.006430       1.0000       17.000       12.700       21.360    
  4684.012860       1.0000       17.000       12.702       21.360    
  4684.023253       1.0000       17.000       12.705       21.360    
  4684.035152       1.0000       17.000       12.708       21.359    
  4684.052744       1.0000       17.000       12.713       21.357    
  4684.076747       1.0000       17.000       12.720       21.355    
  4684.097601       1.0000       17.000       12.726       21.354    
  4684.120210       1.0000       17.000       12.733       21.353    
  4684.139000       1.0000       17.000       12.738       21.352    
  4684.157579       1.0000       17.000       12.743       21.352    
  4684.174684       1.0000       17.000       12.748       21.352    
  4684.191659       1.0000       17.000       12.753       21.352    
  4684.208147       1.0000       17.000       12.758       21.352    
  4684.224654       1.0000       17.000       12.763       21.352    
  4684.241752       1.0000       17.000       12.768       21.352    
  4684.260203       1.0000       17.000       12.773       21.352    
  4684.280277       1.0000       17.000       12.779       21.353    
  4684.302422       1.0000       17.000       12.785       21.354    
  4684.327206       1.0000       17.000       12.792       21.355    
  4684.355250       1.0000       17.000       12.800       21.356    
  4684.387527       1.0000       17.000       12.810       21.357    
  4684.425324       1.0000       17.000       12.820       21.359    
  4684.470682       1.0000       17.000       12.834       21.361    
  4684.526668       1.0000       17.000       12.850       21.364    
  4684.598608       1.0000       17.000       12.870       21.366    
  4684.598608       1.0000       17.000       12.870       21.366    
  4684.606922       1.0000       17.000       12.873       21.366    
  4684.615236       1.0000       17.000       12.875       21.366    
  4684.631864       1.0000       17.000       12.880       21.367    
  4684.665121       1.0000       17.000       12.890       21.368    
  4684.731633       1.0000       17.000       12.909       21.369    
  4684.864659       1.0000       17.000       12.947       21.372    
  4685.000000       1.0000       17.000       12.986       21.379    
  4685.000000       1.0000       17.000       12.986       21.379    
  4685.106421       1.0000       17.000       13.088       21.390    
  4685.212841       1.0000       17.000       13.196       21.407    
  4685.425683       1.0000       17.000       13.410       21.465    
  4685.756025       1.0000       17.000       13.743       21.621    
  4686.000000       1.0000       17.000       13.989       21.785    
