#      time         order        air_age      relhum       xco2vol   
  4679.000000       1.0000      0.98254      0.60582       401.14    
  4679.400000       1.0000      0.98262      0.61127       400.81    
  4679.800000       1.0000      0.98267      0.61582       400.58    
  4680.000000       1.0000      0.98270      0.61791       400.48    
  4680.000000       1.0000      0.98270      0.61791       400.48    
  4680.002746       1.0000      0.98270      0.61794       400.48    
  4680.005491       1.0000      0.98270      0.61797       400.48    
  4680.007168       1.0000      0.98270      0.61799       400.48    
  4680.007168       1.0000      0.98270      0.61799       400.48    
  4680.009364       1.0000      0.98270      0.61801       400.47    
  4680.011560       1.0000      0.98270      0.61804       400.47    
  4680.015953       1.0000      0.98270      0.61808       400.47    
  4680.024739       1.0000      0.98270      0.61817       400.47    
  4680.042311       1.0000      0.98270      0.61835       400.46    
  4680.077454       1.0000      0.98271      0.61871       400.44    
  4680.147740       1.0000      0.98271      0.61940       400.41    
  4680.288312       1.0000      0.98272      0.62072       400.36    
  4680.569457       1.0000      0.98271      0.62173       400.28    
  4680.676971       1.0000      0.98270      0.62190       400.25    
  4680.676971       1.0000      0.98270      0.62190       400.25    
  4680.726028       1.0000      0.98270      0.62193       400.24    
  4680.775084       1.0000      0.98269      0.62191       400.23    
  4680.873198       1.0000      0.98267      0.62174       400.21    
  4681.000000       1.0000      0.98264      0.62133       400.18    
  4681.000000       1.0000      0.98264      0.62133       400.18    
  4681.078491       1.0000      0.98262      0.62099       400.17    
  4681.156982       1.0000      0.98260      0.62061       400.16    
  4681.313963       1.0000      0.98256      0.61969       400.14    
  4681.627927       1.0000      0.98246      0.61750       400.10    
  4682.000000       1.0000      0.98233      0.61432       400.07    
  4682.000000       1.0000      0.98233      0.61432       400.07    
  4682.251171       1.0000      0.98224      0.61202       400.06    
  4682.502341       1.0000      0.98215      0.60959       400.05    
  4683.000000       1.0000      0.98196      0.60449       400.03    
  4683.000000       1.0000      0.98196      0.60449       400.03    
  4683.200936       1.0000      0.98189      0.60256       400.03    
  4683.401873       1.0000      0.98182      0.60075       400.02    
