#      time         order        qbridges     qcdwalls2z   qdaylite     qequip2zon   qhc2zone     qlcwinds2z   qlite        qloss        qocc2zone    qterm2zone
  4679.000000       1.0000       0.0000       280.48       0.0000       0.0000      3.82262E-20   0.0000       0.0000       0.0000       0.0000      -256.17    
  4679.400000       1.0000       0.0000       279.02       0.0000       0.0000      3.28077E-18   0.0000       0.0000       0.0000       0.0000      -263.44    
  4679.800000       1.0000       0.0000       277.50       0.0000       0.0000     -9.72382E-17   0.0000       0.0000       0.0000       0.0000      -268.13    
  4680.000000       1.0000       0.0000       276.73       0.0000       0.0000      3.92731E-17   0.0000       0.0000       0.0000       0.0000      -269.95    
  4680.000000       1.0000       0.0000       276.73       0.0000       0.0000      4.20264E-20   0.0000       0.0000       0.0000       0.0000      -269.94    
  4680.002746       1.0000       0.0000       276.72       0.0000       0.0000     -1.16209E-15   0.0000       0.0000       0.0000       0.0000      -269.97    
  4680.005491       1.0000       0.0000       276.71       0.0000       0.0000     -2.06563E-18   0.0000       0.0000       0.0000       0.0000      -269.99    
  4680.007168       1.0000       0.0000       276.71       0.0000       0.0000      3.75172E-19   0.0000       0.0000       0.0000       0.0000      -270.01    
  4680.007168       1.0000       0.0000       276.71       0.0000       0.0000     -6.43428E-23   0.0000       0.0000       0.0000       0.0000      -270.01    
  4680.009364       1.0000       0.0000       276.70       0.0000       0.0000      3.15435E-15   0.0000       0.0000       0.0000       0.0000      -270.03    
  4680.011560       1.0000       0.0000       276.69       0.0000       0.0000     -5.07294E-20   0.0000       0.0000       0.0000       0.0000      -270.05    
  4680.015953       1.0000       0.0000       276.67       0.0000       0.0000      3.09049E-18   0.0000       0.0000       0.0000       0.0000      -270.08    
  4680.024739       1.0000       0.0000       276.64       0.0000       0.0000      1.74793E-17   0.0000       0.0000       0.0000       0.0000      -270.15    
  4680.042311       1.0000       0.0000       276.57       0.0000       0.0000      2.42076E-17   0.0000       0.0000       0.0000       0.0000      -270.29    
  4680.077454       1.0000       0.0000       276.43       0.0000       0.0000     -1.94047E-17   0.0000       0.0000       0.0000       0.0000      -270.57    
  4680.147740       1.0000       0.0000       276.14       0.0000       0.0000     -1.06498E-17   0.0000       0.0000       0.0000       0.0000      -271.04    
  4680.288312       1.0000       0.0000       275.54       0.0000       0.0000      2.35135E-16   0.0000       0.0000       0.0000       0.0000      -271.84    
  4680.569457       1.0000       0.0000       274.46       0.0000       0.0000      1.31611E-19   0.0000       0.0000       0.0000       0.0000      -285.97    
  4680.676971       1.0000       0.0000       274.10       0.0000       0.0000     -5.04784E-16   0.0000       0.0000       0.0000       0.0000      -291.12    
  4680.676971       1.0000       0.0000       274.10       0.0000       0.0000     -5.07484E-22   0.0000       0.0000       0.0000       0.0000      -291.12    
  4680.726028       1.0000       0.0000       273.90       0.0000       0.0000     -3.45028E-19   0.0000       0.0000       0.0000       0.0000      -293.35    
  4680.775084       1.0000       0.0000       273.70       0.0000       0.0000     -1.87460E-16   0.0000       0.0000       0.0000       0.0000      -295.46    
  4680.873198       1.0000       0.0000       273.32       0.0000       0.0000     -6.36355E-17   0.0000       0.0000       0.0000       0.0000      -299.22    
  4681.000000       1.0000       0.0000       272.82       0.0000       0.0000      5.48914E-17   0.0000       0.0000       0.0000       0.0000      -303.57    
  4681.000000       1.0000       0.0000       272.82       0.0000       0.0000     -3.62242E-17   0.0000       0.0000       0.0000       0.0000      -303.57    
  4681.078491       1.0000       0.0000       272.46       0.0000       0.0000      8.52294E-18   0.0000       0.0000       0.0000       0.0000      -304.88    
  4681.156982       1.0000       0.0000       272.09       0.0000       0.0000     -9.19960E-17   0.0000       0.0000       0.0000       0.0000      -305.95    
  4681.313963       1.0000       0.0000       271.34       0.0000       0.0000     -2.50172E-18   0.0000       0.0000       0.0000       0.0000      -307.66    
  4681.627927       1.0000       0.0000       269.84       0.0000       0.0000     -2.38559E-16   0.0000       0.0000       0.0000       0.0000      -310.02    
  4682.000000       1.0000       0.0000       267.84       0.0000       0.0000      1.08762E-17   0.0000       0.0000       0.0000       0.0000      -311.15    
  4682.000000       1.0000       0.0000       267.84       0.0000       0.0000      9.47222E-20   0.0000       0.0000       0.0000       0.0000      -311.15    
  4682.251171       1.0000       0.0000       266.53       0.0000       0.0000     -4.65980E-17   0.0000       0.0000       0.0000       0.0000      -311.41    
  4682.502341       1.0000       0.0000       265.21       0.0000       0.0000      2.56850E-19   0.0000       0.0000       0.0000       0.0000      -311.29    
  4683.000000       1.0000       0.0000       262.56       0.0000       0.0000      1.00838E-17   0.0000       0.0000       0.0000       0.0000      -310.08    
  4683.000000       1.0000       0.0000       262.56       0.0000       0.0000      6.53447E-21   0.0000       0.0000       0.0000       0.0000      -310.08    
  4683.200936       1.0000       0.0000       261.43       0.0000       0.0000      3.89759E-18   0.0000       0.0000       0.0000       0.0000      -306.96    
  4683.401873       1.0000       0.0000       260.27       0.0000       0.0000      8.75982E-20   0.0000       0.0000       0.0000       0.0000      -304.07    
  4683.803746       1.0000       0.0000       257.94       0.0000       0.0000     -1.87979E-20   0.0000       0.0000       0.0000       0.0000      -299.26    
  4684.000000       1.0000       0.0000       256.80       0.0000       0.0000     -4.73585E-27   0.0000       0.0000       0.0000       0.0000      -297.09    
  4684.000000       1.0000       0.0000       256.80       0.0000       0.0000      6.33305E-22   0.0000       0.0000       0.0000       0.0000      -297.09    
  4684.006430       1.0000       0.0000       256.76       0.0000       0.0000     -2.21659E-21   0.0000       0.0000       0.0000       0.0000      -297.02    
  4684.012860       1.0000       0.0000       256.72       0.0000       0.0000     -1.23698E-22   0.0000       0.0000       0.0000       0.0000      -296.61    
  4684.023253       1.0000       0.0000       256.66       0.0000       0.0000      8.43227E-20   0.0000       0.0000       0.0000       0.0000      -295.88    
  4684.035152       1.0000       0.0000       256.59       0.0000       0.0000      8.29246E-27   0.0000       0.0000       0.0000       0.0000      -295.05    
  4684.052744       1.0000       0.0000       256.48       0.0000       0.0000     -1.41472E-20   0.0000       0.0000       0.0000       0.0000      -293.84    
  4684.076747       1.0000       0.0000       256.32       0.0000       0.0000     -1.33047E-18   0.0000       0.0000       0.0000       0.0000      -292.23    
  4684.097601       1.0000       0.0000       256.18       0.0000       0.0000     -8.52796E-19   0.0000       0.0000       0.0000       0.0000      -290.86    
  4684.120210       1.0000       0.0000       256.02       0.0000       0.0000     -1.06810E-20   0.0000       0.0000       0.0000       0.0000      -289.41    
  4684.139000       1.0000       0.0000       255.89       0.0000       0.0000      5.27086E-19   0.0000       0.0000       0.0000       0.0000      -288.22    
  4684.157579       1.0000       0.0000       255.76       0.0000       0.0000      5.72427E-19   0.0000       0.0000       0.0000       0.0000      -287.06    
  4684.174684       1.0000       0.0000       255.64       0.0000       0.0000      4.52043E-19   0.0000       0.0000       0.0000       0.0000      -286.01    
  4684.191659       1.0000       0.0000       255.52       0.0000       0.0000      6.56828E-19   0.0000       0.0000       0.0000       0.0000      -284.98    
  4684.208147       1.0000       0.0000       255.40       0.0000       0.0000     -1.17032E-19   0.0000       0.0000       0.0000       0.0000      -284.00    
  4684.224654       1.0000       0.0000       255.28       0.0000       0.0000      7.29466E-19   0.0000       0.0000       0.0000       0.0000      -283.03    
  4684.241752       1.0000       0.0000       255.16       0.0000       0.0000     -1.77150E-19   0.0000       0.0000       0.0000       0.0000      -282.05    
  4684.260203       1.0000       0.0000       255.03       0.0000       0.0000     -1.82729E-19   0.0000       0.0000       0.0000       0.0000      -281.00    
  4684.280277       1.0000       0.0000       254.88       0.0000       0.0000      4.59709E-19   0.0000       0.0000       0.0000       0.0000      -279.88    
  4684.302422       1.0000       0.0000       254.72       0.0000       0.0000      1.14592E-19   0.0000       0.0000       0.0000       0.0000      -278.66    
  4684.327206       1.0000       0.0000       254.54       0.0000       0.0000     -1.89292E-18   0.0000       0.0000       0.0000       0.0000      -277.34    
  4684.355250       1.0000       0.0000       254.33       0.0000       0.0000      1.31811E-19   0.0000       0.0000       0.0000       0.0000      -275.87    
  4684.387527       1.0000       0.0000       254.10       0.0000       0.0000     -4.02298E-18   0.0000       0.0000       0.0000       0.0000      -274.23    
  4684.425324       1.0000       0.0000       253.82       0.0000       0.0000     -7.81956E-19   0.0000       0.0000       0.0000       0.0000      -272.37    
  4684.470682       1.0000       0.0000       253.49       0.0000       0.0000      3.10741E-18   0.0000       0.0000       0.0000       0.0000      -270.22    
  4684.526668       1.0000       0.0000       253.08       0.0000       0.0000     -5.22539E-19   0.0000       0.0000       0.0000       0.0000      -267.69    
  4684.598608       1.0000       0.0000       252.56       0.0000       0.0000     -2.07511E-17   0.0000       0.0000       0.0000       0.0000      -264.62    
  4684.598608       1.0000       0.0000       252.56       0.0000       0.0000      1.95781E-21   0.0000       0.0000       0.0000       0.0000      -264.62    
  4684.606922       1.0000       0.0000       252.50       0.0000       0.0000     -9.44177E-21   0.0000       0.0000       0.0000       0.0000      -264.27    
  4684.615236       1.0000       0.0000       252.44       0.0000       0.0000      1.60043E-18   0.0000       0.0000       0.0000       0.0000      -263.92    
  4684.631864       1.0000       0.0000       252.32       0.0000       0.0000     -2.05768E-19   0.0000       0.0000       0.0000       0.0000      -263.23    
  4684.665121       1.0000       0.0000       252.08       0.0000       0.0000     -2.51366E-19   0.0000       0.0000       0.0000       0.0000      -261.89    
  4684.731633       1.0000       0.0000       251.61       0.0000       0.0000     -3.14710E-17   0.0000       0.0000       0.0000       0.0000      -259.35    
  4684.864659       1.0000       0.0000       247.76       0.0000      0.89934     -3.85740E-20   0.0000       2.2002       0.0000       1.5301      -254.96    
  4685.000000       1.0000       0.0000       240.23       0.0000       2.7818      1.63846E-19   0.0000       6.8056       0.0000       4.7327      -251.30    
  4685.000000       1.0000       0.0000       240.23       0.0000       2.7818     -4.84663E-19   0.0000       6.8056       0.0000       4.7327      -251.30    
  4685.106421       1.0000       0.0000       224.52       0.0000       7.2223      3.44067E-21   0.0000       17.669       0.0000       12.287      -242.49    
  4685.212841       1.0000       0.0000       205.84       0.0000       12.020      3.35823E-20   0.0000       29.407       0.0000       20.450      -234.57    
  4685.425683       1.0000       0.0000       145.07       0.0000       27.536      9.38655E-20   0.0000       67.368       0.0000       46.846      -224.78    
  4685.756025       1.0000       0.0000      0.55493       0.0000       64.040      1.87429E-19   0.0000       156.67       0.0000       108.94      -223.84    
  4686.000000       1.0000       0.0000      -140.82       0.0000       100.14      1.42885E-20   0.0000       245.00       0.0000       170.34      -231.71    
  4686.000000       1.0000       0.0000      -140.82       0.0000       100.14     -9.69996E-23   0.0000       245.00       0.0000       170.34      -231.71    
  4686.034055       1.0000       0.0000      -161.27       0.0000       105.35      1.31805E-21   0.0000       257.75       0.0000       179.20      -228.71    
  4686.068109       1.0000       0.0000      -182.03       0.0000       110.56      4.29584E-19   0.0000       270.49       0.0000       188.07      -224.87    
  4686.136219       1.0000       0.0000      -224.36       0.0000       120.98      3.58412E-21   0.0000       295.99       0.0000       205.79      -224.17    
  4686.216293       1.0000       0.0000      -273.46       0.0000       132.78      7.93337E-18   0.0000       324.85       0.0000       225.85      -237.74    
  4686.308038       1.0000       0.0000      -323.89       0.0000       144.27     -1.25785E-21   0.0000       352.95       0.0000       245.37      -252.75    
  4686.427983       1.0000       0.0000      -386.06       0.0000       158.50      6.81072E-18   0.0000       387.78       0.0000       269.58      -271.45    
  4686.602839       1.0000       0.0000      -462.16       0.0000       175.45     -7.45742E-19   0.0000       429.23       0.0000       298.38      -296.26    
  4686.906805       1.0000       0.0000      -548.31       0.0000       193.62      8.83215E-24   0.0000       473.68       0.0000       329.25      -331.00    
  4686.912496       1.0000       0.0000      -550.08       0.0000       193.85     -7.56114E-21   0.0000       474.26       0.0000       329.66      -318.27    
  4686.912496       1.0000       0.0000      -550.08       0.0000       193.85     -1.79710E-29   0.0000       474.26       0.0000       329.66      -344.43    
  4686.929004       1.0000       0.0000      -553.97       0.0000       194.54     -1.79710E-29   0.0000       475.95       0.0000       330.83      -349.39    
  4686.945513       1.0000       0.0000      -557.75       0.0000       195.23     -1.01330E-20   0.0000       477.63       0.0000       332.00      -353.62    
  4686.978529       1.0000       0.0000      -564.96       0.0000       196.61     -1.10829E-21   0.0000       481.00       0.0000       334.34      -361.69    
  4687.000000       1.0000       0.0000      -569.52       0.0000       197.51     -4.43348E-18   0.0000       483.19       0.0000       335.86      -366.77    
  4687.000000       1.0000       0.0000      -569.52       0.0000       197.51      2.38552E-21   0.0000       483.19       0.0000       335.86      -366.77    
  4687.026413       1.0000       0.0000      -573.16       0.0000       197.87     -1.41434E-21   0.0000       484.09       0.0000       336.48      -373.09    
  4687.052827       1.0000       0.0000      -576.49       0.0000       198.24      4.91876E-21   0.0000       484.99       0.0000       337.11      -379.25    
  4687.063392       1.0000       0.0000      -577.77       0.0000       198.39      7.45200E-21   0.0000       485.35       0.0000       337.36      -381.65    
  4687.084523       1.0000       0.0000      -580.19       0.0000       198.68      1.25185E-20   0.0000       486.07       0.0000       337.86      -386.29    
  4687.092975       1.0000       0.0000      -581.12       0.0000       198.80      9.56088E-20   0.0000       486.36       0.0000       338.06      -388.09    
