#      time         order        air_age      relhum       xco2vol   
  4679.000000       1.0000      0.98254      0.63531       401.14    
  4679.400000       1.0000      0.98262      0.63992       400.81    
  4679.800000       1.0000      0.98267      0.64358       400.58    
  4680.000000       1.0000      0.98270      0.64523       400.48    
  4680.000000       1.0000      0.98270      0.64523       400.48    
  4680.002746       1.0000      0.98270      0.64525       400.48    
  4680.005491       1.0000      0.98270      0.64527       400.48    
  4680.007168       1.0000      0.98270      0.64528       400.48    
  4680.007168       1.0000      0.98270      0.64528       400.48    
  4680.009364       1.0000      0.98270      0.64530       400.47    
  4680.011560       1.0000      0.98270      0.64532       400.47    
  4680.015953       1.0000      0.98270      0.64536       400.47    
  4680.024739       1.0000      0.98270      0.64543       400.47    
  4680.042311       1.0000      0.98270      0.64557       400.46    
  4680.077454       1.0000      0.98271      0.64585       400.44    
  4680.147740       1.0000      0.98271      0.64637       400.41    
  4680.288312       1.0000      0.98272      0.64738       400.36    
  4680.569457       1.0000      0.98271      0.64769       400.28    
  4680.676971       1.0000      0.98270      0.64759       400.25    
  4680.676971       1.0000      0.98270      0.64759       400.25    
  4680.726028       1.0000      0.98270      0.64749       400.24    
  4680.775084       1.0000      0.98269      0.64735       400.23    
  4680.873198       1.0000      0.98267      0.64691       400.21    
  4681.000000       1.0000      0.98264      0.64616       400.18    
  4681.000000       1.0000      0.98264      0.64616       400.18    
  4681.078491       1.0000      0.98262      0.64561       400.17    
  4681.156982       1.0000      0.98260      0.64501       400.16    
  4681.313963       1.0000      0.98256      0.64367       400.14    
  4681.627927       1.0000      0.98246      0.64064       400.10    
  4682.000000       1.0000      0.98233      0.63649       400.07    
  4682.000000       1.0000      0.98233      0.63649       400.07    
  4682.251171       1.0000      0.98224      0.63353       400.06    
  4682.502341       1.0000      0.98215      0.63046       400.05    
  4683.000000       1.0000      0.98196      0.62411       400.03    
  4683.000000       1.0000      0.98196      0.62411       400.03    
  4683.200936       1.0000      0.98189      0.62169       400.03    
  4683.401873       1.0000      0.98182      0.61940       400.02    
  4683.803746       1.0000      0.98169      0.61523       400.02    
  4684.000000       1.0000      0.98163      0.61326       400.01    
  4684.000000       1.0000      0.98163      0.61326       400.01    
  4684.006430       1.0000      0.98162      0.61320       400.01    
  4684.012860       1.0000      0.98162      0.61314       400.01    
  4684.023253       1.0000      0.98162      0.61304       400.01    
  4684.035152       1.0000      0.98162      0.61292       400.01    
  4684.052744       1.0000      0.98161      0.61277       400.01    
  4684.076747       1.0000      0.98160      0.61257       400.01    
  4684.097601       1.0000      0.98160      0.61240       400.01    
  4684.120210       1.0000      0.98159      0.61223       400.01    
  4684.139000       1.0000      0.98159      0.61210       400.01    
  4684.157579       1.0000      0.98158      0.61198       400.01    
  4684.174684       1.0000      0.98158      0.61187       400.01    
  4684.191659       1.0000      0.98158      0.61177       400.01    
  4684.208147       1.0000      0.98157      0.61168       400.01    
  4684.224654       1.0000      0.98157      0.61160       400.01    
  4684.241752       1.0000      0.98156      0.61151       400.01    
  4684.260203       1.0000      0.98156      0.61143       400.01    
  4684.280277       1.0000      0.98156      0.61135       400.01    
  4684.302422       1.0000      0.98155      0.61126       400.01    
  4684.327206       1.0000      0.98155      0.61118       400.01    
  4684.355250       1.0000      0.98155      0.61111       400.01    
  4684.387527       1.0000      0.98154      0.61103       400.01    
  4684.425324       1.0000      0.98154      0.61097       400.01    
  4684.470682       1.0000      0.98153      0.61094       400.01    
  4684.526668       1.0000      0.98153      0.61093       400.01    
  4684.598608       1.0000      0.98152      0.61101       400.01    
  4684.598608       1.0000      0.98152      0.61101       400.01    
  4684.606922       1.0000      0.98152      0.61102       400.01    
  4684.615236       1.0000      0.98152      0.61103       400.01    
  4684.631864       1.0000      0.98152      0.61105       400.01    
  4684.665121       1.0000      0.98152      0.61111       400.01    
  4684.731633       1.0000      0.98152      0.61130       400.01    
  4684.864659       1.0000      0.98152      0.61180       400.15    
  4685.000000       1.0000      0.98153      0.61240       400.59    
  4685.000000       1.0000      0.98153      0.61240       400.59    
  4685.106421       1.0000      0.98154      0.61305       401.48    
  4685.212841       1.0000      0.98156      0.61396       402.92    
  4685.425683       1.0000      0.98163      0.61648       409.01    
  4685.756025       1.0000      0.98180      0.62126       428.46    
  4686.000000       1.0000      0.98194      0.62462       449.65    
  4686.000000       1.0000      0.98194      0.62462       449.65    
  4686.034055       1.0000      0.98196      0.62513       452.75    
  4686.068109       1.0000      0.98199      0.62571       455.97    
  4686.136219       1.0000      0.98204      0.62698       462.92    
  4686.216293       1.0000      0.98210      0.62827       471.65    
  4686.308038       1.0000      0.98216      0.62964       482.15    
  4686.427983       1.0000      0.98223      0.63123       496.46    
  4686.602839       1.0000      0.98232      0.63334       517.62    
  4686.906805       1.0000      0.98243      0.63684       551.51    
  4686.912496       1.0000      0.98244      0.63686       552.14    
  4686.912496       1.0000      0.98244      0.63686       552.14    
  4686.929004       1.0000      0.98244      0.63696       553.96    
  4686.945513       1.0000      0.98245      0.63704       555.77    
  4686.978529       1.0000      0.98246      0.63715       559.32    
  4687.000000       1.0000      0.98246      0.63721       561.61    
  4687.000000       1.0000      0.98246      0.63721       561.61    
  4687.026413       1.0000      0.98246      0.63726       564.36    
  4687.052827       1.0000      0.98246      0.63728       567.06    
  4687.063392       1.0000      0.98246      0.63729       568.12    
  4687.084523       1.0000      0.98246      0.63729       570.23    
  4687.092975       1.0000      0.98246      0.63729       571.06    
  4687.109880       1.0000      0.98246      0.63728       572.71    
  4687.143689       1.0000      0.98246      0.63720       575.91    
  4687.189019       1.0000      0.98246      0.63703       580.05    
  4687.241589       1.0000      0.98244      0.63674       584.62    
  4687.299583       1.0000      0.98243      0.63635       589.37    
  4687.365131       1.0000      0.98241      0.63578       594.41    
  4687.442218       1.0000      0.98238      0.63496       599.90    
  4687.543623       1.0000      0.98234      0.63360       606.45    
  4687.668103       1.0000      0.98228      0.63154       613.58    
  4687.831894       1.0000      0.98218      0.62825       621.61    
  4687.966248       1.0000      0.98210      0.62523       627.40    
  4688.000000       1.0000      0.98208      0.62445       628.81    
  4688.000000       1.0000      0.98208      0.62445       628.81    
  4688.021131       1.0000      0.98206      0.62396       629.67    
  4688.042261       1.0000      0.98205      0.62346       630.51    
  4688.084523       1.0000      0.98202      0.62245       632.13    
  4688.169046       1.0000      0.98196      0.62035       635.13    
  4688.169046       1.0000      0.98196      0.62035       635.13    
  4688.202855       1.0000      0.98194      0.61950       636.28    
  4688.236664       1.0000      0.98192      0.61864       637.39    
  4688.304282       1.0000      0.98187      0.61689       639.47    
  4688.381898       1.0000      0.98182      0.61485       641.68    
  4688.381898       1.0000      0.98182      0.61485       641.68    
  4688.435992       1.0000      0.98178      0.61342       643.14    
  4688.490087       1.0000      0.98174      0.61198       644.53    
  4688.598276       1.0000      0.98167      0.60907       647.01    
  4688.814654       1.0000      0.98152      0.60327       651.12    
  4689.000000       1.0000      0.98140      0.59839       654.04    
  4689.000000       1.0000      0.98140      0.59839       654.04    
  4689.173103       1.0000      0.98129      0.59396       656.36    
  4689.346205       1.0000      0.98118      0.58967       658.33    
  4689.676165       1.0000      0.98100      0.58199       661.12    
  4689.676165       1.0000      0.98100      0.58199       661.12    
  4689.814647       1.0000      0.98093      0.57897       662.15    
  4689.953129       1.0000      0.98086      0.57610       663.04    
  4690.000000       1.0000      0.98083      0.57514       663.33    
  4690.000000       1.0000      0.98083      0.57514       663.33    
  4690.110786       1.0000      0.98078      0.57299       663.95    
  4690.221571       1.0000      0.98074      0.57093       664.50    
  4690.265886       1.0000      0.98072      0.57013       664.71    
  4690.354514       1.0000      0.98068      0.56855       665.11    
  4690.531771       1.0000      0.98062      0.56565       665.76    
  4690.886285       1.0000      0.98051      0.56056       666.72    
  4690.886285       1.0000      0.98051      0.56056       666.72    
  4690.898828       1.0000      0.98050      0.56038       666.75    
  4690.911371       1.0000      0.98050      0.56020       666.79    
  4690.936458       1.0000      0.98049      0.55985       666.85    
  4690.986630       1.0000      0.98047      0.55915       666.98    
  4691.000000       1.0000      0.98047      0.55897       667.01    
  4691.000000       1.0000      0.98047      0.55897       667.01    
  4691.040138       1.0000      0.98046      0.55843       667.10    
  4691.080275       1.0000      0.98045      0.55790       667.19    
  4691.160551       1.0000      0.98043      0.55688       667.35    
  4691.321102       1.0000      0.98039      0.55494       667.63    
  4691.642204       1.0000      0.98032      0.55147       668.05    
  4692.000000       1.0000      0.98025      0.54798       668.39    
  4692.000000       1.0000      0.98025      0.54798       668.39    
  4692.256882       1.0000      0.98021      0.54567       668.58    
  4692.513763       1.0000      0.98018      0.54353       668.73    
  4693.000000       1.0000      0.98012      0.53990       668.92    
  4693.000000       1.0000      0.98012      0.53990       668.92    
  4693.205505       1.0000      0.98010      0.53847       668.99    
  4693.411010       1.0000      0.98008      0.53714       669.04    
  4693.822021       1.0000      0.98005      0.53476       669.12    
  4694.000000       1.0000      0.98004      0.53377       669.14    
  4694.000000       1.0000      0.98004      0.53377       669.14    
  4694.328808       1.0000      0.98002      0.53222       669.18    
  4694.657617       1.0000      0.98001      0.53091       669.21    
  4695.000000       1.0000      0.98001      0.52981       669.23    
  4695.000000       1.0000      0.98001      0.52981       669.23    
  4695.263047       1.0000      0.98002      0.52911       669.25    
  4695.526093       1.0000      0.98002      0.52854       669.26    
  4696.000000       1.0000      0.98004      0.52805       668.06    
  4696.000000       1.0000      0.98004      0.52805       668.06    
  4696.026105       1.0000      0.98004      0.52804       667.96    
  4696.052211       1.0000      0.98004      0.52805       667.82    
  4696.104422       1.0000      0.98005      0.52813       667.41    
  4696.104422       1.0000      0.98005      0.52813       667.41    
  4696.125306       1.0000      0.98005      0.52816       667.23    
  4696.146190       1.0000      0.98005      0.52821       667.02    
  4696.187959       1.0000      0.98005      0.52831       666.53    
  4696.271496       1.0000      0.98006      0.52866       665.07    
  4696.438571       1.0000      0.98007      0.52969       660.05    
  4696.772720       1.0000      0.98009      0.53299       639.83    
  4696.818176       1.0000      0.98010      0.53349       636.83    
  4696.909088       1.0000      0.98011      0.53468       629.75    
  4697.000000       1.0000      0.98011      0.53591       621.68    
  4697.000000       1.0000      0.98011      0.53591       621.68    
  4697.004461       1.0000      0.98012      0.53597       621.28    
  4697.008921       1.0000      0.98012      0.53603       620.88    
  4697.013149       1.0000      0.98012      0.53608       620.50    
  4697.017907       1.0000      0.98012      0.53615       620.06    
  4697.023074       1.0000      0.98012      0.53622       619.59    
  4697.029092       1.0000      0.98012      0.53630       619.04    
  4697.036243       1.0000      0.98012      0.53640       618.37    
  4697.045507       1.0000      0.98012      0.53652       617.50    
  4697.060682       1.0000      0.98012      0.53672       616.05    
  4697.076057       1.0000      0.98012      0.53692       614.55    
  4697.092711       1.0000      0.98012      0.53714       612.90    
  4697.109222       1.0000      0.98013      0.53736       611.23    
  4697.127327       1.0000      0.98013      0.53759       609.37    
