#      time         order        tairmean     top       
  4679.000000       1.0000       21.169       21.436    
  4679.400000       1.0000       21.135       21.400    
  4679.800000       1.0000       21.102       21.364    
  4680.000000       1.0000       21.085       21.346    
  4680.000000       1.0000       21.085       21.346    
  4680.002746       1.0000       21.084       21.345    
  4680.005491       1.0000       21.084       21.345    
  4680.007168       1.0000       21.084       21.345    
  4680.007168       1.0000       21.084       21.345    
  4680.009364       1.0000       21.084       21.345    
  4680.011560       1.0000       21.084       21.345    
  4680.015953       1.0000       21.083       21.344    
  4680.024739       1.0000       21.083       21.343    
  4680.042311       1.0000       21.081       21.342    
  4680.077454       1.0000       21.078       21.339    
  4680.147740       1.0000       21.072       21.332    
  4680.288312       1.0000       21.061       21.319    
  4680.569457       1.0000       21.037       21.293    
  4680.676971       1.0000       21.028       21.283    
  4680.676971       1.0000       21.028       21.283    
  4680.726028       1.0000       21.024       21.279    
  4680.775084       1.0000       21.020       21.274    
  4680.873198       1.0000       21.012       21.265    
  4681.000000       1.0000       21.001       21.253    
  4681.000000       1.0000       21.001       21.253    
  4681.078491       1.0000       20.994       21.246    
  4681.156982       1.0000       20.988       21.239    
  4681.313963       1.0000       20.975       21.224    
  4681.627927       1.0000       20.948       21.194    
  4682.000000       1.0000       20.916       21.158    
  4682.000000       1.0000       20.916       21.158    
  4682.251171       1.0000       20.894       21.134    
  4682.502341       1.0000       20.872       21.109    
  4683.000000       1.0000       20.828       21.060    
  4683.000000       1.0000       20.828       21.060    
  4683.200936       1.0000       20.810       21.040    
  4683.401873       1.0000       20.792       21.020    
  4683.803746       1.0000       20.755       20.979    
  4684.000000       1.0000       20.738       20.959    
  4684.000000       1.0000       20.738       20.959    
  4684.006430       1.0000       20.737       20.959    
  4684.012860       1.0000       20.737       20.958    
  4684.023253       1.0000       20.736       20.957    
  4684.035152       1.0000       20.735       20.956    
  4684.052744       1.0000       20.733       20.954    
  4684.076747       1.0000       20.731       20.951    
  4684.097601       1.0000       20.729       20.949    
  4684.120210       1.0000       20.727       20.947    
  4684.139000       1.0000       20.725       20.945    
  4684.157579       1.0000       20.724       20.943    
  4684.174684       1.0000       20.722       20.942    
  4684.191659       1.0000       20.721       20.940    
  4684.208147       1.0000       20.719       20.938    
  4684.224654       1.0000       20.718       20.937    
  4684.241752       1.0000       20.716       20.935    
  4684.260203       1.0000       20.715       20.933    
  4684.280277       1.0000       20.713       20.931    
  4684.302422       1.0000       20.711       20.929    
  4684.327206       1.0000       20.709       20.926    
  4684.355250       1.0000       20.706       20.923    
  4684.387527       1.0000       20.703       20.920    
  4684.425324       1.0000       20.700       20.916    
  4684.470682       1.0000       20.696       20.912    
  4684.526668       1.0000       20.691       20.906    
  4684.598608       1.0000       20.685       20.899    
  4684.598608       1.0000       20.685       20.899    
  4684.606922       1.0000       20.684       20.898    
  4684.615236       1.0000       20.683       20.897    
  4684.631864       1.0000       20.682       20.896    
  4684.665121       1.0000       20.679       20.892    
  4684.731633       1.0000       20.673       20.886    
  4684.864659       1.0000       20.663       20.874    
  4685.000000       1.0000       20.656       20.866    
  4685.000000       1.0000       20.656       20.866    
  4685.106421       1.0000       20.659       20.866    
  4685.212841       1.0000       20.666       20.870    
  4685.425683       1.0000       20.708       20.900    
  4685.756025       1.0000       20.846       21.005    
  4686.000000       1.0000       21.003       21.126    
  4686.000000       1.0000       21.003       21.126    
  4686.034055       1.0000       21.026       21.144    
  4686.068109       1.0000       21.050       21.162    
  4686.136219       1.0000       21.101       21.201    
  4686.216293       1.0000       21.162       21.247    
  4686.308038       1.0000       21.231       21.298    
  4686.427983       1.0000       21.318       21.363    
  4686.602839       1.0000       21.432       21.449    
  4686.906805       1.0000       21.585       21.565    
  4686.912496       1.0000       21.589       21.568    
  4686.912496       1.0000       21.589       21.568    
  4686.929004       1.0000       21.596       21.574    
  4686.945513       1.0000       21.604       21.579    
  4686.978529       1.0000       21.619       21.590    
  4687.000000       1.0000       21.628       21.597    
  4687.000000       1.0000       21.628       21.597    
  4687.026413       1.0000       21.638       21.605    
  4687.052827       1.0000       21.647       21.611    
  4687.063392       1.0000       21.651       21.614    
  4687.084523       1.0000       21.658       21.619    
  4687.092975       1.0000       21.660       21.621    
  4687.109880       1.0000       21.666       21.625    
  4687.143689       1.0000       21.675       21.633    
  4687.189019       1.0000       21.686       21.642    
  4687.241589       1.0000       21.698       21.651    
  4687.299583       1.0000       21.709       21.660    
  4687.365131       1.0000       21.719       21.670    
  4687.442218       1.0000       21.730       21.680    
  4687.543623       1.0000       21.742       21.692    
  4687.668103       1.0000       21.756       21.706    
  4687.831894       1.0000       21.773       21.723    
  4687.966248       1.0000       21.786       21.737    
  4688.000000       1.0000       21.789       21.740    
  4688.000000       1.0000       21.789       21.740    
  4688.021131       1.0000       21.791       21.742    
  4688.042261       1.0000       21.793       21.745    
  4688.084523       1.0000       21.797       21.749    
  4688.169046       1.0000       21.805       21.757    
  4688.169046       1.0000       21.805       21.757    
  4688.202855       1.0000       21.808       21.761    
  4688.236664       1.0000       21.811       21.764    
  4688.304282       1.0000       21.818       21.771    
  4688.381898       1.0000       21.825       21.778    
  4688.381898       1.0000       21.825       21.778    
  4688.435992       1.0000       21.830       21.783    
  4688.490087       1.0000       21.834       21.789    
  4688.598276       1.0000       21.844       21.799    
  4688.814654       1.0000       21.864       21.820    
  4689.000000       1.0000       21.880       21.838    
  4689.000000       1.0000       21.880       21.838    
  4689.173103       1.0000       21.895       21.854    
  4689.346205       1.0000       21.911       21.871    
  4689.676165       1.0000       21.940       21.902    
  4689.676165       1.0000       21.940       21.902    
  4689.814647       1.0000       21.953       21.916    
  4689.953129       1.0000       21.965       21.929    
  4690.000000       1.0000       21.969       21.934    
  4690.000000       1.0000       21.969       21.934    
  4690.110786       1.0000       21.979       21.945    
  4690.221571       1.0000       21.989       21.955    
  4690.265886       1.0000       21.993       21.960    
  4690.354514       1.0000       22.001       21.968    
  4690.531771       1.0000       22.017       21.986    
  4690.886285       1.0000       22.050       22.022    
  4690.886285       1.0000       22.050       22.022    
  4690.898828       1.0000       22.051       22.023    
  4690.911371       1.0000       22.052       22.024    
  4690.936458       1.0000       22.054       22.027    
  4690.986630       1.0000       22.059       22.032    
  4691.000000       1.0000       22.060       22.033    
  4691.000000       1.0000       22.060       22.033    
  4691.040138       1.0000       22.064       22.037    
  4691.080275       1.0000       22.067       22.041    
  4691.160551       1.0000       22.075       22.050    
  4691.321102       1.0000       22.090       22.066    
  4691.642204       1.0000       22.120       22.100    
  4692.000000       1.0000       22.154       22.138    
  4692.000000       1.0000       22.154       22.138    
  4692.256882       1.0000       22.179       22.166    
  4692.513763       1.0000       22.204       22.194    
  4693.000000       1.0000       22.252       22.249    
  4693.000000       1.0000       22.252       22.249    
  4693.205505       1.0000       22.272       22.272    
  4693.411010       1.0000       22.293       22.295    
  4693.822021       1.0000       22.334       22.342    
  4694.000000       1.0000       22.351       22.363    
  4694.000000       1.0000       22.351       22.363    
  4694.328808       1.0000       22.384       22.401    
  4694.657617       1.0000       22.416       22.438    
  4695.000000       1.0000       22.450       22.478    
  4695.000000       1.0000       22.450       22.478    
  4695.263047       1.0000       22.476       22.508    
  4695.526093       1.0000       22.501       22.538    
  4696.000000       1.0000       22.535       22.582    
  4696.000000       1.0000       22.535       22.582    
  4696.026105       1.0000       22.536       22.583    
  4696.052211       1.0000       22.536       22.583    
  4696.104422       1.0000       22.535       22.584    
  4696.104422       1.0000       22.535       22.584    
  4696.125306       1.0000       22.534       22.584    
  4696.146190       1.0000       22.533       22.583    
  4696.187959       1.0000       22.530       22.582    
  4696.271496       1.0000       22.518       22.575    
  4696.438571       1.0000       22.477       22.548    
  4696.772720       1.0000       22.320       22.436    
  4696.818176       1.0000       22.296       22.418    
  4696.909088       1.0000       22.238       22.375    
  4697.000000       1.0000       22.176       22.329    
  4697.000000       1.0000       22.176       22.329    
  4697.004461       1.0000       22.173       22.326    
  4697.008921       1.0000       22.170       22.324    
  4697.013149       1.0000       22.167       22.322    
  4697.017907       1.0000       22.163       22.319    
  4697.023074       1.0000       22.160       22.317    
  4697.029092       1.0000       22.156       22.313    
  4697.036243       1.0000       22.151       22.310    
  4697.045507       1.0000       22.144       22.305    
  4697.060682       1.0000       22.134       22.297    
  4697.076057       1.0000       22.123       22.289    
  4697.092711       1.0000       22.111       22.280    
  4697.109222       1.0000       22.099       22.271    
  4697.127327       1.0000       22.086       22.261    
  4697.127327       1.0000       22.086       22.261    
  4697.130709       1.0000       22.084       22.259    
  4697.134091       1.0000       22.082       22.257    
  4697.140855       1.0000       22.077       22.254    
  4697.154383       1.0000       22.067       22.246    
  4697.175577       1.0000       22.052       22.235    
  4697.180235       1.0000       22.049       22.232    
  4697.189553       1.0000       22.042       22.227    
  4697.193280       1.0000       22.039       22.225    
  4697.200734       1.0000       22.034       22.221    
  4697.215642       1.0000       22.024       22.213    
  4697.245380       1.0000       22.004       22.198    
  4697.280250       1.0000       21.981       22.180    
  4697.326977       1.0000       21.950       22.157    
  4697.384277       1.0000       21.913       22.128    
  4697.460941       1.0000       21.866       22.093    
  4697.565750       1.0000       21.806       22.046    
  4697.723028       1.0000       21.727       21.984    
  4697.946924       1.0000       21.638       21.913    
  4698.000000       1.0000       21.618       21.898    
  4698.000000       1.0000       21.618       21.898    
  4698.010822       1.0000       21.615       21.895    
  4698.021645       1.0000       21.611       21.892    
  4698.043289       1.0000       21.604       21.887    
  4698.086579       1.0000       21.593       21.878    
  4698.173157       1.0000       21.573       21.861    
  4698.346314       1.0000       21.546       21.837    
  4698.572309       1.0000       21.520       21.812    
  4698.873218       1.0000       21.491       21.781    
  4699.000000       1.0000       21.479       21.769    
  4699.000000       1.0000       21.479       21.769    
  4699.138526       1.0000       21.467       21.756    
  4699.277051       1.0000       21.456       21.743    
  4699.554103       1.0000       21.433       21.718    
  4700.000000       1.0000       21.397       21.680    
  4700.000000       1.0000       21.397       21.680    
  4700.221641       1.0000       21.379       21.661    
  4700.443282       1.0000       21.361       21.642    
  4700.886565       1.0000       21.326       21.604    
  4701.000000       1.0000       21.317       21.595    
  4701.000000       1.0000       21.317       21.595    
  4701.354626       1.0000       21.289       21.565    
  4701.709252       1.0000       21.261       21.535    
  4701.848517       1.0000       21.250       21.523    
  4701.848517       1.0000       21.250       21.523    
  4701.924259       1.0000       21.244       21.516    
  4702.000000       1.0000       21.238       21.510    
  4702.000000       1.0000       21.238       21.510    
  4702.060593       1.0000       21.233       21.505    
  4702.121186       1.0000       21.228       21.500    
  4702.242372       1.0000       21.219       21.489    
  4702.319484       1.0000       21.212       21.483    
