#      time         order        eflooravg 
  4679.000000       1.0000       0.0000    
  4679.400000       1.0000       0.0000    
  4679.800000       1.0000       0.0000    
  4680.000000       1.0000       0.0000    
  4680.000000       1.0000       0.0000    
  4680.002746       1.0000       0.0000    
  4680.005491       1.0000       0.0000    
  4680.007168       1.0000       0.0000    
  4680.007168       1.0000       0.0000    
  4680.009364       1.0000       0.0000    
  4680.011560       1.0000       0.0000    
  4680.015953       1.0000       0.0000    
  4680.024739       1.0000       0.0000    
  4680.042311       1.0000       0.0000    
  4680.077454       1.0000       0.0000    
  4680.147740       1.0000       0.0000    
  4680.288312       1.0000       0.0000    
  4680.569457       1.0000       0.0000    
  4680.676971       1.0000       0.0000    
  4680.676971       1.0000       0.0000    
  4680.726028       1.0000       0.0000    
  4680.775084       1.0000       0.0000    
  4680.873198       1.0000       0.0000    
  4681.000000       1.0000       0.0000    
  4681.000000       1.0000       0.0000    
  4681.078491       1.0000       0.0000    
  4681.156982       1.0000       0.0000    
  4681.313963       1.0000       0.0000    
  4681.627927       1.0000       0.0000    
  4682.000000       1.0000       0.0000    
  4682.000000       1.0000       0.0000    
  4682.251171       1.0000       0.0000    
  4682.502341       1.0000       0.0000    
  4683.000000       1.0000       0.0000    
  4683.000000       1.0000       0.0000    
  4683.200936       1.0000       0.0000    
  4683.401873       1.0000       0.0000    
  4683.803746       1.0000       346.33    
  4684.000000       1.0000       568.65    
  4684.000000       1.0000       568.65    
  4684.006430       1.0000       576.74    
  4684.012860       1.0000       584.86    
  4684.023253       1.0000       598.07    
  4684.035152       1.0000       219.15    
  4684.052744       1.0000       226.59    
  4684.076747       1.0000       236.75    
  4684.097601       1.0000       245.58    
  4684.120210       1.0000       255.11    
  4684.139000       1.0000       263.01    
  4684.157579       1.0000       270.77    
  4684.174684       1.0000       277.86    
  4684.191659       1.0000       284.85    
  4684.208147       1.0000       291.58    
  4684.224654       1.0000       298.25    
  4684.241752       1.0000       305.08    
  4684.260203       1.0000       312.36    
  4684.280277       1.0000       320.15    
  4684.302422       1.0000       328.29    
  4684.327206       1.0000       332.70    
  4684.355250       1.0000       337.49    
  4684.387527       1.0000       342.70    
  4684.425324       1.0000       348.31    
  4684.470682       1.0000       354.28    
  4684.526668       1.0000       358.93    
  4684.598608       1.0000       352.68    
  4684.598608       1.0000       352.68    
  4684.606922       1.0000       351.86    
  4684.615236       1.0000       351.02    
  4684.631864       1.0000       349.36    
  4684.665121       1.0000       347.93    
  4684.731633       1.0000       344.45    
  4684.864659       1.0000       335.27    
  4685.000000       1.0000       323.56    
  4685.000000       1.0000       323.56    
  4685.106421       1.0000       313.28    
  4685.212841       1.0000       302.42    
