#      time         order        tairma       togactive    togpassiv    toper        tug       
  4679.000000       1.0000       19.378       26.500       28.195       22.670       20.695    
  4679.400000       1.0000       19.388       26.500       28.198       22.580       20.698    
  4679.800000       1.0000       19.394       26.500       28.200       22.492       20.700    
  4680.000000       1.0000       19.397       26.500       28.201       22.448       20.701    
  4680.000000       1.0000       19.397       26.500       28.201       22.448       20.701    
  4680.002746       1.0000       19.397       26.500       28.201       22.448       20.701    
  4680.005491       1.0000       19.397       26.500       28.201       22.447       20.701    
  4680.007168       1.0000       19.397       26.500       28.201       22.447       20.701    
  4680.007168       1.0000       19.397       26.500       28.201       22.447       20.701    
  4680.009364       1.0000       19.397       26.500       28.201       22.446       20.701    
  4680.011560       1.0000       19.397       26.500       28.201       22.446       20.701    
  4680.015953       1.0000       19.397       26.500       28.201       22.445       20.701    
  4680.024739       1.0000       19.397       26.500       28.201       22.443       20.701    
  4680.042311       1.0000       19.397       26.500       28.201       22.439       20.701    
  4680.077454       1.0000       19.397       26.500       28.201       22.431       20.701    
  4680.147740       1.0000       19.398       26.500       28.201       22.416       20.701    
  4680.288312       1.0000       19.399       26.500       28.202       22.386       20.702    
  4680.569457       1.0000       19.400       26.500       28.202       22.327       20.702    
  4680.676971       1.0000       19.401       26.500       28.202       22.304       20.702    
  4680.676971       1.0000       19.401       26.500       28.202       22.304       20.702    
  4680.726028       1.0000       19.401       26.500       28.202       22.294       20.702    
  4680.775084       1.0000       19.401       26.500       28.202       22.284       20.702    
  4680.873198       1.0000       19.401       26.500       28.202       22.263       20.702    
  4681.000000       1.0000       19.400       26.500       28.202       22.237       20.702    
  4681.000000       1.0000       19.400       26.500       28.202       22.237       20.702    
  4681.078491       1.0000       19.400       26.500       28.202       22.221       20.702    
  4681.156982       1.0000       19.400       26.500       28.202       22.204       20.702    
  4681.313963       1.0000       19.399       26.500       28.202       22.172       20.702    
  4681.627927       1.0000       19.397       26.500       28.201       22.109       20.701    
  4682.000000       1.0000       19.394       26.500       28.200       22.035       20.700    
  4682.000000       1.0000       19.394       26.500       28.200       22.035       20.700    
  4682.251171       1.0000       19.391       26.500       28.199       21.985       20.699    
  4682.502341       1.0000       19.387       26.500       28.198       21.935       20.698    
  4683.000000       1.0000       19.378       26.500       28.195       21.838       20.695    
  4683.000000       1.0000       19.378       26.500       28.195       21.838       20.695    
  4683.200936       1.0000       19.375       26.500       28.194       21.798       20.694    
  4683.401873       1.0000       19.372       26.500       28.193       21.759       20.693    
  4683.803746       1.0000       19.366       26.500       28.191       21.796       20.691    
  4684.000000       1.0000       19.362       26.500       28.190       21.860       20.690    
  4684.000000       1.0000       19.362       26.500       28.190       21.860       20.690    
  4684.006430       1.0000       19.362       26.500       28.190       21.863       20.690    
  4684.012860       1.0000       19.362       26.500       28.189       21.865       20.690    
  4684.023253       1.0000       19.362       26.500       28.189       21.869       20.689    
  4684.035152       1.0000       19.362       26.500       28.189       21.831       20.689    
  4684.052744       1.0000       19.361       26.500       28.189       21.829       20.689    
  4684.076747       1.0000       19.361       26.500       28.189       21.827       20.689    
  4684.097601       1.0000       19.360       26.500       28.189       21.826       20.689    
  4684.120210       1.0000       19.360       26.500       28.189       21.826       20.689    
  4684.139000       1.0000       19.360       26.500       28.189       21.826       20.689    
  4684.157579       1.0000       19.359       26.500       28.189       21.828       20.689    
  4684.174684       1.0000       19.359       26.500       28.189       21.829       20.689    
  4684.191659       1.0000       19.359       26.500       28.188       21.831       20.688    
  4684.208147       1.0000       19.359       26.500       28.188       21.833       20.688    
  4684.224654       1.0000       19.358       26.500       28.188       21.835       20.688    
  4684.241752       1.0000       19.358       26.500       28.188       21.838       20.688    
  4684.260203       1.0000       19.358       26.500       28.188       21.841       20.688    
  4684.280277       1.0000       19.357       26.500       28.188       21.844       20.688    
  4684.302422       1.0000       19.357       26.500       28.188       21.849       20.688    
  4684.327206       1.0000       19.357       26.500       28.188       21.853       20.688    
  4684.355250       1.0000       19.356       26.500       28.187       21.859       20.688    
  4684.387527       1.0000       19.356       26.500       28.187       21.865       20.687    
  4684.425324       1.0000       19.355       26.500       28.187       21.873       20.687    
  4684.470682       1.0000       19.354       26.500       28.187       21.881       20.687    
  4684.526668       1.0000       19.353       26.500       28.187       21.891       20.687    
  4684.598608       1.0000       19.352       26.500       28.186       21.899       20.686    
  4684.598608       1.0000       19.352       26.500       28.186       21.899       20.686    
  4684.606922       1.0000       19.352       26.500       28.186       21.900       20.686    
  4684.615236       1.0000       19.352       26.500       28.186       21.901       20.686    
  4684.631864       1.0000       19.352       26.500       28.186       21.902       20.686    
  4684.665121       1.0000       19.351       26.500       28.186       21.905       20.686    
  4684.731633       1.0000       19.350       26.500       28.186       21.910       20.686    
  4684.864659       1.0000       19.348       26.500       28.185       21.915       20.685    
  4685.000000       1.0000       19.347       26.500       28.184       21.918       20.684    
  4685.000000       1.0000       19.347       26.500       28.184       21.918       20.684    
  4685.106421       1.0000       19.345       26.500       28.184       21.925       20.684    
  4685.212841       1.0000       19.344       26.500       28.184       21.934       20.684    
  4685.425683       1.0000       19.343       26.500       28.183       21.971       20.683    
  4685.756025       1.0000       19.343       26.500       28.183       22.081       20.683    
  4686.000000       1.0000       19.344       26.500       28.184       22.200       20.684    
  4686.000000       1.0000       19.344       26.500       28.184       22.200       20.684    
  4686.034055       1.0000       19.345       26.500       28.184       22.217       20.684    
  4686.068109       1.0000       19.345       26.500       28.184       22.235       20.684    
  4686.136219       1.0000       19.346       26.500       28.184       22.273       20.684    
  4686.216293       1.0000       19.347       26.500       28.185       22.320       20.685    
  4686.308038       1.0000       19.349       26.500       28.185       22.370       20.685    
  4686.427983       1.0000       19.352       26.500       28.186       22.435       20.686    
