#      time         order        air_age      relhum       xco2vol   
  4679.000000       1.0000      0.98254      0.58841       401.14    
  4679.400000       1.0000      0.98262      0.59409       400.81    
  4679.800000       1.0000      0.98267      0.59889       400.58    
  4680.000000       1.0000      0.98270      0.60111       400.48    
  4680.000000       1.0000      0.98270      0.60111       400.48    
  4680.002746       1.0000      0.98270      0.60114       400.48    
  4680.005491       1.0000      0.98270      0.60117       400.48    
  4680.007168       1.0000      0.98270      0.60119       400.48    
  4680.007168       1.0000      0.98270      0.60119       400.48    
  4680.009364       1.0000      0.98270      0.60121       400.47    
  4680.011560       1.0000      0.98270      0.60124       400.47    
  4680.015953       1.0000      0.98270      0.60128       400.47    
  4680.024739       1.0000      0.98270      0.60138       400.47    
  4680.042311       1.0000      0.98270      0.60157       400.46    
  4680.077454       1.0000      0.98271      0.60195       400.44    
  4680.147740       1.0000      0.98271      0.60269       400.41    
  4680.288312       1.0000      0.98272      0.60410       400.36    
  4680.569457       1.0000      0.98271      0.60533       400.28    
  4680.676971       1.0000      0.98270      0.60560       400.25    
  4680.676971       1.0000      0.98270      0.60560       400.25    
  4680.726028       1.0000      0.98270      0.60567       400.24    
  4680.775084       1.0000      0.98269      0.60570       400.23    
  4680.873198       1.0000      0.98267      0.60561       400.21    
  4681.000000       1.0000      0.98264      0.60533       400.18    
  4681.000000       1.0000      0.98264      0.60533       400.18    
  4681.078491       1.0000      0.98262      0.60506       400.17    
  4681.156982       1.0000      0.98260      0.60475       400.16    
  4681.313963       1.0000      0.98256      0.60399       400.14    
  4681.627927       1.0000      0.98246      0.60212       400.10    
  4682.000000       1.0000      0.98233      0.59932       400.07    
  4682.000000       1.0000      0.98233      0.59932       400.07    
  4682.251171       1.0000      0.98224      0.59727       400.06    
  4682.502341       1.0000      0.98215      0.59509       400.05    
  4683.000000       1.0000      0.98196      0.59049       400.03    
  4683.000000       1.0000      0.98196      0.59049       400.03    
  4683.200936       1.0000      0.98189      0.58875       400.03    
  4683.401873       1.0000      0.98182      0.58713       400.02    
  4683.803746       1.0000      0.98169      0.58096       400.02    
  4684.000000       1.0000      0.98163      0.57832       400.01    
  4684.000000       1.0000      0.98163      0.57832       400.01    
  4684.006430       1.0000      0.98162      0.57823       400.01    
  4684.012860       1.0000      0.98162      0.57814       400.01    
  4684.023253       1.0000      0.98162      0.57799       400.01    
  4684.035152       1.0000      0.98162      0.57782       400.01    
  4684.052744       1.0000      0.98161      0.57757       400.01    
  4684.076747       1.0000      0.98160      0.57720       400.01    
  4684.097601       1.0000      0.98160      0.57688       400.01    
  4684.120210       1.0000      0.98159      0.57651       400.01    
  4684.139000       1.0000      0.98159      0.57621       400.01    
  4684.157579       1.0000      0.98158      0.57590       400.01    
  4684.174684       1.0000      0.98158      0.57561       400.01    
  4684.191659       1.0000      0.98158      0.57532       400.01    
  4684.208147       1.0000      0.98157      0.57504       400.01    
  4684.224654       1.0000      0.98157      0.57476       400.01    
  4684.241752       1.0000      0.98156      0.57446       400.01    
  4684.260203       1.0000      0.98156      0.57415       400.01    
  4684.280277       1.0000      0.98156      0.57380       400.01    
  4684.302422       1.0000      0.98155      0.57342       400.01    
  4684.327206       1.0000      0.98155      0.57300       400.01    
  4684.355250       1.0000      0.98155      0.57253       400.01    
  4684.387527       1.0000      0.98154      0.57201       400.01    
  4684.425324       1.0000      0.98154      0.57141       400.01    
  4684.470682       1.0000      0.98153      0.57070       400.01    
  4684.526668       1.0000      0.98153      0.56988       400.01    
  4684.598608       1.0000      0.98152      0.56899       400.01    
  4684.598608       1.0000      0.98152      0.56899       400.01    
  4684.606922       1.0000      0.98152      0.56889       400.01    
  4684.615236       1.0000      0.98152      0.56879       400.01    
  4684.631864       1.0000      0.98152      0.56860       400.01    
  4684.665121       1.0000      0.98152      0.56824       400.01    
  4684.731633       1.0000      0.98152      0.56756       400.01    
  4684.864659       1.0000      0.98152      0.56635       400.15    
  4685.000000       1.0000      0.98153      0.56525       400.59    
  4685.000000       1.0000      0.98153      0.56525       400.59    
  4685.106421       1.0000      0.98154      0.56457       401.48    
  4685.212841       1.0000      0.98156      0.56416       402.92    
  4685.425683       1.0000      0.98163      0.56422       409.01    
  4685.756025       1.0000      0.98180      0.56588       428.46    
  4686.000000       1.0000      0.98194      0.56733       449.65    
  4686.000000       1.0000      0.98194      0.56733       449.65    
  4686.034055       1.0000      0.98196      0.56758       452.75    
  4686.068109       1.0000      0.98199      0.56789       455.97    
  4686.136219       1.0000      0.98204      0.56865       462.92    
