#      time         order        tairma       togactive    togpassiv    toper        tug       
  4679.000000       1.0000       19.378       26.500       28.195       22.734       20.695    
  4679.400000       1.0000       19.388       26.500       28.198       22.656       20.698    
  4679.800000       1.0000       19.394       26.500       28.200       22.579       20.700    
  4680.000000       1.0000       19.397       26.500       28.201       22.540       20.701    
  4680.000000       1.0000       19.397       26.500       28.201       22.540       20.701    
  4680.002746       1.0000       19.397       26.500       28.201       22.540       20.701    
  4680.005491       1.0000       19.397       26.500       28.201       22.539       20.701    
  4680.007168       1.0000       19.397       26.500       28.201       22.539       20.701    
  4680.007168       1.0000       19.397       26.500       28.201       22.539       20.701    
  4680.009364       1.0000       19.397       26.500       28.201       22.539       20.701    
  4680.011560       1.0000       19.397       26.500       28.201       22.538       20.701    
  4680.015953       1.0000       19.397       26.500       28.201       22.537       20.701    
  4680.024739       1.0000       19.397       26.500       28.201       22.536       20.701    
  4680.042311       1.0000       19.397       26.500       28.201       22.532       20.701    
  4680.077454       1.0000       19.397       26.500       28.201       22.525       20.701    
  4680.147740       1.0000       19.398       26.500       28.201       22.512       20.701    
  4680.288312       1.0000       19.399       26.500       28.202       22.485       20.702    
  4680.569457       1.0000       19.400       26.500       28.202       22.433       20.702    
  4680.676971       1.0000       19.401       26.500       28.202       22.412       20.702    
  4680.676971       1.0000       19.401       26.500       28.202       22.412       20.702    
  4680.726028       1.0000       19.401       26.500       28.202       22.403       20.702    
  4680.775084       1.0000       19.401       26.500       28.202       22.394       20.702    
  4680.873198       1.0000       19.401       26.500       28.202       22.376       20.702    
  4681.000000       1.0000       19.400       26.500       28.202       22.352       20.702    
  4681.000000       1.0000       19.400       26.500       28.202       22.352       20.702    
  4681.078491       1.0000       19.400       26.500       28.202       22.337       20.702    
  4681.156982       1.0000       19.400       26.500       28.202       22.323       20.702    
  4681.313963       1.0000       19.399       26.500       28.202       22.294       20.702    
  4681.627927       1.0000       19.397       26.500       28.201       22.236       20.701    
  4682.000000       1.0000       19.394       26.500       28.200       22.168       20.700    
  4682.000000       1.0000       19.394       26.500       28.200       22.168       20.700    
  4682.251171       1.0000       19.391       26.500       28.199       22.123       20.699    
  4682.502341       1.0000       19.387       26.500       28.198       22.077       20.698    
  4683.000000       1.0000       19.378       26.500       28.195       21.987       20.695    
  4683.000000       1.0000       19.378       26.500       28.195       21.987       20.695    
  4683.200936       1.0000       19.375       26.500       28.194       21.950       20.694    
  4683.401873       1.0000       19.372       26.500       28.193       21.914       20.693    
  4683.803746       1.0000       19.366       26.500       28.191       21.954       20.691    
  4684.000000       1.0000       19.362       26.500       28.190       21.952       20.690    
  4684.000000       1.0000       19.362       26.500       28.190       21.952       20.690    
  4684.006430       1.0000       19.362       26.500       28.190       21.952       20.690    
  4684.012860       1.0000       19.362       26.500       28.189       21.953       20.690    
  4684.023253       1.0000       19.362       26.500       28.189       21.954       20.689    
  4684.035152       1.0000       19.362       26.500       28.189       21.956       20.689    
  4684.052744       1.0000       19.361       26.500       28.189       21.958       20.689    
  4684.076747       1.0000       19.361       26.500       28.189       21.962       20.689    
  4684.097601       1.0000       19.360       26.500       28.189       21.967       20.689    
  4684.120210       1.0000       19.360       26.500       28.189       21.972       20.689    
  4684.139000       1.0000       19.360       26.500       28.189       21.976       20.689    
  4684.157579       1.0000       19.359       26.500       28.189       21.981       20.689    
  4684.174684       1.0000       19.359       26.500       28.189       21.985       20.689    
  4684.191659       1.0000       19.359       26.500       28.188       21.990       20.688    
  4684.208147       1.0000       19.359       26.500       28.188       21.995       20.688    
  4684.224654       1.0000       19.358       26.500       28.188       22.000       20.688    
  4684.241752       1.0000       19.358       26.500       28.188       22.006       20.688    
  4684.260203       1.0000       19.358       26.500       28.188       22.012       20.688    
  4684.280277       1.0000       19.357       26.500       28.188       22.019       20.688    
  4684.302422       1.0000       19.357       26.500       28.188       22.026       20.688    
  4684.327206       1.0000       19.357       26.500       28.188       22.035       20.688    
  4684.355250       1.0000       19.356       26.500       28.187       22.045       20.688    
  4684.387527       1.0000       19.356       26.500       28.187       22.057       20.687    
  4684.425324       1.0000       19.355       26.500       28.187       22.071       20.687    
  4684.470682       1.0000       19.354       26.500       28.187       22.089       20.687    
  4684.526668       1.0000       19.353       26.500       28.187       22.111       20.687    
  4684.598608       1.0000       19.352       26.500       28.186       22.135       20.686    
  4684.598608       1.0000       19.352       26.500       28.186       22.135       20.686    
  4684.606922       1.0000       19.352       26.500       28.186       22.138       20.686    
  4684.615236       1.0000       19.352       26.500       28.186       22.141       20.686    
  4684.631864       1.0000       19.352       26.500       28.186       22.146       20.686    
  4684.665121       1.0000       19.351       26.500       28.186       22.157       20.686    
  4684.731633       1.0000       19.350       26.500       28.186       22.178       20.686    
  4684.864659       1.0000       19.348       26.500       28.185       22.220       20.685    
  4685.000000       1.0000       19.347       26.500       28.184       22.264       20.684    
  4685.000000       1.0000       19.347       26.500       28.184       22.264       20.684    
  4685.106421       1.0000       19.345       26.500       28.184       22.303       20.684    
  4685.212841       1.0000       19.344       26.500       28.184       22.345       20.684    
  4685.425683       1.0000       19.343       26.500       28.183       22.443       20.683    
  4685.756025       1.0000       19.343       26.500       28.183       22.635       20.683    
  4686.000000       1.0000       19.344       26.500       28.184       22.813       20.684    
  4686.000000       1.0000       19.344       26.500       28.184       22.813       20.684    
  4686.034055       1.0000       19.345       26.500       28.184       22.839       20.684    
  4686.068109       1.0000       19.345       26.500       28.184       22.865       20.684    
  4686.136219       1.0000       19.346       26.500       28.184       22.918       20.684    
  4686.216293       1.0000       19.347       26.500       28.185       22.982       20.685    
  4686.308038       1.0000       19.349       26.500       28.185       23.052       20.685    
  4686.427983       1.0000       19.352       26.500       28.186       23.141       20.686    
  4686.602839       1.0000       19.358       26.500       28.188       23.261       20.688    
  4686.906805       1.0000       19.373       26.500       28.193       23.428       20.693    
  4686.912496       1.0000       19.373       26.500       28.193       23.432       20.693    
  4686.912496       1.0000       19.373       26.500       28.193       23.432       20.693    
  4686.929004       1.0000       19.374       26.500       28.193       23.440       20.693    
  4686.945513       1.0000       19.375       26.500       28.194       23.449       20.694    
  4686.978529       1.0000       19.377       26.500       28.194       23.465       20.694    
  4687.000000       1.0000       19.378       26.500       28.195       23.475       20.695    
  4687.000000       1.0000       19.378       26.500       28.195       23.475       20.695    
  4687.026413       1.0000       19.375       26.500       28.194       23.487       20.694    
  4687.052827       1.0000       19.373       26.500       28.193       23.498       20.693    
  4687.063392       1.0000       19.371       26.500       28.193       23.502       20.693    
  4687.084523       1.0000       19.369       26.500       28.192       23.511       20.692    
  4687.092975       1.0000       19.369       26.500       28.192       23.514       20.692    
  4687.109880       1.0000       19.367       26.500       28.191       23.521       20.691    
  4687.143689       1.0000       19.364       26.500       28.190       23.533       20.690    
  4687.189019       1.0000       19.360       26.500       28.189       23.549       20.689    
