#      time         order        tairmean     top       
  4679.000000       1.0000       22.424       22.734    
  4679.400000       1.0000       22.351       22.656    
  4679.800000       1.0000       22.279       22.579    
  4680.000000       1.0000       22.243       22.540    
  4680.000000       1.0000       22.243       22.540    
  4680.002746       1.0000       22.242       22.540    
  4680.005491       1.0000       22.242       22.539    
  4680.007168       1.0000       22.241       22.539    
  4680.007168       1.0000       22.241       22.539    
  4680.009364       1.0000       22.241       22.539    
  4680.011560       1.0000       22.241       22.538    
  4680.015953       1.0000       22.240       22.537    
  4680.024739       1.0000       22.238       22.536    
  4680.042311       1.0000       22.235       22.532    
  4680.077454       1.0000       22.229       22.525    
  4680.147740       1.0000       22.216       22.512    
  4680.288312       1.0000       22.192       22.485    
  4680.569457       1.0000       22.142       22.433    
  4680.676971       1.0000       22.123       22.412    
  4680.676971       1.0000       22.123       22.412    
  4680.726028       1.0000       22.115       22.403    
  4680.775084       1.0000       22.106       22.394    
  4680.873198       1.0000       22.089       22.376    
  4681.000000       1.0000       22.067       22.352    
  4681.000000       1.0000       22.067       22.352    
  4681.078491       1.0000       22.054       22.337    
  4681.156982       1.0000       22.040       22.323    
  4681.313963       1.0000       22.014       22.294    
  4681.627927       1.0000       21.960       22.236    
  4682.000000       1.0000       21.898       22.168    
  4682.000000       1.0000       21.898       22.168    
  4682.251171       1.0000       21.856       22.123    
  4682.502341       1.0000       21.814       22.077    
  4683.000000       1.0000       21.730       21.987    
  4683.000000       1.0000       21.730       21.987    
  4683.200936       1.0000       21.697       21.950    
  4683.401873       1.0000       21.664       21.914    
  4683.803746       1.0000       21.689       21.954    
  4684.000000       1.0000       21.694       21.952    
  4684.000000       1.0000       21.694       21.952    
  4684.006430       1.0000       21.694       21.952    
  4684.012860       1.0000       21.694       21.953    
  4684.023253       1.0000       21.695       21.954    
  4684.035152       1.0000       21.695       21.956    
  4684.052744       1.0000       21.697       21.958    
  4684.076747       1.0000       21.700       21.962    
  4684.097601       1.0000       21.703       21.967    
  4684.120210       1.0000       21.706       21.972    
  4684.139000       1.0000       21.710       21.976    
  4684.157579       1.0000       21.714       21.981    
  4684.174684       1.0000       21.718       21.985    
  4684.191659       1.0000       21.722       21.990    
  4684.208147       1.0000       21.726       21.995    
