#      time         order        tairmean     top       
  336.0000000       1.0000       19.000       18.009    
  336.0277111       1.0000       19.000       18.009    
  336.0554222       1.0000       19.000       18.008    
  336.0682198       1.0000       19.000       18.008    
  336.0682198       1.0000       19.000       18.008    
  336.0903887       1.0000       19.000       18.008    
  336.1125575       1.0000       19.000       18.007    
  336.1568953       1.0000       19.000       18.007    
  336.2455708       1.0000       19.000       18.005    
  336.4229219       1.0000       19.000       18.003    
  336.7776240       1.0000       19.000       17.997    
  337.0000000       1.0000       19.000       17.994    
  337.0000000       1.0000       19.000       17.994    
  337.2837617       1.0000       19.000       17.990    
  337.5675234       1.0000       19.000       17.987    
  338.0000000       1.0000       19.000       17.981    
  338.0000000       1.0000       19.000       17.981    
  338.2270094       1.0000       19.000       17.979    
  338.4540187       1.0000       19.000       17.976    
  338.9080375       1.0000       19.000       17.971    
  339.0000000       1.0000       19.000       17.970    
  339.0000000       1.0000       19.000       17.970    
  339.3632150       1.0000       19.000       17.966    
  339.7264300       1.0000       19.000       17.962    
  340.0000000       1.0000       19.000       17.960    
  340.0000000       1.0000       19.000       17.960    
  340.2001218       1.0000       19.000       17.958    
  340.4002436       1.0000       19.000       17.956    
  340.4264857       1.0000       19.000       17.956    
  340.4789699       1.0000       19.000       17.955    
  340.4789699       1.0000       19.000       17.955    
  340.6390673       1.0000       19.000       17.954    
  340.7991647       1.0000       19.000       17.952    
  341.0000000       1.0000       19.000       17.950    
  341.0000000       1.0000       19.000       17.950    
  341.0334978       1.0000       19.000       17.950    
  341.0669955       1.0000       19.000       17.950    
  341.0986329       1.0000       19.000       17.949    
  341.1209903       1.0000       19.000       17.949    
  341.1405617       1.0000       19.000       17.949    
  341.1612116       1.0000       19.000       17.949    
  341.1798055       1.0000       19.000       17.949    
  341.1984890       1.0000       19.000       17.948    
  341.2164927       1.0000       19.000       17.948    
  341.2347019       1.0000       19.000       17.948    
  341.2529417       1.0000       19.000       17.948    
  341.2719537       1.0000       19.000       17.948    
  341.2926427       1.0000       19.000       17.948    
  341.3153501       1.0000       19.000       17.947    
  341.3408346       1.0000       19.000       17.947    
  341.3695986       1.0000       19.000       17.947    
  341.4029150       1.0000       19.000       17.947    
  341.4420061       1.0000       19.000       17.946    
  341.4891999       1.0000       19.000       17.946    
  341.5478014       1.0000       19.000       17.945    
  341.6239840       1.0000       19.000       17.945    
  341.7273979       1.0000       19.000       17.944    
  341.8824781       1.0000       19.000       17.942    
  342.0000000       1.0000       19.000       17.941    
  342.0000000       1.0000       19.000       17.941    
  342.0253099       1.0000       19.000       17.941    
  342.0506198       1.0000       19.000       17.941    
  342.1012396       1.0000       19.000       17.941    
  342.2024792       1.0000       19.000       17.940    
  342.4049584       1.0000       19.000       17.938    
  342.8099168       1.0000       19.000       17.935    
  343.0000000       1.0000       19.000       17.934    
  343.0000000       1.0000       19.000       17.934    
  343.0343945       1.0000       20.189       19.709    
  343.0687890       1.0000       21.039       20.139    
  343.1011679       1.0000       21.285       19.923    
  343.1334259       1.0000       21.209       19.624    
  343.1754230       1.0000       21.048       19.467    
  343.2405886       1.0000       20.983       19.493    
  343.3211551       1.0000       20.994       19.539    
  343.4506229       1.0000       21.003       19.559    
  343.6546876       1.0000       21.003       19.578    
  344.0000000       1.0000       21.002       19.607    
  344.0000000       1.0000       21.002       19.607    
  344.0275156       1.0000       21.002       19.609    
  344.0550312       1.0000       21.002       19.612    
  344.1100624       1.0000       21.002       19.616    
  344.2201247       1.0000       21.002       19.624    
  344.4402494       1.0000       21.002       19.640    
  344.8804989       1.0000       21.001       19.665    
  345.0000000       1.0000       21.001       19.672    
  345.0000000       1.0000       21.001       19.672    
  345.3521996       1.0000       21.001       19.688    
  345.7043991       1.0000       21.001       19.703    
  346.0000000       1.0000       21.001       19.714    
  346.0000000       1.0000       21.001       19.714    
  346.2817596       1.0000       21.001       19.723    
  346.5635193       1.0000       21.001       19.731    
  347.0000000       1.0000       21.001       19.742    
  347.0000000       1.0000       21.001       19.742    
  347.2254077       1.0000       21.001       19.748    
  347.4508154       1.0000       21.001       19.753    
  347.9016308       1.0000       21.000       19.762    
  348.0000000       1.0000       21.000       19.764    
  348.0000000       1.0000       21.000       19.764    
  348.3606523       1.0000       21.000       19.771    
  348.7213047       1.0000       21.000       19.777    
  349.0000000       1.0000       21.000       19.782    
  349.0000000       1.0000       21.000       19.782    
  349.2885219       1.0000       21.000       19.786    
  349.5770437       1.0000       21.000       19.791    
  350.0000000       1.0000       21.000       19.797    
  350.0000000       1.0000       21.000       19.797    
  350.2308175       1.0000       21.000       19.800    
  350.4616350       1.0000       21.000       19.803    
  350.9232700       1.0000       21.000       19.809    
  351.0000000       1.0000       21.000       19.810    
  351.0000000       1.0000       21.000       19.810    
  351.3693080       1.0000       21.000       19.815    
  351.7386160       1.0000       21.000       19.819    
  352.0000000       1.0000       21.000       19.822    
  352.0000000       1.0000       21.000       19.822    
  352.2954464       1.0000       21.000       19.825    
  352.5908928       1.0000       21.000       19.828    
  353.0000000       1.0000       21.000       19.832    
  353.0000000       1.0000       21.000       19.832    
  353.2363571       1.0000       21.000       19.834    
  353.4727142       1.0000       21.000       19.837    
  353.9454285       1.0000       21.000       19.840    
  354.0000000       1.0000       21.000       19.841    
  354.0000000       1.0000       21.000       19.841    
  354.0046237       1.0000       20.936       19.454    
  354.0092474       1.0000       20.813       19.056    
  354.0134995       1.0000       20.704       18.987    
  354.0183217       1.0000       20.584       18.920    
  354.0235101       1.0000       20.462       18.851    
  354.0295713       1.0000       20.325       18.775    
  354.0367419       1.0000       20.174       18.690    
  354.0460348       1.0000       19.991       18.588    
  354.0614277       1.0000       19.722       18.437    
  354.0775703       1.0000       19.471       18.295    
  354.0952626       1.0000       19.229       18.157    
  354.1127914       1.0000       19.015       18.036    
  354.1321187       1.0000       18.805       17.916    
  354.1528605       1.0000       18.700       17.982    
  354.1761060       1.0000       18.769       18.225    
  354.2020698       1.0000       18.912       18.386    
  354.2319999       1.0000       19.021       18.413    
  354.2670234       1.0000       19.047       18.353    
  354.3090897       1.0000       19.021       18.294    
  354.3608224       1.0000       18.998       18.274    
  354.4274250       1.0000       18.995       18.271    
  354.5171731       1.0000       18.998       18.262    
  354.6460647       1.0000       18.998       18.244    
  354.8494441       1.0000       18.998       18.222    
  355.0000000       1.0000       18.998       18.207    
  355.0000000       1.0000       18.998       18.207    
  355.0034017       1.0000       18.998       18.207    
  355.0068033       1.0000       18.998       18.207    
  355.0136067       1.0000       18.998       18.206    
  355.0272133       1.0000       18.998       18.205    
  355.0544266       1.0000       18.999       18.202    
  355.1088533       1.0000       18.999       18.197    
  355.2177065       1.0000       18.999       18.187    
  355.4354131       1.0000       18.999       18.169    
  355.8708262       1.0000       18.999       18.139    
  356.0000000       1.0000       18.999       18.131    
  356.0000000       1.0000       18.999       18.131    
