#      time         order        tairma       togactive    togpassiv    toper        tug       
  336.0000000       1.0000      -11.982       24.500       25.000       17.965       20.500    
  336.0277111       1.0000      -11.981       24.500       25.000       17.964       20.500    
  336.0554222       1.0000      -11.981       24.500       25.000       17.964       20.500    
  336.0682198       1.0000      -11.981       24.500       25.000       17.964       20.500    
  336.0682198       1.0000      -11.981       24.500       25.000       17.964       20.500    
  336.0903887       1.0000      -11.981       24.500       25.000       17.963       20.500    
  336.1125575       1.0000      -11.981       24.500       25.000       17.963       20.500    
  336.1568953       1.0000      -11.981       24.500       25.000       17.962       20.500    
  336.2455708       1.0000      -11.980       24.500       25.000       17.961       20.500    
  336.4229219       1.0000      -11.979       24.500       25.000       17.958       20.500    
  336.7776240       1.0000      -11.977       24.500       25.000       17.953       20.500    
  337.0000000       1.0000      -11.977       24.500       25.000       17.950       20.500    
  337.0000000       1.0000      -11.977       24.500       25.000       17.950       20.500    
  337.2837617       1.0000      -11.976       24.500       25.000       17.946       20.500    
  337.5675234       1.0000      -11.975       24.500       25.000       17.943       20.500    
  338.0000000       1.0000      -11.975       24.500       25.000       17.937       20.500    
  338.0000000       1.0000      -11.975       24.500       25.000       17.937       20.500    
  338.2270094       1.0000      -11.975       24.500       25.000       17.935       20.500    
  338.4540187       1.0000      -11.976       24.500       25.000       17.932       20.500    
  338.9080375       1.0000      -11.977       24.500       25.000       17.927       20.500    
  339.0000000       1.0000      -11.977       24.500       25.000       17.926       20.500    
  339.0000000       1.0000      -11.977       24.500       25.000       17.926       20.500    
  339.3632150       1.0000      -11.978       24.500       25.000       17.922       20.500    
  339.7264300       1.0000      -11.980       24.500       25.000       17.919       20.500    
  340.0000000       1.0000      -11.982       24.500       25.000       17.916       20.500    
  340.0000000       1.0000      -11.982       24.500       25.000       17.916       20.500    
  340.2001218       1.0000      -11.985       24.500       25.000       17.914       20.500    
  340.4002436       1.0000      -11.987       24.500       25.000       17.912       20.500    
  340.4264857       1.0000      -11.988       24.500       25.000       17.912       20.500    
  340.4789699       1.0000      -11.988       24.500       25.000       17.911       20.500    
  340.4789699       1.0000      -11.988       24.500       25.000       17.911       20.500    
  340.6390673       1.0000      -11.991       24.500       25.000       17.910       20.500    
  340.7991647       1.0000      -11.993       24.500       25.000       17.909       20.500    
  341.0000000       1.0000      -11.995       24.500       25.000       17.907       20.500    
  341.0000000       1.0000      -11.995       24.500       25.000       17.907       20.500    
  341.0334978       1.0000      -11.996       24.500       25.000       17.906       20.500    
  341.0669955       1.0000      -11.996       24.500       25.000       17.906       20.500    
  341.0986329       1.0000      -11.997       24.500       25.000       17.906       20.500    
  341.1209903       1.0000      -11.997       24.500       25.000       17.906       20.500    
  341.1405617       1.0000      -11.997       24.500       25.000       17.905       20.500    
  341.1612116       1.0000      -11.997       24.500       25.000       17.905       20.500    
  341.1798055       1.0000      -11.998       24.500       25.000       17.905       20.500    
  341.1984890       1.0000      -11.998       24.500       25.000       17.905       20.500    
  341.2164927       1.0000      -11.998       24.500       25.000       17.905       20.500    
  341.2347019       1.0000      -11.998       24.500       25.000       17.905       20.500    
  341.2529417       1.0000      -11.998       24.500       25.000       17.904       20.500    
  341.2719537       1.0000      -11.999       24.500       25.000       17.904       20.500    
  341.2926427       1.0000      -11.999       24.500       25.000       17.904       20.500    
  341.3153501       1.0000      -11.999       24.500       25.000       17.904       20.500    
  341.3408346       1.0000      -11.999       24.500       25.000       17.904       20.500    
  341.3695986       1.0000      -12.000       24.500       25.000       17.903       20.500    
  341.4029150       1.0000      -12.000       24.500       25.000       17.903       20.500    
  341.4420061       1.0000      -12.000       24.500       25.000       17.903       20.500    
  341.4891999       1.0000      -12.001       24.500       25.000       17.902       20.500    
