#      time         order        tairma       togactive    togpassiv    toper        tug       
  336.0000000       1.0000      -11.982       24.500       25.000       18.034       20.500    
  336.0277111       1.0000      -11.981       24.500       25.000       18.034       20.500    
  336.0554222       1.0000      -11.981       24.500       25.000       18.033       20.500    
  336.0682198       1.0000      -11.981       24.500       25.000       18.033       20.500    
  336.0682198       1.0000      -11.981       24.500       25.000       18.033       20.500    
  336.0903887       1.0000      -11.981       24.500       25.000       18.032       20.500    
  336.1125575       1.0000      -11.981       24.500       25.000       18.032       20.500    
  336.1568953       1.0000      -11.981       24.500       25.000       18.031       20.500    
  336.2455708       1.0000      -11.980       24.500       25.000       18.030       20.500    
  336.4229219       1.0000      -11.979       24.500       25.000       18.027       20.500    
  336.7776240       1.0000      -11.977       24.500       25.000       18.022       20.500    
  337.0000000       1.0000      -11.977       24.500       25.000       18.019       20.500    
  337.0000000       1.0000      -11.977       24.500       25.000       18.019       20.500    
  337.2837617       1.0000      -11.976       24.500       25.000       18.015       20.500    
  337.5675234       1.0000      -11.975       24.500       25.000       18.011       20.500    
  338.0000000       1.0000      -11.975       24.500       25.000       18.006       20.500    
  338.0000000       1.0000      -11.975       24.500       25.000       18.006       20.500    
  338.2270094       1.0000      -11.975       24.500       25.000       18.003       20.500    
  338.4540187       1.0000      -11.976       24.500       25.000       18.000       20.500    
  338.9080375       1.0000      -11.977       24.500       25.000       17.995       20.500    
  339.0000000       1.0000      -11.977       24.500       25.000       17.994       20.500    
  339.0000000       1.0000      -11.977       24.500       25.000       17.994       20.500    
  339.3632150       1.0000      -11.978       24.500       25.000       17.990       20.500    
  339.7264300       1.0000      -11.980       24.500       25.000       17.987       20.500    
  340.0000000       1.0000      -11.982       24.500       25.000       17.984       20.500    
  340.0000000       1.0000      -11.982       24.500       25.000       17.984       20.500    
  340.2001218       1.0000      -11.985       24.500       25.000       17.982       20.500    
  340.4002436       1.0000      -11.987       24.500       25.000       17.980       20.500    
  340.4264857       1.0000      -11.988       24.500       25.000       17.980       20.500    
  340.4789699       1.0000      -11.988       24.500       25.000       17.979       20.500    
  340.4789699       1.0000      -11.988       24.500       25.000       17.979       20.500    
  340.6390673       1.0000      -11.991       24.500       25.000       17.978       20.500    
  340.7991647       1.0000      -11.993       24.500       25.000       17.976       20.500    
  341.0000000       1.0000      -11.995       24.500       25.000       17.974       20.500    
  341.0000000       1.0000      -11.995       24.500       25.000       17.974       20.500    
  341.0334978       1.0000      -11.996       24.500       25.000       17.974       20.500    
  341.0669955       1.0000      -11.996       24.500       25.000       17.974       20.500    
  341.0986329       1.0000      -11.997       24.500       25.000       17.973       20.500    
  341.1209903       1.0000      -11.997       24.500       25.000       17.973       20.500    
  341.1405617       1.0000      -11.997       24.500       25.000       17.973       20.500    
  341.1612116       1.0000      -11.997       24.500       25.000       17.973       20.500    
  341.1798055       1.0000      -11.998       24.500       25.000       17.972       20.500    
  341.1984890       1.0000      -11.998       24.500       25.000       17.972       20.500    
  341.2164927       1.0000      -11.998       24.500       25.000       17.972       20.500    
  341.2347019       1.0000      -11.998       24.500       25.000       17.972       20.500    
  341.2529417       1.0000      -11.998       24.500       25.000       17.972       20.500    
  341.2719537       1.0000      -11.999       24.500       25.000       17.972       20.500    
  341.2926427       1.0000      -11.999       24.500       25.000       17.971       20.500    
  341.3153501       1.0000      -11.999       24.500       25.000       17.971       20.500    
  341.3408346       1.0000      -11.999       24.500       25.000       17.971       20.500    
  341.3695986       1.0000      -12.000       24.500       25.000       17.971       20.500    
  341.4029150       1.0000      -12.000       24.500       25.000       17.970       20.500    
  341.4420061       1.0000      -12.000       24.500       25.000       17.970       20.500    
  341.4891999       1.0000      -12.001       24.500       25.000       17.970       20.500    
  341.5478014       1.0000      -12.001       24.500       25.000       17.969       20.500    
  341.6239840       1.0000      -12.002       24.500       25.000       17.968       20.500    
  341.7273979       1.0000      -12.003       24.500       25.000       17.968       20.500    
  341.8824781       1.0000      -12.004       24.500       25.000       17.966       20.500    
  342.0000000       1.0000      -12.005       24.500       25.000       17.965       20.500    
  342.0000000       1.0000      -12.005       24.500       25.000       17.965       20.500    
  342.0253099       1.0000      -12.005       24.500       25.000       17.965       20.500    
  342.0506198       1.0000      -12.005       24.500       25.000       17.965       20.500    
  342.1012396       1.0000      -12.005       24.500       25.000       17.964       20.500    
