#      time         order        air_age      relhum       xco2vol   
  4679.000000       1.0000      0.98254      0.61556       400.73    
  4679.400000       1.0000      0.98262      0.62161       400.52    
  4679.800000       1.0000      0.98267      0.62672       400.37    
  4680.000000       1.0000      0.98270      0.62909       400.31    
  4680.000000       1.0000      0.98270      0.62909       400.31    
  4680.002746       1.0000      0.98270      0.62912       400.31    
  4680.005491       1.0000      0.98270      0.62916       400.30    
  4680.007168       1.0000      0.98270      0.62918       400.30    
  4680.007168       1.0000      0.98270      0.62918       400.30    
  4680.009364       1.0000      0.98270      0.62920       400.30    
  4680.011560       1.0000      0.98270      0.62923       400.30    
  4680.015953       1.0000      0.98270      0.62928       400.30    
  4680.024739       1.0000      0.98270      0.62938       400.30    
  4680.042311       1.0000      0.98270      0.62959       400.29    
  4680.077454       1.0000      0.98271      0.62999       400.28    
  4680.147740       1.0000      0.98271      0.63077       400.26    
  4680.288312       1.0000      0.98273      0.63228       400.23    
  4680.569457       1.0000      0.98271      0.63360       400.18    
  4680.677689       1.0000      0.98270      0.63389       400.16    
  4680.677689       1.0000      0.98270      0.63389       400.16    
  4680.726387       1.0000      0.98270      0.63397       400.15    
  4680.775084       1.0000      0.98269      0.63400       400.15    
  4680.872480       1.0000      0.98267      0.63392       400.13    
  4681.000000       1.0000      0.98264      0.63363       400.12    
  4681.000000       1.0000      0.98264      0.63363       400.12    
  4681.077916       1.0000      0.98262      0.63336       400.11    
  4681.155832       1.0000      0.98260      0.63304       400.10    
  4681.311665       1.0000      0.98256      0.63226       400.09    
  4681.623329       1.0000      0.98246      0.63031       400.06    
  4682.000000       1.0000      0.98233      0.62732       400.05    
  4682.000000       1.0000      0.98233      0.62732       400.05    
  4682.249332       1.0000      0.98225      0.62517       400.04    
  4682.498664       1.0000      0.98215      0.62290       400.03    
  4682.997327       1.0000      0.98196      0.61803       400.02    
  4683.000000       1.0000      0.98196      0.61800       400.02    
  4683.000000       1.0000      0.98196      0.61800       400.02    
  4683.398931       1.0000      0.98182      0.61456       400.01    
  4683.797862       1.0000      0.98169      0.60809       400.01    
  4684.000000       1.0000      0.98163      0.60343       400.01    
  4684.000000       1.0000      0.98163      0.60343       400.01    
  4684.006383       1.0000      0.98163      0.60328       400.01    
  4684.012766       1.0000      0.98162      0.60313       400.01    
  4684.023176       1.0000      0.98162      0.60288       400.01    
  4684.035077       1.0000      0.98162      0.60283       400.01    
  4684.052703       1.0000      0.98161      0.60274       400.01    
  4684.076841       1.0000      0.98160      0.60258       400.01    
  4684.097822       1.0000      0.98160      0.60244       400.01    
  4684.120551       1.0000      0.98159      0.60225       400.01    
  4684.139473       1.0000      0.98159      0.60209       400.01    
  4684.158205       1.0000      0.98158      0.60191       400.01    
  4684.175485       1.0000      0.98158      0.60173       400.01    
  4684.192669       1.0000      0.98158      0.60154       400.01    
  4684.209402       1.0000      0.98157      0.60134       400.01    
  4684.226201       1.0000      0.98157      0.60114       400.01    
  4684.243406       1.0000      0.98157      0.60092       400.01    
  4684.262049       1.0000      0.98156      0.60068       400.01    
  4684.282280       1.0000      0.98156      0.60042       400.01    
  4684.304645       1.0000      0.98155      0.60012       400.01    
  4684.329681       1.0000      0.98155      0.59979       400.01    
  4684.358057       1.0000      0.98155      0.59942       400.01    
  4684.390755       1.0000      0.98154      0.59900       400.01    
  4684.429120       1.0000      0.98154      0.59853       400.01    
  4684.475262       1.0000      0.98153      0.59801       400.01    
  4684.532385       1.0000      0.98153      0.59744       400.00    
  4684.606075       1.0000      0.98152      0.59688       400.00    
  4684.606075       1.0000      0.98152      0.59688       400.00    
  4684.614403       1.0000      0.98152      0.59682       400.00    
  4684.622731       1.0000      0.98152      0.59676       400.00    
  4684.639386       1.0000      0.98152      0.59666       400.00    
  4684.672697       1.0000      0.98152      0.59648       400.00    
  4684.739319       1.0000      0.98152      0.59622       400.00    
  4684.872564       1.0000      0.98152      0.59604       400.11    
  4685.000000       1.0000      0.98153      0.59617       400.39    
  4685.000000       1.0000      0.98153      0.59617       400.39    
  4685.106596       1.0000      0.98154      0.59663       400.99    
  4685.213191       1.0000      0.98156      0.59748       401.95    
  4685.426382       1.0000      0.98163      0.60014       406.03    
  4685.829970       1.0000      0.98184      0.60771       423.70    
  4686.000000       1.0000      0.98194      0.61109       433.51    
  4686.000000       1.0000      0.98194      0.61109       433.51    
  4686.034111       1.0000      0.98197      0.61183       435.57    
  4686.068221       1.0000      0.98199      0.61264       437.71    
  4686.102458       1.0000      0.98202      0.61353       439.96    
  4686.113461       1.0000      0.98202      0.61382       440.68    
  4686.135467       1.0000      0.98204      0.61439       442.18    
  4686.173404       1.0000      0.98207      0.61531       444.85    
  4686.185629       1.0000      0.98208      0.61561       445.72    
  4686.210081       1.0000      0.98210      0.61618       447.50    
  4686.258985       1.0000      0.98213      0.61729       451.14    
  4686.278546       1.0000      0.98214      0.61772       452.62    
  4686.317669       1.0000      0.98217      0.61857       455.62    
  4686.333318       1.0000      0.98218      0.61890       456.83    
  4686.364616       1.0000      0.98220      0.61954       459.28    
  4686.377136       1.0000      0.98221      0.61980       460.26    
  4686.402174       1.0000      0.98222      0.62029       462.26    
  4686.452251       1.0000      0.98225      0.62127       466.26    
  4686.472282       1.0000      0.98226      0.62166       467.87    
  4686.512344       1.0000      0.98228      0.62241       471.09    
  4686.528369       1.0000      0.98229      0.62271       472.38    
  4686.560418       1.0000      0.98231      0.62330       474.97    
  4686.573238       1.0000      0.98231      0.62353       476.01    
  4686.598878       1.0000      0.98233      0.62399       478.08    
  4686.650157       1.0000      0.98235      0.62490       482.19    
  4686.752715       1.0000      0.98239      0.62664       490.25    
  4686.957831       1.0000      0.98247      0.62887       505.10    
  4686.958056       1.0000      0.98247      0.62887       505.12    
  4686.958056       1.0000      0.98247      0.62887       505.12    
  4686.965333       1.0000      0.98247      0.62889       505.64    
  4686.972610       1.0000      0.98247      0.62890       506.17    
  4686.987164       1.0000      0.98247      0.62893       507.21    
  4687.000000       1.0000      0.98248      0.62896       508.12    
  4687.000000       1.0000      0.98248      0.62896       508.12    
  4687.011643       1.0000      0.98248      0.62898       508.94    
  4687.023286       1.0000      0.98248      0.62899       509.75    
  4687.046572       1.0000      0.98248      0.62901       511.34    
  4687.093144       1.0000      0.98248      0.62898       514.40    
  4687.111044       1.0000      0.98248      0.62895       515.56    
  4687.118204       1.0000      0.98248      0.62894       516.02    
  4687.132525       1.0000      0.98248      0.62891       516.94    
  4687.138253       1.0000      0.98248      0.62890       517.30    
  4687.149709       1.0000      0.98247      0.62886       518.02    
  4687.172621       1.0000      0.98247      0.62878       519.43    
  4687.218445       1.0000      0.98246      0.62852       522.14    
  4687.266413       1.0000      0.98245      0.62817       524.85    
  4687.325406       1.0000      0.98244      0.62760       527.99    
  4687.389614       1.0000      0.98241      0.62684       531.20    
  4687.468798       1.0000      0.98238      0.62567       534.86    
  4687.575177       1.0000      0.98233      0.62374       539.29    
  4687.699872       1.0000      0.98227      0.62103       543.90    
  4687.853224       1.0000      0.98218      0.61714       548.80    
  4687.986302       1.0000      0.98209      0.61344       552.54    
  4688.000000       1.0000      0.98208      0.61306       552.92    
  4688.000000       1.0000      0.98208      0.61306       552.92    
  4688.037258       1.0000      0.98206      0.61200       553.91    
  4688.074515       1.0000      0.98204      0.61091       554.87    
  4688.149031       1.0000      0.98199      0.60868       556.65    
  4688.149031       1.0000      0.98199      0.60868       556.65    
  4688.178837       1.0000      0.98196      0.60778       557.35    
  4688.208643       1.0000      0.98194      0.60688       558.02    
  4688.268256       1.0000      0.98190      0.60505       559.28    
  4688.387480       1.0000      0.98182      0.60136       561.56    
  4688.387480       1.0000      0.98182      0.60136       561.56    
  4688.435170       1.0000      0.98179      0.59983       562.42    
