#      time         order        tairmean     top       
  4679.000000       1.0000       21.683       21.962    
  4679.400000       1.0000       21.608       21.882    
  4679.800000       1.0000       21.534       21.802    
  4680.000000       1.0000       21.497       21.763    
  4680.000000       1.0000       21.497       21.763    
  4680.002746       1.0000       21.497       21.762    
  4680.005491       1.0000       21.496       21.762    
  4680.007168       1.0000       21.496       21.761    
  4680.007168       1.0000       21.496       21.761    
  4680.009364       1.0000       21.496       21.761    
  4680.011560       1.0000       21.495       21.761    
  4680.015953       1.0000       21.494       21.760    
  4680.024739       1.0000       21.493       21.758    
  4680.042311       1.0000       21.490       21.754    
  4680.077454       1.0000       21.483       21.748    
  4680.147740       1.0000       21.470       21.734    
  4680.288312       1.0000       21.445       21.707    
  4680.569457       1.0000       21.395       21.653    
  4680.677689       1.0000       21.376       21.633    
  4680.677689       1.0000       21.376       21.633    
  4680.726387       1.0000       21.367       21.623    
  4680.775084       1.0000       21.359       21.614    
  4680.872480       1.0000       21.342       21.596    
  4681.000000       1.0000       21.320       21.572    
  4681.000000       1.0000       21.320       21.572    
  4681.077916       1.0000       21.306       21.557    
  4681.155832       1.0000       21.293       21.543    
  4681.311665       1.0000       21.267       21.514    
  4681.623329       1.0000       21.214       21.457    
  4682.000000       1.0000       21.152       21.389    
  4682.000000       1.0000       21.152       21.389    
  4682.249332       1.0000       21.111       21.345    
  4682.498664       1.0000       21.070       21.300    
  4682.997327       1.0000       20.988       21.211    
  4683.000000       1.0000       20.987       21.210    
  4683.000000       1.0000       20.987       21.210    
  4683.398931       1.0000       20.923       21.140    
  4683.797862       1.0000       20.949       21.180    
  4684.000000       1.0000       21.002       21.250    
  4684.000000       1.0000       21.002       21.250    
  4684.006383       1.0000       21.004       21.252    
  4684.012766       1.0000       21.005       21.254    
  4684.023176       1.0000       21.008       21.258    
  4684.035077       1.0000       21.006       21.221    
  4684.052703       1.0000       21.003       21.219    
  4684.076841       1.0000       20.999       21.217    
  4684.097822       1.0000       20.997       21.217    
  4684.120551       1.0000       20.995       21.217    
  4684.139473       1.0000       20.994       21.218    
  4684.158205       1.0000       20.994       21.219    
  4684.175485       1.0000       20.995       21.221    
  4684.192669       1.0000       20.996       21.223    
  4684.209402       1.0000       20.997       21.225    
  4684.226201       1.0000       20.999       21.228    
  4684.243406       1.0000       21.001       21.231    
  4684.262049       1.0000       21.003       21.234    
  4684.282280       1.0000       21.007       21.238    
  4684.304645       1.0000       21.010       21.243    
  4684.329681       1.0000       21.015       21.248    
  4684.358057       1.0000       21.021       21.254    
  4684.390755       1.0000       21.027       21.261    
  4684.429120       1.0000       21.035       21.268    
  4684.475262       1.0000       21.044       21.278    
  4684.532385       1.0000       21.054       21.288    
  4684.606075       1.0000       21.065       21.297    
  4684.606075       1.0000       21.065       21.297    
  4684.614403       1.0000       21.066       21.298    
  4684.622731       1.0000       21.067       21.299    
  4684.639386       1.0000       21.069       21.300    
  4684.672697       1.0000       21.073       21.304    
  4684.739319       1.0000       21.079       21.309    
  4684.872564       1.0000       21.088       21.315    
  4685.000000       1.0000       21.093       21.318    
  4685.000000       1.0000       21.093       21.318    
  4685.106596       1.0000       21.098       21.322    
  4685.213191       1.0000       21.105       21.325    
  4685.426382       1.0000       21.133       21.345    
  4685.829970       1.0000       21.239       21.423    
  4686.000000       1.0000       21.300       21.468    
  4686.000000       1.0000       21.300       21.468    
  4686.034111       1.0000       21.313       21.478    
  4686.068221       1.0000       21.326       21.488    
  4686.102458       1.0000       21.340       21.498    
  4686.113461       1.0000       21.344       21.501    
  4686.135467       1.0000       21.354       21.508    
  4686.173404       1.0000       21.370       21.520    
  4686.185629       1.0000       21.375       21.524    
  4686.210081       1.0000       21.386       21.532    
  4686.258985       1.0000       21.407       21.546    
  4686.278546       1.0000       21.415       21.552    
  4686.317669       1.0000       21.431       21.564    
  4686.333318       1.0000       21.438       21.568    
  4686.364616       1.0000       21.451       21.578    
  4686.377136       1.0000       21.456       21.581    
  4686.402174       1.0000       21.466       21.589    
  4686.452251       1.0000       21.486       21.603    
  4686.472282       1.0000       21.493       21.608    
  4686.512344       1.0000       21.508       21.619    
  4686.528369       1.0000       21.514       21.623    
  4686.560418       1.0000       21.525       21.631    
  4686.573238       1.0000       21.530       21.634    
  4686.598878       1.0000       21.539       21.641    
  4686.650157       1.0000       21.555       21.652    
  4686.752715       1.0000       21.585       21.674    
  4686.957831       1.0000       21.655       21.748    
  4686.958056       1.0000       21.656       21.748    
  4686.958056       1.0000       21.656       21.748    
  4686.965333       1.0000       21.658       21.750    
  4686.972610       1.0000       21.660       21.751    
  4686.987164       1.0000       21.665       21.754    
  4687.000000       1.0000       21.669       21.757    
  4687.000000       1.0000       21.669       21.757    
  4687.011643       1.0000       21.672       21.759    
  4687.023286       1.0000       21.675       21.761    
  4687.046572       1.0000       21.681       21.765    
  4687.093144       1.0000       21.690       21.771    
