#      time         order        qbridges     qcdwalls2z   qdaylite     qequip2zon   qhc2zone     qlcwinds2z   qlite        qloss        qocc2zone    qterm2zone
  4679.000000       1.0000       0.0000       538.87       0.0000       0.0000      5.18204E-18  -221.55       0.0000       0.0000       0.0000      -298.68    
  4679.400000       1.0000       0.0000       542.20       0.0000       0.0000      7.50228E-20  -228.37       0.0000       0.0000       0.0000      -303.78    
  4679.800000       1.0000       0.0000       545.10       0.0000       0.0000      1.45311E-18  -234.83       0.0000       0.0000       0.0000      -306.35    
  4680.000000       1.0000       0.0000       546.48       0.0000       0.0000     -2.46886E-16  -238.01       0.0000       0.0000       0.0000      -307.11    
  4680.000000       1.0000       0.0000       546.48       0.0000       0.0000      2.14215E-18  -238.00       0.0000       0.0000       0.0000      -307.11    
  4680.002746       1.0000       0.0000       546.50       0.0000       0.0000      3.22122E-21  -238.05       0.0000       0.0000       0.0000      -307.12    
  4680.005491       1.0000       0.0000       546.51       0.0000       0.0000      3.25503E-18  -238.09       0.0000       0.0000       0.0000      -307.13    
  4680.007168       1.0000       0.0000       546.53       0.0000       0.0000     -5.14953E-19  -238.12       0.0000       0.0000       0.0000      -307.13    
  4680.007168       1.0000       0.0000       546.53       0.0000       0.0000     -7.22208E-23  -238.12       0.0000       0.0000       0.0000      -307.13    
  4680.009364       1.0000       0.0000       546.54       0.0000       0.0000     -1.11947E-20  -238.15       0.0000       0.0000       0.0000      -307.14    
  4680.011560       1.0000       0.0000       546.55       0.0000       0.0000      1.65143E-19  -238.18       0.0000       0.0000       0.0000      -307.15    
  4680.015953       1.0000       0.0000       546.58       0.0000       0.0000     -3.29218E-18  -238.25       0.0000       0.0000       0.0000      -307.16    
  4680.024739       1.0000       0.0000       546.64       0.0000       0.0000     -6.47789E-18  -238.38       0.0000       0.0000       0.0000      -307.18    
  4680.042311       1.0000       0.0000       546.75       0.0000       0.0000      4.82727E-17  -238.65       0.0000       0.0000       0.0000      -307.23    
  4680.077454       1.0000       0.0000       546.96       0.0000       0.0000      6.51992E-17  -239.17       0.0000       0.0000       0.0000      -307.32    
  4680.147740       1.0000       0.0000       547.30       0.0000       0.0000      1.60429E-17  -240.12       0.0000       0.0000       0.0000      -307.43    
  4680.288312       1.0000       0.0000       547.84       0.0000       0.0000      9.93131E-17  -241.85       0.0000       0.0000       0.0000      -307.50    
  4680.569457       1.0000       0.0000       548.42       0.0000       0.0000     -1.57133E-19  -244.81       0.0000       0.0000       0.0000      -320.23    
  4680.677689       1.0000       0.0000       548.71       0.0000       0.0000      7.91642E-16  -245.91       0.0000       0.0000       0.0000      -324.88    
  4680.677689       1.0000       0.0000       548.71       0.0000       0.0000      4.39066E-21  -245.91       0.0000       0.0000       0.0000      -324.88    
  4680.726387       1.0000       0.0000       548.75       0.0000       0.0000     -3.61412E-20  -246.41       0.0000       0.0000       0.0000      -326.85    
  4680.775084       1.0000       0.0000       548.80       0.0000       0.0000      1.76318E-16  -246.89       0.0000       0.0000       0.0000      -328.70    
  4680.872480       1.0000       0.0000       548.95       0.0000       0.0000      2.79998E-16  -247.85       0.0000       0.0000       0.0000      -331.96    
  4681.000000       1.0000       0.0000       549.12       0.0000       0.0000     -7.87886E-16  -249.09       0.0000       0.0000       0.0000      -335.72    
  4681.000000       1.0000       0.0000       549.12       0.0000       0.0000     -9.67409E-18  -249.09       0.0000       0.0000       0.0000      -335.72    
  4681.077916       1.0000       0.0000       549.09       0.0000       0.0000      5.39940E-19  -249.79       0.0000       0.0000       0.0000      -336.64    
  4681.155832       1.0000       0.0000       549.03       0.0000       0.0000     -4.56173E-16  -250.45       0.0000       0.0000       0.0000      -337.33    
