#      time         order        tairmean     top       
  4679.000000       1.0000       21.335       21.615    
  4679.400000       1.0000       21.284       21.560    
  4679.800000       1.0000       21.233       21.505    
  4680.000000       1.0000       21.208       21.478    
  4680.000000       1.0000       21.208       21.478    
  4680.002746       1.0000       21.208       21.477    
  4680.005491       1.0000       21.208       21.477    
  4680.007168       1.0000       21.207       21.477    
  4680.007168       1.0000       21.207       21.477    
  4680.009364       1.0000       21.207       21.477    
  4680.011560       1.0000       21.207       21.476    
  4680.015953       1.0000       21.206       21.476    
  4680.024739       1.0000       21.205       21.474    
  4680.042311       1.0000       21.203       21.472    
  4680.077454       1.0000       21.199       21.467    
  4680.147740       1.0000       21.190       21.458    
  4680.288312       1.0000       21.173       21.439    
  4680.569457       1.0000       21.138       21.401    
  4680.677689       1.0000       21.125       21.387    
  4680.677689       1.0000       21.125       21.387    
  4680.726387       1.0000       21.119       21.380    
  4680.775084       1.0000       21.113       21.374    
  4680.872480       1.0000       21.101       21.361    
  4681.000000       1.0000       21.086       21.344    
  4681.000000       1.0000       21.086       21.344    
  4681.077916       1.0000       21.076       21.333    
  4681.155832       1.0000       21.067       21.323    
  4681.311665       1.0000       21.049       21.303    
  4681.623329       1.0000       21.012       21.261    
  4682.000000       1.0000       20.967       21.212    
  4682.000000       1.0000       20.967       21.212    
  4682.249332       1.0000       20.937       21.179    
  4682.498664       1.0000       20.908       21.146    
  4682.997327       1.0000       20.848       21.080    
  4683.000000       1.0000       20.848       21.080    
  4683.000000       1.0000       20.848       21.080    
  4683.398931       1.0000       20.801       21.027    
  4683.797862       1.0000       20.759       20.981    
  4684.000000       1.0000       20.738       20.958    
  4684.000000       1.0000       20.738       20.958    
  4684.006383       1.0000       20.738       20.958    
  4684.012766       1.0000       20.737       20.957    
  4684.023176       1.0000       20.736       20.956    
  4684.035077       1.0000       20.735       20.954    
  4684.052703       1.0000       20.733       20.953    
  4684.076841       1.0000       20.731       20.950    
  4684.097822       1.0000       20.729       20.948    
  4684.120551       1.0000       20.727       20.945    
  4684.139473       1.0000       20.725       20.943    
  4684.158205       1.0000       20.723       20.941    
  4684.175485       1.0000       20.722       20.940    
  4684.192669       1.0000       20.720       20.938    
  4684.209402       1.0000       20.719       20.936    
  4684.226201       1.0000       20.717       20.934    
  4684.243406       1.0000       20.716       20.933    
  4684.262049       1.0000       20.714       20.931    
  4684.282280       1.0000       20.712       20.929    
  4684.304645       1.0000       20.710       20.927    
  4684.329681       1.0000       20.708       20.924    
  4684.358057       1.0000       20.706       20.921    
  4684.390755       1.0000       20.703       20.918    
  4684.429120       1.0000       20.700       20.915    
  4684.475262       1.0000       20.696       20.910    
  4684.532385       1.0000       20.691       20.905    
  4684.606075       1.0000       20.685       20.898    
  4684.606075       1.0000       20.685       20.898    
  4684.614403       1.0000       20.685       20.898    
  4684.622731       1.0000       20.684       20.897    
  4684.639386       1.0000       20.683       20.895    
  4684.672697       1.0000       20.680       20.892    
  4684.739319       1.0000       20.675       20.887    
  4684.872564       1.0000       20.667       20.877    
  4685.000000       1.0000       20.661       20.869    
  4685.000000       1.0000       20.661       20.869    
  4685.106596       1.0000       20.661       20.867    
  4685.213191       1.0000       20.664       20.868    
  4685.426382       1.0000       20.688       20.883    
  4685.829970       1.0000       20.795       20.966    
  4686.000000       1.0000       20.858       21.014    
  4686.000000       1.0000       20.858       21.014    
  4686.034111       1.0000       20.871       21.025    
  4686.068221       1.0000       20.885       21.035    
  4686.102458       1.0000       20.899       21.046    
  4686.113461       1.0000       20.904       21.050    
  4686.135467       1.0000       20.937       21.099    
  4686.173404       1.0000       20.995       21.142    
  4686.185629       1.0000       21.011       21.147    
  4686.210081       1.0000       21.021       21.135    
  4686.258985       1.0000       21.026       21.131    
  4686.278546       1.0000       21.029       21.134    
  4686.317669       1.0000       21.037       21.142    
  4686.333318       1.0000       21.040       21.146    
  4686.364616       1.0000       21.049       21.154    
  4686.377136       1.0000       21.052       21.157    
  4686.402174       1.0000       21.060       21.163    
  4686.452251       1.0000       21.076       21.177    
  4686.472282       1.0000       21.083       21.182    
  4686.512344       1.0000       21.097       21.193    
  4686.528369       1.0000       21.103       21.198    
  4686.560418       1.0000       21.114       21.207    
  4686.573238       1.0000       21.119       21.210    
  4686.598878       1.0000       21.128       21.218    
  4686.650157       1.0000       21.146       21.231    
  4686.752715       1.0000       21.180       21.258    
  4686.957831       1.0000       21.237       21.305    
  4686.958056       1.0000       21.238       21.305    
  4686.958056       1.0000       21.238       21.305    
  4686.965333       1.0000       21.240       21.307    
  4686.972610       1.0000       21.242       21.308    
  4686.987164       1.0000       21.246       21.312    
  4687.000000       1.0000       21.249       21.314    
  4687.000000       1.0000       21.249       21.314    
  4687.011643       1.0000       21.252       21.317    
  4687.023286       1.0000       21.255       21.319    
  4687.046572       1.0000       21.261       21.323    
  4687.093144       1.0000       21.271       21.332    
  4687.111044       1.0000       21.274       21.335    
  4687.118204       1.0000       21.276       21.336    
  4687.132525       1.0000       21.279       21.338    
  4687.138253       1.0000       21.280       21.339    
  4687.149709       1.0000       21.282       21.341    
  4687.172621       1.0000       21.286       21.345    
  4687.218445       1.0000       21.294       21.351    
  4687.266413       1.0000       21.301       21.358    
  4687.325406       1.0000       21.310       21.366    
  4687.389614       1.0000       21.318       21.373    
  4687.468798       1.0000       21.327       21.383    
  4687.575177       1.0000       21.339       21.395    
  4687.699872       1.0000       21.352       21.409    
  4687.853224       1.0000       21.368       21.426    
  4687.986302       1.0000       21.382       21.441    
  4688.000000       1.0000       21.383       21.443    
  4688.000000       1.0000       21.383       21.443    
  4688.037258       1.0000       21.387       21.447    
  4688.074515       1.0000       21.391       21.451    
  4688.149031       1.0000       21.398       21.459    
  4688.149031       1.0000       21.398       21.459    
  4688.178837       1.0000       21.402       21.463    
  4688.208643       1.0000       21.405       21.466    
  4688.268256       1.0000       21.411       21.473    
  4688.387480       1.0000       21.422       21.486    
  4688.387480       1.0000       21.422       21.486    
  4688.435170       1.0000       21.428       21.493    
  4688.482860       1.0000       21.433       21.498    
  4688.578240       1.0000       21.442       21.510    
  4688.768999       1.0000       21.462       21.532    
  4689.000000       1.0000       21.487       21.561    
  4689.000000       1.0000       21.487       21.561    
  4689.024840       1.0000       21.490       21.564    
  4689.049681       1.0000       21.492       21.567    
  4689.099362       1.0000       21.498       21.573    
  4689.099362       1.0000       21.498       21.573    
  4689.119234       1.0000       21.500       21.575    
  4689.139107       1.0000       21.502       21.578    
  4689.178851       1.0000       21.507       21.583    
  4689.258341       1.0000       21.516       21.592    
  4689.417320       1.0000       21.533       21.612    
  4689.676495       1.0000       21.563       21.645    
  4690.000000       1.0000       21.602       21.687    
  4690.000000       1.0000       21.602       21.687    
  4690.127183       1.0000       21.617       21.704    
  4690.254366       1.0000       21.632       21.721    
  4690.508733       1.0000       21.662       21.753    
  4690.888597       1.0000       21.707       21.803    
  4690.888597       1.0000       21.707       21.803    
  4690.944298       1.0000       21.714       21.811    
  4691.000000       1.0000       21.720       21.818    
  4691.000000       1.0000       21.720       21.818    
  4691.044561       1.0000       21.726       21.824    
  4691.089123       1.0000       21.731       21.830    
  4691.178245       1.0000       21.742       21.841    
  4691.356490       1.0000       21.763       21.865    
  4691.712980       1.0000       21.805       21.912    
  4692.000000       1.0000       21.839       21.950    
  4692.000000       1.0000       21.839       21.950    
  4692.285192       1.0000       21.853       21.954    
  4692.570384       1.0000       21.885       21.991    
  4693.000000       1.0000       21.951       22.061    
  4693.000000       1.0000       21.951       22.061    
  4693.228154       1.0000       21.988       22.100    
  4693.456307       1.0000       22.027       22.140    
  4693.912615       1.0000       22.107       22.224    
  4694.000000       1.0000       22.123       22.240    
  4694.000000       1.0000       22.123       22.240    
  4694.365046       1.0000       22.185       22.307    
  4694.730092       1.0000       22.246       22.372    
  4695.000000       1.0000       22.290       22.420    
  4695.000000       1.0000       22.290       22.420    
  4695.292037       1.0000       22.336       22.470    
  4695.584073       1.0000       22.379       22.518    
  4696.000000       1.0000       22.433       22.582    
  4696.000000       1.0000       22.433       22.582    
  4696.026105       1.0000       22.436       22.585    
  4696.052211       1.0000       22.439       22.588    
  4696.104422       1.0000       22.442       22.593    
  4696.104422       1.0000       22.442       22.593    
  4696.125306       1.0000       22.443       22.595    
  4696.146190       1.0000       22.444       22.597    
  4696.187959       1.0000       22.446       22.600    
  4696.271496       1.0000       22.445       22.603    
  4696.438571       1.0000       22.432       22.600    
  4696.772720       1.0000       22.367       22.566    
  4697.000000       1.0000       22.302       22.524    
  4697.000000       1.0000       22.302       22.524    
  4697.005484       1.0000       22.300       22.523    
  4697.010968       1.0000       22.298       22.522    
  4697.015390       1.0000       22.297       22.521    
  4697.020624       1.0000       22.296       22.520    
  4697.026095       1.0000       22.294       22.519    
  4697.032691       1.0000       22.292       22.518    
  4697.040669       1.0000       22.290       22.517    
  4697.051837       1.0000       22.286       22.514    
  4697.066336       1.0000       22.282       22.511    
  4697.083964       1.0000       22.276       22.508    
  4697.099858       1.0000       22.271       22.504    
  4697.117901       1.0000       22.265       22.501    
  4697.136382       1.0000       22.259       22.497    
  4697.157403       1.0000       22.252       22.492    
  4697.180516       1.0000       22.244       22.487    
  4697.207166       1.0000       22.235       22.481    
  4697.237854       1.0000       22.225       22.474    
  4697.274264       1.0000       22.213       22.466    
  4697.318177       1.0000       22.199       22.457    
  4697.372883       1.0000       22.181       22.445    
  4697.443486       1.0000       22.159       22.431    
  4697.539417       1.0000       22.130       22.412    
  4697.679040       1.0000       22.094       22.387    
  4697.810017       1.0000       22.063       22.367    
  4697.810017       1.0000       22.063       22.367    
  4697.813554       1.0000       22.062       22.366    
  4697.817092       1.0000       22.061       22.366    
  4697.824168       1.0000       22.060       22.365    
  4697.838319       1.0000       22.057       22.363    
  4697.866621       1.0000       22.051       22.359    
  4697.923225       1.0000       22.041       22.352    
  4698.000000       1.0000       22.028       22.344    
  4698.000000       1.0000       22.028       22.344    
  4698.045283       1.0000       22.022       22.340    
  4698.090567       1.0000       22.016       22.336    
  4698.181133       1.0000       22.007       22.330    
  4698.362266       1.0000       21.995       22.322    
  4698.643955       1.0000       21.983       22.314    
  4698.983799       1.0000       21.965       22.299    
  4698.983799       1.0000       21.965       22.299    
  4698.991899       1.0000       21.965       22.298    
  4699.000000       1.0000       21.964       22.298    
  4699.000000       1.0000       21.964       22.298    
  4699.006480       1.0000       21.964       22.297    
  4699.012961       1.0000       21.964       22.297    
  4699.025922       1.0000       21.963       22.296    
  4699.051844       1.0000       21.962       22.295    
  4699.103687       1.0000       21.958       22.292    
  4699.207374       1.0000       21.951       22.285    
  4699.414749       1.0000       21.934       22.267    
  4699.798068       1.0000       21.865       22.190    
  4700.000000       1.0000       21.820       22.140    
  4700.000000       1.0000       21.820       22.140    
  4700.165899       1.0000       21.792       22.115    
  4700.331799       1.0000       21.752       22.063    
  4700.663598       1.0000       21.671       21.971    
  4701.000000       1.0000       21.605       21.903    
  4701.000000       1.0000       21.605       21.903    
  4701.265439       1.0000       21.561       21.857    
  4701.530878       1.0000       21.520       21.814    
  4701.842919       1.0000       21.476       21.767    
  4701.842919       1.0000       21.476       21.767    
  4701.921460       1.0000       21.465       21.755    
  4702.000000       1.0000       21.454       21.744    
  4702.000000       1.0000       21.454       21.744    
  4702.062832       1.0000       21.446       21.735    
  4702.125665       1.0000       21.437       21.725    
  4702.251329       1.0000       21.421       21.708    
  4702.320977       1.0000       21.412       21.698    
  4702.320977       1.0000       21.412       21.698    
  4702.421509       1.0000       21.398       21.683    
  4702.522040       1.0000       21.385       21.669    
  4702.648061       1.0000       21.368       21.651    
  4702.806394       1.0000       21.348       21.629    
  4703.000000       1.0000       21.323       21.602    
