#      time         order        q_cool       q_equip      q_heat       q_light      q_loss       q_occ        qintw        ql_a         qventil      qwcb         qwind     
  4679.000000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       267.88      -11.635      -285.94       130.33      -109.62    
  4679.400000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       269.47      -12.362      -282.59       130.02      -113.38    
  4679.800000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       271.56      -13.049      -279.26       128.93      -116.95    
  4680.000000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       272.74      -13.385      -277.60       128.23      -118.71    
  4680.000000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       272.74      -13.382      -277.60       128.23      -118.71    
  4680.002746       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       272.75      -13.387      -277.58       128.22      -118.73    
  4680.005491       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       272.77      -13.391      -277.56       128.21      -118.76    
  4680.007168       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       272.78      -13.394      -277.54       128.20      -118.77    
  4680.007168       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       272.78      -13.394      -277.54       128.20      -118.77    
  4680.009364       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       272.79      -13.396      -277.53       128.20      -118.79    
  4680.011560       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       272.80      -13.399      -277.51       128.19      -118.81    
  4680.015953       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       272.83      -13.404      -277.47       128.17      -118.85    
  4680.024739       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       272.88      -13.413      -277.40       128.14      -118.92    
  4680.042311       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       272.98      -13.433      -277.25       128.07      -119.07    
  4680.077454       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       273.18      -13.471      -276.97       127.93      -119.35    
  4680.147740       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       273.58      -13.547      -276.39       127.61      -119.89    
  4680.288312       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       274.36      -13.696      -275.25       126.88      -120.85    
  4680.569457       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       276.06      -14.181      -272.97       125.09      -122.53    
  4680.677689       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       276.77      -14.363      -272.08       124.45      -123.16    
  4680.677689       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       276.77      -14.363      -272.08       124.45      -123.16    
  4680.726387       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       277.06      -14.444      -271.70       124.12      -123.44    
  4680.775084       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       277.36      -14.522      -271.31       123.79      -123.72    
  4680.872480       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       278.00      -14.673      -270.52       123.12      -124.26    
  4681.000000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       278.86      -14.862      -269.50       122.19      -124.97    
  4681.000000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       278.86      -14.862      -269.50       122.19      -124.97    
  4681.077916       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       279.34      -14.937      -268.89       121.56      -125.37    
  4681.155832       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       279.83      -15.007      -268.27       120.91      -125.75    
  4681.311665       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       280.82      -15.140      -267.05       119.54      -126.45    
  4681.623329       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       282.94      -15.390      -264.60       116.57      -127.70    
  4682.000000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       285.57      -15.668      -261.65       112.64      -129.11    
  4682.000000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       285.57      -15.668      -261.65       112.64      -129.11    
  4682.249332       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       287.38      -15.845      -259.70       109.94      -130.03    
  4682.498664       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       289.27      -16.016      -257.75       107.17      -130.93    
  4682.997327       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       293.22      -16.343      -253.81       101.36      -132.73    
  4683.000000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       293.24      -16.345      -253.79       101.33      -132.74    
  4683.000000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       293.24      -16.345      -253.79       101.33      -132.74    
  4683.398931       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       296.22      -16.426      -250.67       96.400      -133.78    
  4683.797862       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       287.30      -16.530      -247.90       83.773      -113.94    
  4684.000000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       282.76      -16.588      -246.56       77.320      -103.89    
  4684.000000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       282.76      -16.588      -246.56       77.320      -103.89    
  4684.006383       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       282.61      -16.590      -246.52       77.109      -103.56    
  4684.012766       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       282.45      -16.580      -246.48       76.897      -103.22    
  4684.023176       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       282.19      -16.562      -246.41       76.548      -102.66    
  4684.035077       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       281.90      -16.542      -246.34       76.148      -102.01    
  4684.052703       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       281.44      -16.512      -246.22       75.548      -101.04    
  4684.076841       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       280.81      -16.472      -246.07       74.718      -99.689    
  4684.097822       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       280.25      -16.438      -245.94       73.988      -98.497    
  4684.120551       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       279.63      -16.401      -245.80       73.189      -97.186    
  4684.139473       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       279.11      -16.371      -245.68       72.518      -96.080    
  4684.158205       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       278.58      -16.341      -245.56       71.848      -94.972    
  4684.175485       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       278.08      -16.314      -245.46       71.225      -93.938    
  4684.192669       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       277.59      -16.288      -245.36       70.602      -92.900    
  4684.209402       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       277.10      -16.262      -245.26       69.990      -91.879    
  4684.226201       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       276.60      -16.237      -245.16       69.373      -90.844    
  4684.243406       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       276.09      -16.211      -245.06       68.737      -89.775    
  4684.262049       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       275.52      -16.183      -244.95       68.043      -88.607    
  4684.282280       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       274.90      -16.153      -244.83       67.285      -87.327    
  4684.304645       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       274.21      -16.120      -244.70       66.442      -85.899    
  4684.329681       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       273.43      -16.084      -244.56       65.492      -84.284    
  4684.358057       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       272.53      -16.044      -244.40       64.408      -82.436    
  4684.390755       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       271.48      -15.999      -244.22       63.148      -80.284    
  4684.429120       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       270.23      -15.946      -244.01       61.659      -77.731    
  4684.475262       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       268.71      -15.885      -243.76       59.853      -74.626    
  4684.532385       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       266.81      -15.810      -243.45       57.597      -70.737    
  4684.606075       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       264.32      -15.718      -243.07       54.662      -65.662    
  4684.606075       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       264.32      -15.718      -243.07       54.662      -65.662    
  4684.614403       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       264.04      -15.707      -243.03       54.329      -65.087    
  4684.622731       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       263.76      -15.697      -242.99       53.997      -64.510    
  4684.639386       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       263.19      -15.676      -242.90       53.330      -63.355    
  4684.672697       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       262.05      -15.636      -242.73       51.993      -61.037    
  4684.739319       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       259.76      -15.557      -242.40       49.306      -56.374    
  4684.872564       1.0000       0.0000      0.67409       0.0000       1.2346       0.0000      0.78842       254.05      -15.411      -241.85       43.213      -47.019    
  4685.000000       1.0000       0.0000       1.8579       0.0000       3.4027       0.0000       2.1732       247.41      -15.281      -241.46       36.728      -38.066    
  4685.000000       1.0000       0.0000       1.8579       0.0000       3.4027       0.0000       2.1731       247.41      -15.281      -241.46       36.728      -38.066    
  4685.106596       1.0000       0.0000       4.8286       0.0000       8.8433       0.0000       5.6486       238.34      -14.947      -241.46       29.165      -30.469    
  4685.213191       1.0000       0.0000       8.0444       0.0000       14.733       0.0000       9.4127       228.07      -14.617      -241.68       20.900      -22.725    
  4685.426382       1.0000       0.0000       18.437       0.0000       33.764       0.0000       21.590       199.06      -14.045      -243.24     -0.81451      -7.0762    
  4685.829970       1.0000       0.0000       49.510       0.0000       90.651       0.0000       58.120       114.81      -13.255      -250.35      -61.524       30.580    
  4686.000000       1.0000       0.0000       66.885       0.0000       122.45       0.0000       78.611       73.357      -12.983      -254.47      -91.279       42.956    
  4686.000000       1.0000       0.0000       66.885       0.0000       122.45       0.0000       78.611       73.357      -12.983      -254.47      -91.279       42.956    
  4686.034111       1.0000       0.0000       70.371       0.0000       128.83       0.0000       82.729       64.950      -12.791      -255.35      -97.324       45.476    
  4686.068221       1.0000       0.0000       73.856       0.0000       135.21       0.0000       86.851       56.679      -12.566      -256.27      -103.45       48.026    
  4686.102458       1.0000       0.0000       77.355       0.0000       141.61       0.0000       90.993       48.428      -12.346      -257.24      -109.68       50.610    
  4686.113461       1.0000       0.0000       78.479       0.0000       143.67       0.0000       92.325       45.763      -12.276      -257.56      -111.68       51.442    
  4686.135467       1.0000       0.0000       80.728       135.75       147.79       0.0000       94.989       4.7763      -12.269      -259.73      -138.98       51.450    
  4686.173404       1.0000       0.0000       84.604       167.18       154.88       0.0000       99.583      -21.391      -12.258      -263.55      -156.60       53.826    
  4686.185629       1.0000       0.0000       85.854       144.09       157.16       0.0000       101.06      -21.687      -12.249      -264.57      -157.00       54.993    
